att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.328;0.329	0.204;0.659	11101001	0.071	0.589	5	47.57	399984	69621	1.00		39225	66639
0.017;0.491	-0.795;-0.531	00000100	1.000	1.000	6	17.91	399998	84806	1.00		1352	1352
#	-0.095;0.034	11101101	0.128	0.663	8	49.60	399973	190842	0.50		15857	23932
-0.557;-0.328	0.116;0.498	01101011	1.000	1.000	5	35.60	399980	192350	1.00		18715	18715
0.326;0.475	#	11000000	1.000	1.000	13	48.30	399931	205005	0.50		6974	6974
0.271;0.475	-0.532;1.728	11000000	0.307	0.790	7	43.21	399987	219804	1.00		7736	9797
-1.549;-0.298	0.691;1.642	01001000	0.095	0.625	2	22.24	399857	252368	1.00		2112	3379
-0.307;-0.090	0.087;0.508	11101011	0.724	0.938	1	43.19	399997	262411	1.00		11807	12594
-0.325;0.217	-0.095;0.034	11101101	0.831	0.964	7	50.34	399973	276983	1.00		9327	9679
-1.194;-0.596	-0.485;-0.212	01000000	0.186	0.714	1	17.98	399948	281208	1.00		849	1189
-1.087;-0.596	-0.485;-0.212	01000000	0.185	0.714	1	17.98	399948	287836	1.00		801	1122
-0.282;0.237	-0.095;0.034	11101101	0.828	0.963	2	50.92	399973	293817	1.00		7897	8201
-0.557;-0.317	0.116;0.547	01101011	0.927	0.985	2	35.06	399980	306217	1.00		8722	8856
-0.325;0.237	-0.095;0.034	11101101	0.760	0.947	1	50.21	399973	307438	1.00		7018	7414
-0.307;-0.090	0.089;0.508	11101011	0.724	0.938	1	43.19	399997	310250	1.00		7702	8215
-0.802;-0.596	-0.485;-0.212	01000000	0.131	0.666	3	17.53	399676	311265	1.00		507	761
-0.282;0.217	-0.095;0.034	11101101	0.909	0.981	5	51.06	399973	315220	1.00		6305	6426
-0.307;-0.117	0.087;0.508	11101011	1.000	1.000	4	42.96	399997	320036	1.00		6862	6862
#	-5.714;-0.660	00010000	1.000	1.000	2	47.20	399993	322478	0.50		3325	3325
-2.415;-0.428	-0.157;0.023	01001001	0.367	0.818	3	35.49	399947	324782	1.00		968	1183
-0.611;0.229	0.880;1.746	00001000	1.000	1.000	2	37.39	399974	326735	1.00		734	734
#	0.880;2.302	00001000	1.000	1.000	4	36.74	399974	327346	0.50		831	831
#	-0.726;-0.523	00010100	0.078	0.600	2	28.34	399977	328580	0.50		1226	2044
-0.549;-0.317	0.116;0.422	01101011	1.000	1.000	3	37.23	399980	328889	1.00		5397	5397
-0.905;-0.428	-0.157;0.105	01001001	0.091	0.619	4	29.53	399947	332386	1.00		1258	2032
#	0.605;0.659	11101001	0.077	0.599	1	33.20	399984	333420	0.50		1711	2855
0.262;0.295	0.062;1.128	11001000	1.000	1.000	4	33.87	399842	335012	1.00		557	557
-0.528;0.147	0.880;2.302	00001000	1.000	1.000	2	37.39	399974	340715	1.00		594	594
-0.105;0.184	0.075;0.659	11101001	1.000	1.000	2	56.47	399984	343816	1.00		7477	7477
-0.557;-0.317	0.116;0.379	01101011	1.000	1.000	4	38.62	399980	344759	1.00		3476	3476
-0.557;-0.339	0.060;0.116	01101011	0.132	0.667	2	19.61	399836	345724	1.00		310	465
0.210;0.341	0.117;1.477	11001000	0.154	0.688	5	33.42	399970	348725	1.00		808	1175
-0.147;-0.048	0.063;0.659	11101001	0.156	0.689	2	49.74	399875	348908	1.00		1461	2119
-0.105;0.184	0.063;0.637	11101001	1.000	1.000	5	56.36	399984	349355	1.00		6740	6740
0.471;4.984	#	10000000	1.000	1.000	2	48.01	399990	350105	0.50		3996	3996
-1.683;-0.428	-0.157;0.105	01001001	0.091	0.619	2	29.53	399947	350807	1.00		915	1478
-4.798;-0.708	-0.203;0.595	01001000	0.739	0.941	2	38.72	399983	351725	1.00		1105	1174
0.326;0.475	-0.599;2.850	11000000	1.000	1.000	2	48.30	399931	352125	1.00		1710	1710
0.262;0.295	#	11001000	0.105	0.637	2	26.35	399842	354584	0.50		454	713
-0.105;0.184	0.063;0.659	11101001	1.000	1.000	6	56.32	399984	355798	1.00		6007	6007
-0.105;0.184	0.077;0.637	11101001	1.000	1.000	4	56.72	399984	356840	1.00		5554	5554
-3.100;-0.428	-0.157;0.023	01001001	0.367	0.818	1	35.49	399947	357919	1.00		541	661
-0.896;0.043	-1.728;-0.490	00010000	0.166	0.698	1	38.16	399993	357983	1.00		2222	3183
-0.336;0.485	0.986;1.071	11001000	0.001	0.421	1	26.98	358109	358109	1.00		0	0
-0.876;-0.708	-0.203;0.747	01001000	0.793	0.955	1	36.15	399983	359441	1.00		1219	1277
-0.337;-0.117	0.087;0.508	11101011	0.745	0.943	4	41.33	399997	361786	1.00		3609	3828
-0.307;-0.117	0.070;0.655	11101011	0.470	0.860	1	41.82	399997	362569	1.00		3265	3798
-1.449;-0.596	-0.485;-0.212	01000000	0.183	0.712	2	17.98	399948	365193	1.00		247	347
#	0.811;2.302	00001000	0.328	0.800	2	30.39	399974	365542	0.50		593	741
-0.557;-0.317	0.116;0.468	01101011	1.000	1.000	1	37.19	399980	365729	1.00		2794	2794
0.219;0.295	0.062;2.024	11001000	1.000	1.000	3	32.78	399842	365873	1.00		390	390
-0.307;-0.122	0.087;0.508	11101011	1.000	1.000	2	44.25	399997	366706	1.00		2713	2713
-4.798;-0.704	-0.346;0.595	01001000	0.423	0.842	1	36.72	399983	366892	1.00		756	898
-5.194;-0.704	-0.203;0.595	01001000	0.740	0.941	4	38.72	399983	367591	1.00		740	786
0.471;5.177	#	10000000	1.000	1.000	4	48.01	399990	367728	0.50		2587	2587
-0.337;-0.122	0.014;1.324	11101011	0.084	0.610	2	35.18	399997	368267	1.00		2902	4757
-2.714;-0.428	-0.157;0.023	01001001	0.367	0.819	4	35.49	399947	368404	1.00		406	496
-1.072;-0.159	0.880;1.458	00001000	1.000	1.000	1	35.93	399902	368587	1.00		269	269
-1.648;0.082	0.802;2.302	00001000	0.085	0.610	2	27.40	399902	368907	1.00		489	801
-0.578;0.204	-0.726;-0.523	00010100	0.237	0.750	1	31.14	399977	369221	1.00		528	704
-1.648;0.715	0.802;2.302	00001000	0.077	0.599	3	28.99	399974	369501	1.00		523	873
0.562;4.732	#	10000000	1.000	1.000	2	48.14	399990	369558	0.50		2090	2090
-0.105;0.184	0.077;0.513	11101001	1.000	1.000	1	56.87	399960	370651	1.00		2939	2939
-0.717;0.099	-4.402;-0.660	00010000	1.000	1.000	2	47.20	399993	371366	1.00		1227	1227
-0.896;0.043	-5.714;-0.660	00010000	1.000	1.000	1	47.20	399993	373672	1.00		1130	1130
-0.473;-0.021	-0.726;-0.577	00010100	0.168	0.700	1	35.31	399903	373749	1.00		264	377
-3.100;-0.417	-0.157;-0.108	01001001	0.407	0.836	1	34.01	399947	373791	1.00		188	225
0.351;0.475	-0.192;4.209	11000000	1.000	1.000	1	49.70	399887	373853	1.00		637	637
#	-1.728;-0.490	00010000	0.106	0.638	2	34.27	399993	374503	0.50		1348	2113
-0.557;-0.317	0.060;0.777	01101011	0.264	0.766	1	30.41	399980	374672	1.00		2499	3261
-4.560;-0.708	#	01001000	0.212	0.733	1	31.65	399983	374824	0.50		792	1080
0.471;4.452	-0.077;1.074	10000000	1.000	1.000	1	49.12	399913	375642	1.00		1258	1258
-0.325;0.467	-0.095;0.034	11101101	0.423	0.842	3	49.86	399973	375940	1.00		1824	2167
0.471;5.177	-2.740;3.225	10000000	1.000	1.000	2	48.01	399990	377399	1.00		1810	1810
-3.716;-0.704	-0.203;0.595	01001000	0.739	0.941	1	38.72	399983	377478	1.00		514	546
-0.308;0.195	-0.726;-0.445	00010100	0.118	0.653	1	26.96	399977	377652	1.00		479	734
0.210;0.341	0.117;1.141	11001000	0.153	0.687	2	33.42	399970	378301	1.00		342	498
0.471;4.325	-2.082;3.225	10000000	1.000	1.000	2	48.01	399990	378345	1.00		1734	1734
-0.736;0.396	-5.714;-0.660	00010000	1.000	1.000	2	47.20	399993	378522	1.00		922	922
-0.165;0.174	-0.195;0.092	11101101	0.094	0.623	5	39.22	399973	379170	1.00		985	1580
-0.876;-0.708	#	01001000	0.212	0.733	2	31.65	399983	379357	0.50		648	884
-0.398;0.195	-0.726;-0.445	00010100	0.132	0.667	6	26.49	399977	379506	1.00		528	792
-0.691;0.237	-0.095;0.092	11101101	0.091	0.619	2	38.77	399973	379593	1.00		1751	2831
-0.105;0.184	-0.279;0.659	11101001	0.109	0.642	1	53.15	399984	379786	1.00		2747	4280
-0.105;0.518	0.245;0.659	11101001	0.260	0.764	1	50.46	399984	379816	1.00		1874	2453
-0.325;0.035	-0.095;0.034	11101101	0.889	0.977	2	51.31	399973	380435	1.00		1175	1203
0.326;0.475	-0.955;1.761	11000000	1.000	1.000	1	48.30	399931	380647	1.00		692	692
-0.105;0.184	0.077;0.635	11101001	1.000	1.000	3	56.72	399984	381001	1.00		2447	2447
-0.307;-0.122	0.089;0.508	11101011	1.000	1.000	2	44.25	399997	381487	1.00		1508	1508
-0.398;-0.021	-0.726;-0.523	00010100	0.462	0.857	2	30.56	399977	381551	1.00		317	370
-0.795;0.318	0.880;1.894	00001000	1.000	1.000	1	36.74	399974	381956	1.00		206	206
-0.557;-0.317	0.116;1.221	01101011	0.233	0.747	1	31.73	399980	382258	1.00		1654	2214
0.562;4.325	-2.609;2.046	10000000	1.000	1.000	1	48.14	399990	382319	1.00		1214	1214
-0.549;-0.317	-0.018;0.794	01101011	0.202	0.726	2	29.61	399980	382437	1.00		1733	2387
0.326;0.475	-0.623;4.116	11000000	1.000	1.000	1	48.30	399931	382456	1.00		625	625
-4.560;-0.704	#	01001000	0.178	0.708	1	30.72	399983	382918	0.50		537	758
-1.549;-0.298	0.670;1.642	01001000	0.078	0.600	1	21.33	399857	382937	1.00		294	490
0.210;0.341	0.429;1.165	11001000	0.456	0.855	1	32.23	399970	382976	1.00		147	172
#	-5.000;-0.649	00010000	1.000	1.000	1	46.63	399993	383345	0.50		737	737
#	-4.710;-0.649	00010000	1.000	1.000	1	46.63	399993	383631	0.50		725	725
0.341;0.346	0.117;1.477	11001000	0.015	0.688	1	24.37	383893	383893	1.00		0	0
-0.105;0.184	0.075;0.635	11101001	1.000	1.000	1	56.51	399984	384333	1.00		2042	2042
-0.307;-0.090	0.335;0.508	11101011	0.829	0.963	2	46.32	399978	384451	1.00		577	599
0.262;0.295	-0.641;1.128	11001000	0.101	0.633	1	26.35	399842	384464	1.00		155	245
-0.105;0.184	0.063;0.896	11101001	0.524	0.879	1	51.13	399984	384474	1.00		2110	2401
0.271;0.475	#	11000000	0.307	0.790	3	43.21	399987	385119	0.50		638	808
-0.105;0.735	0.077;0.635	11101001	0.165	0.698	1	50.27	399984	385345	1.00		1887	2705
-0.501;0.138	-0.726;-0.445	00010100	0.079	0.602	1	27.61	399977	385580	1.00		371	616
-0.079;0.318	0.880;2.302	00001000	1.000	1.000	1	36.76	399974	386187	1.00		39	39
-0.501;0.195	-0.726;-0.445	00010100	0.080	0.603	3	27.61	399977	386873	1.00		339	562
0.326;0.475	-0.955;2.633	11000000	1.000	1.000	1	48.30	399931	386896	1.00		470	470
-2.714;-0.398	-0.157;-0.015	01001001	0.520	0.878	1	33.74	399947	387123	1.00		129	147
-0.078;0.415	0.063;0.637	11101001	0.256	0.761	1	50.66	399984	387253	1.00		1515	1990
#	-5.955;-0.660	00010000	1.000	1.000	1	47.20	399993	387411	0.50		540	540
-0.105;0.184	0.063;0.869	11101001	0.578	0.896	1	51.14	399984	387412	1.00		1711	1909
-0.427;0.467	-0.095;0.034	11101101	0.231	0.746	1	49.01	399973	387458	1.00		950	1273
-0.528;0.337	0.880;2.302	00001000	1.000	1.000	1	37.39	399974	387585	1.00		124	124
-1.178;0.173	0.802;1.223	00001000	0.099	0.630	1	28.52	399974	387675	1.00		211	335
0.732;4.984	#	10000000	1.000	1.000	2	49.15	399990	387763	0.50		613	613
0.471;4.452	#	10000000	1.000	1.000	1	48.01	399990	387834	0.50		973	973
