Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	5009	6000	0.7331	0.6012	0.2316	0.000	0.000	0.0001.57
10000	5111	6000	0.5785	0.6064	0.2578	0.000	0.000	0.0005.73
15000	5305	6000	0.558	0.5976	0.3094	0.000	0.000	0.0009.70
20000	5425	6000	0.5421	0.5736	0.3447	0.000	0.000	0.00013.76
25000	5542	6000	0.5277	0.5482	0.3784	0.000	0.000	0.00017.85
30000	5579	6000	0.5191	0.5434	0.3980	0.000	0.000	0.00021.97
35000	5636	6000	0.5128	0.535	0.4183	0.000	0.000	0.00026.13
40000	5646	6000	0.5077	0.5336	0.4305	0.000	0.000	0.00030.19
45000	5663	6000	0.5028	0.5326	0.4448	0.000	0.000	0.00034.23
50000	5667	6000	0.4994	0.5316	0.4597	0.000	0.000	0.00038.33
