Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
1000	40	49	0.169	0.665	0.27	0.01	1.152	0.51	0.369
2000	73	100	0.111	0.781	0.17	0.03	1.134	0.645	0.358
3000	100	149	0.102	0.797	0.17	0.05	1.155	0.642	0.358
4000	133	200	0.113	0.775	0.16	0.09	1.132	0.643	0.357
5000	135	200	0.117	0.765	0.15	0.12	1.117	0.648	0.348
6000	133	200	0.097	0.807	0.13	0.16	1.164	0.643	0.346
7000	131	200	0.051	0.899	0.12	0.20	1.262	0.637	0.087
8000	137	200	0.03	0.939	0.10	0.23	1.303	0.636	0.024
9000	136	200	0.025	0.949	0.10	0.25	1.313	0.636	0.014
10000	142	200	0.022	0.955	0.10	0.28	1.319	0.636	0.000
11000	144	200	0.023	0.954	0.11	0.30	1.329	0.625	0.000
12000	141	200	0.023	0.954	0.10	0.32	1.321	0.633	0.000
13000	143	200	0.022	0.956	0.12	0.35	1.32	0.636	0.017
14000	140	200	0.018	0.964	0.11	0.38	1.332	0.632	0.000
15000	149	200	0.014	0.972	0.12	0.40	1.339	0.633	0.000
16000	154	200	0.016	0.968	0.12	0.43	1.335	0.633	0.000
17000	148	200	0.02	0.96	0.14	0.45	1.323	0.637	0.000
18000	155	200	0.019	0.961	0.14	0.48	1.331	0.63	0.000
19000	156	200	0.018	0.963	0.14	0.51	1.334	0.629	0.024
20000	153	200	0.013	0.974	0.14	0.54	1.34	0.634	0.000
21000	144	200	0.013	0.974	0.13	0.56	1.347	0.627	0.000
22000	141	200	0.015	0.969	0.13	0.58	1.347	0.622	0.025
23000	145	200	0.017	0.967	0.12	0.60	1.344	0.623	0.000
24000	139	200	0.017	0.967	0.12	0.62	1.343	0.624	0.000
25000	134	200	0.015	0.971	0.12	0.64	1.347	0.624	0.052
26000	131	200	0.015	0.97	0.12	0.66	1.354	0.616	0.000
27000	134	200	0.016	0.969	0.12	0.69	1.343	0.625	0.000
28000	141	200	0.015	0.971	0.12	0.71	1.349	0.622	0.000
29000	142	200	0.015	0.97	0.13	0.73	1.347	0.623	0.093
30000	142	200	0.012	0.976	0.12	0.75	1.344	0.632	0.027
31000	143	200	0.011	0.977	0.12	0.78	1.344	0.633	0.025
32000	145	200	0.011	0.977	0.14	0.81	1.345	0.632	0.013
33000	154	200	0.01	0.98	0.14	0.83	1.352	0.628	0.031
34000	155	200	0.012	0.976	0.15	0.86	1.346	0.63	0.016
35000	147	200	0.012	0.976	0.14	0.89	1.345	0.631	0.000
36000	145	200	0.013	0.975	0.15	0.92	1.348	0.627	0.033
37000	146	200	0.013	0.974	0.15	0.94	1.334	0.64	0.000
38000	146	200	0.013	0.973	0.14	0.97	1.334	0.639	0.029
39000	141	200	0.013	0.974	0.12	1.00	1.33	0.644	0.087
40000	144	200	0.012	0.976	0.12	1.03	1.339	0.637	0.000
41000	146	200	0.014	0.972	0.12	1.05	1.34	0.632	0.000
42000	149	200	0.013	0.973	0.14	1.08	1.333	0.64	0.036
43000	147	200	0.013	0.973	0.14	1.10	1.336	0.637	0.000
44000	142	200	0.015	0.971	0.13	1.13	1.333	0.638	0.000
45000	144	200	0.015	0.97	0.14	1.15	1.327	0.643	0.000
46000	148	200	0.015	0.97	0.14	1.17	1.327	0.643	0.000
47000	152	200	0.021	0.958	0.13	1.19	1.319	0.639	0.038
48000	149	200	0.025	0.95	0.12	1.21	1.315	0.635	0.000
49000	146	200	0.024	0.953	0.12	1.24	1.313	0.64	0.000
50000	146	200	0.022	0.956	0.11	1.26	1.314	0.642	0.000
51000	137	200	0.02	0.96	0.11	1.29	1.321	0.639	0.012
52000	143	200	0.011	0.977	0.12	1.32	1.343	0.634	0.000
53000	145	200	0.015	0.97	0.12	1.34	1.34	0.63	0.026
54000	146	200	0.015	0.969	0.11	1.37	1.335	0.634	0.038
55000	144	200	0.014	0.972	0.10	1.40	1.341	0.631	0.080
56000	144	200	0.016	0.968	0.11	1.43	1.343	0.625	0.021
57000	145	200	0.015	0.97	0.12	1.45	1.339	0.631	0.000
