Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	4432	5000	0.6977	0.686	0.2296	0.000	0.000	0.000	4.20
10000	4523	5000	0.5296	0.7364	0.2535	0.000	0.000	0.000	9.96
15000	4596	5000	0.5271	0.7552	0.2753	0.000	0.000	0.000	15.34
20000	4659	5000	0.5244	0.767	0.2863	0.000	0.000	0.000	20.13
25000	4708	5000	0.522	0.772	0.3107	0.000	0.000	0.000	24.92
30000	4719	5000	0.5217	0.7764	0.3203	0.000	0.000	0.000	29.88
35000	4729	5000	0.5214	0.7718	0.3297	0.000	0.000	0.000	34.26
40000	4732	5000	0.5212	0.7746	0.3326	0.000	0.000	0.000	38.63
45000	4725	5000	0.5206	0.7774	0.3405	0.000	0.000	0.000	42.98
50000	4737	5000	0.5204	0.777	0.3503	0.000	0.000	0.000	47.32
