att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.560;0.083	#	101	0.753	0.945	7	67.02	399975	55046	0.50		118613	125533
0.505;0.741	#	110	0.247	0.756	2	55.12	399991	276483	0.50		10967	14505
0.505;0.749	#	110	0.266	0.767	3	53.13	399991	290443	0.50		10355	13493
0.807;4.975	#	010	1.000	1.000	2	60.67	399998	307513	0.50		2385	2385
#	-0.396;0.115	101	0.336	0.804	3	73.28	399997	315415	0.50		17932	22298
#	-1.939;-0.382	001	0.402	0.834	1	58.74	399992	316888	0.50		2383	2859
-3.411;-0.560	#	001	1.000	1.000	2	72.50	399978	318679	0.50		7456	7456
0.505;0.749	0.174;0.949	110	1.000	1.000	6	53.86	399991	321082	1.00		7234	7234
-3.312;-0.560	#	001	1.000	1.000	2	72.50	399978	321276	0.50		7222	7222
0.486;0.507	0.137;0.896	111	0.463	0.857	1	22.80	399977	322226	1.00		1338	1561
0.742;3.990	0.473;1.108	010	1.000	1.000	1	56.48	399998	334099	1.00		1887	1887
0.742;4.975	#	010	0.670	0.923	3	51.70	399998	334437	0.50		2254	2442
0.149;0.522	0.464;0.913	111	0.700	0.931	1	63.34	399979	334908	1.00		10073	10818
-0.560;0.057	-0.290;0.946	101	1.000	1.000	2	71.36	399975	340460	1.00		17917	17917
0.101;0.486	#	111	0.175	0.706	2	58.90	399979	340907	0.50		14216	20142
-0.560;0.515	-0.396;0.115	101	1.000	1.000	1	72.13	399997	343588	1.00		11960	11960
0.505;0.741	0.174;0.949	110	1.000	1.000	2	56.10	399991	343658	1.00		4839	4839
0.508;0.749	0.499;0.949	110	1.000	1.000	2	56.67	399935	343658	1.00		3225	3225
-0.560;0.057	0.265;0.946	101	1.000	1.000	1	64.12	399958	344848	1.00		9006	9006
0.508;0.741	0.246;0.949	110	1.000	1.000	2	57.31	399991	345590	1.00		4206	4206
-3.987;-0.560	#	001	1.000	1.000	3	72.50	399978	347454	0.50		4821	4821
-4.108;-0.560	#	001	1.000	1.000	4	72.50	399978	349581	0.50		4626	4626
0.539;3.033	-1.602;0.144	100	1.000	1.000	2	51.80	399942	350800	1.00		1268	1268
0.254;0.515	-0.396;0.115	101	1.000	1.000	1	57.33	399997	350886	1.00		1969	1969
0.807;4.975	#	010	1.000	1.000	4	60.67	399998	351836	0.50		1242	1242
-0.560;-0.145	-0.332;1.074	101	1.000	1.000	2	70.74	399975	353092	1.00		10487	10487
0.101;0.481	0.131;0.913	111	1.000	1.000	1	69.07	399979	354090	1.00		10912	10912
0.505;0.749	0.174;0.938	110	1.000	1.000	2	53.86	399991	354935	1.00		4130	4130
-4.515;-0.560	#	001	1.000	1.000	2	72.50	399978	355620	0.50		4071	4071
0.742;3.990	#	010	0.668	0.923	2	51.70	399998	356269	0.50		1502	1628
#	-1.296;-0.425	001	1.000	1.000	1	55.06	399984	356403	0.50		873	873
0.101;0.486	0.337;0.913	111	1.000	1.000	2	71.81	399979	356804	1.00		8417	8417
0.742;4.158	#	010	0.668	0.923	1	51.70	399998	358379	0.50		1429	1549
0.539;2.021	-1.357;0.144	100	1.000	1.000	2	51.80	399942	358507	1.00		1068	1068
-0.560;0.083	0.265;0.946	101	1.000	1.000	1	64.08	399958	358676	1.00		7107	7107
-0.560;-0.059	#	101	0.770	0.949	1	66.65	399975	358721	0.50		11004	11596
0.505;0.749	0.174;0.965	110	0.857	0.970	1	52.99	399991	359158	1.00		3745	3862
-3.815;-0.560	-1.613;1.608	001	1.000	1.000	2	72.50	399978	359927	1.00		3676	3676
0.101;0.486	0.131;0.913	111	1.000	1.000	6	69.02	399979	360144	1.00		9588	9588
0.505;0.749	0.246;0.938	110	1.000	1.000	3	56.90	399991	361079	1.00		3230	3230
0.649;1.523	0.923;1.419	010	1.000	1.000	9	30.75	399870	362835	1.00		213	213
-0.452;0.083	0.293;0.946	101	1.000	1.000	1	64.68	399958	363662	1.00		5415	5415
-0.560;0.083	-0.332;0.917	101	1.000	1.000	1	71.28	399975	363704	1.00		11751	11751
-0.560;0.083	-0.396;0.946	101	1.000	1.000	2	71.17	399975	364590	1.00		12182	12182
-2.669;0.222	-1.939;-0.425	001	1.000	1.000	1	56.16	399984	364875	1.00		603	603
-0.560;0.548	-0.396;0.115	101	1.000	1.000	2	72.13	399997	365415	1.00		7332	7332
0.539;3.033	-2.167;0.144	100	1.000	1.000	3	51.80	399942	365634	1.00		885	885
-0.324;0.548	-0.396;0.107	101	1.000	1.000	1	70.47	399997	367025	1.00		5100	5100
#	-0.396;0.107	101	0.336	0.804	1	73.28	399997	368529	0.50		6672	8297
-0.567;0.548	-0.827;0.079	101	0.573	0.895	1	64.99	399997	368708	1.00		6094	6811
-3.815;-0.560	#	001	1.000	1.000	2	72.50	399978	368836	0.50		2861	2861
-0.560;0.083	-0.332;0.946	101	1.000	1.000	1	71.28	399975	369069	1.00		10019	10019
0.505;0.749	-0.524;0.965	110	0.266	0.768	1	53.13	399991	369593	1.00		2873	3743
#	-1.639;-0.425	001	1.000	1.000	1	55.06	399984	370285	0.50		597	597
0.539;2.021	-1.302;0.144	100	1.000	1.000	1	51.80	399942	370410	1.00		761	761
0.508;0.741	#	110	0.237	0.750	1	54.82	399991	370697	0.50		2517	3356
-0.452;0.083	0.048;0.964	101	0.936	0.987	1	66.40	399958	370707	1.00		6296	6380
-0.560;0.515	-0.396;0.272	101	0.538	0.883	1	65.81	399997	371008	1.00		7559	8557
0.101;0.793	0.131;0.911	111	0.179	0.709	1	57.48	399979	371192	1.00		7425	10475
0.742;4.641	0.473;1.233	010	1.000	1.000	1	56.48	399998	371431	1.00		818	818
-0.161;0.653	-1.639;-0.425	001	1.000	1.000	2	52.59	399984	371757	1.00		323	323
-0.560;0.083	-0.396;0.780	101	1.000	1.000	1	71.74	399975	372055	1.00		8806	8806
-1.070;0.124	#	101	0.183	0.712	1	68.02	399975	372494	0.50		9936	13954
#	-0.493;-0.125	101	0.122	0.656	1	65.79	399997	372794	0.50		3272	4987
-3.815;-0.578	#	001	1.000	1.000	1	72.92	399978	372817	0.50		2337	2337
0.539;3.061	-0.393;0.144	100	1.000	1.000	1	51.80	399942	372853	1.00		698	698
0.539;2.184	-0.393;0.144	100	1.000	1.000	1	51.80	399942	372963	1.00		696	696
-0.987;-0.047	-2.077;-0.425	001	1.000	1.000	2	58.23	399950	373251	1.00		305	305
0.101;0.481	0.334;0.913	111	1.000	1.000	1	71.91	399979	373488	1.00		5090	5090
#	-1.296;-0.948	001	0.100	1.000	1	66.00	373523	373523	0.50		0	0
0.742;4.975	0.362;1.085	010	0.647	0.917	1	55.30	399998	373847	1.00		824	899
-0.161;0.653	-1.296;-0.425	001	1.000	1.000	1	52.59	399984	373851	1.00		299	299
0.101;0.481	0.131;0.911	111	1.000	1.000	2	69.07	399979	373926	1.00		6199	6199
0.149;0.200	#	111	0.434	0.846	1	70.76	399893	374101	0.50		815	963
0.101;0.481	0.229;1.051	111	0.776	0.951	1	62.72	399979	374289	1.00		5670	5965
0.505;0.749	0.178;0.388	110	1.000	1.000	2	48.33	399956	374370	1.00		587	587
0.254;0.548	-0.518;0.115	101	1.000	1.000	1	57.33	399997	374749	1.00		1014	1014
0.649;1.523	0.891;1.419	010	1.000	1.000	1	40.52	399870	375050	1.00		214	214
0.079;0.548	-0.396;0.115	101	1.000	1.000	2	57.22	399997	375165	1.00		2135	2135
-0.560;0.083	-0.087;0.946	101	1.000	1.000	1	66.93	399958	375298	1.00		6795	6795
0.539;1.428	-1.302;0.144	100	1.000	1.000	2	51.80	399942	375681	1.00		625	625
0.505;0.741	0.246;0.949	110	1.000	1.000	2	57.36	399991	375687	1.00		1947	1947
0.505;0.741	0.246;0.907	110	1.000	1.000	2	57.36	399991	375766	1.00		1940	1940
0.505;0.749	0.178;0.584	110	1.000	1.000	2	53.02	399991	375910	1.00		1105	1105
-4.143;-0.560	#	001	1.000	1.000	3	72.50	399978	376330	0.50		2172	2172
-4.515;-0.560	0.179;0.859	001	1.000	1.000	1	67.15	399978	377181	1.00		983	983
-0.540;0.581	-3.248;-0.425	001	1.000	1.000	1	55.06	399984	377299	1.00		456	456
0.742;3.990	0.561;1.222	010	1.000	1.000	3	56.78	399910	377408	1.00		581	581
0.505;0.749	0.174;0.637	110	1.000	1.000	1	53.12	399991	377898	1.00		1079	1079
-0.560;0.083	0.428;0.946	101	1.000	1.000	1	64.18	399886	377993	1.00		2709	2709
-3.959;-0.560	#	001	1.000	1.000	4	72.50	399978	378146	0.50		2007	2007
-0.560;0.083	0.013;0.926	101	1.000	1.000	1	66.17	399958	378220	1.00		5495	5495
0.101;0.486	0.316;0.926	111	1.000	1.000	2	71.81	399979	378230	1.00		4299	4299
0.101;0.481	0.481;0.910	111	1.000	1.000	1	71.79	399979	378230	1.00		3240	3240
0.505;0.749	0.246;0.664	110	1.000	1.000	1	57.15	399991	378247	1.00		998	998
-1.930;-0.237	-2.398;-0.382	001	1.000	1.000	3	56.58	399992	378354	1.00		372	372
-0.233;0.083	-0.221;0.946	101	1.000	1.000	1	71.83	399958	378649	1.00		3244	3244
0.101;0.486	0.256;0.926	111	1.000	1.000	2	71.36	399979	378812	1.00		4613	4613
#	-0.390;0.332	101	0.117	0.651	1	67.77	399997	379137	0.50		5802	8907
0.539;3.061	-0.940;0.144	100	1.000	1.000	2	51.80	399942	379418	1.00		530	530
0.539;2.184	-1.330;0.144	100	1.000	1.000	1	51.80	399942	379520	1.00		526	526
1.396;3.061	#	100	0.100	1.000	1	57.66	379700	379700	0.50		0	0
0.807;4.542	-0.420;1.233	010	1.000	1.000	1	60.67	399998	379807	1.00		520	520
0.101;0.481	0.256;0.926	111	1.000	1.000	1	71.43	399979	379859	1.00		4327	4327
0.539;2.500	-1.357;0.144	100	1.000	1.000	2	51.80	399942	379869	1.00		517	517
-0.567;0.548	-0.174;0.336	101	0.238	0.751	1	66.21	399958	380267	1.00		3394	4521
0.807;4.542	#	010	1.000	1.000	2	60.67	399998	380277	0.50		507	507
0.505;0.749	0.327;0.648	110	1.000	1.000	1	57.20	399991	380391	1.00		787	787
-0.294;0.083	0.232;1.167	101	0.893	0.978	1	65.26	399958	380605	1.00		2447	2503
0.807;4.975	-0.072;0.891	010	1.000	1.000	1	60.51	399998	380626	1.00		443	443
-0.560;0.083	-0.087;0.541	101	1.000	1.000	1	68.21	399958	380795	1.00		3520	3520
0.101;0.486	0.131;0.915	111	1.000	1.000	1	69.02	399979	380906	1.00		4594	4594
0.149;0.507	#	111	0.209	0.731	1	53.52	399979	381081	0.50		4281	5856
0.807;4.975	1.052;2.070	010	0.100	1.000	1	57.87	381203	381203	1.00		0	0
-0.560;0.083	-0.409;0.946	101	0.959	0.992	1	67.75	399975	381310	1.00		6430	6484
0.508;0.741	0.174;0.949	110	1.000	1.000	1	55.90	399991	381388	1.00		1543	1543
-0.452;0.548	-0.396;0.413	101	0.248	0.756	1	66.35	399997	381442	1.00		4946	6539
0.807;4.245	0.594;1.108	010	1.000	1.000	1	63.68	399910	381596	1.00		368	368
-0.560;0.083	0.040;0.946	101	1.000	1.000	1	65.99	399958	381941	1.00		4347	4347
-0.161;0.222	-1.939;-0.425	001	1.000	1.000	1	54.61	399984	382151	1.00		155	155
-3.161;-0.560	0.487;0.926	001	1.000	1.000	2	68.47	399934	382354	1.00		505	505
0.101;0.290	0.082;0.896	111	0.793	0.955	1	69.36	399893	382477	1.00		2104	2204
#	0.067;0.115	101	1.000	1.000	1	75.04	399903	382668	0.50		399	399
0.101;0.486	0.131;1.537	111	0.792	0.954	1	62.05	399979	382669	1.00		4168	4367
-0.452;0.548	-0.409;0.413	101	0.248	0.756	1	66.35	399997	382838	1.00		4574	6047
-0.309;0.534	-0.396;0.115	101	1.000	1.000	2	70.47	399997	383034	1.00		2625	2625
#	-2.398;-0.382	001	0.398	0.832	4	58.74	399992	383372	0.50		474	570
-3.987;-0.560	-0.610;0.381	001	1.000	1.000	1	74.28	399959	383381	1.00		859	859
0.101;0.481	0.131;0.926	111	1.000	1.000	3	69.07	399979	383406	1.00		3940	3940
0.101;0.486	0.131;0.911	111	1.000	1.000	2	69.02	399979	383601	1.00		3947	3947
0.539;3.061	-1.289;0.144	100	1.000	1.000	1	51.80	399942	383672	1.00		419	419
-0.560;-0.470	0.265;0.926	101	1.000	1.000	1	59.47	399858	383719	1.00		233	233
0.505;0.741	0.756;0.949	110	1.000	1.000	1	53.73	399664	384142	1.00		225	225
0.807;4.245	-0.394;1.233	010	1.000	1.000	1	60.67	399998	384317	1.00		404	404
0.539;1.428	-1.090;0.144	100	1.000	1.000	2	51.80	399942	384480	1.00		399	399
-3.411;-0.673	#	001	1.000	1.000	1	74.79	399959	384541	0.50		799	799
-2.669;0.653	-1.939;-0.425	001	1.000	1.000	2	55.06	399984	384594	1.00		310	310
0.807;4.542	0.008;1.056	010	1.000	1.000	1	60.67	399998	384642	1.00		396	396
-0.388;0.518	-0.316;0.115	101	1.000	1.000	1	75.84	399997	384739	1.00		2100	2100
#	-0.316;0.014	101	0.258	0.763	1	75.58	399997	384779	0.50		1828	2397
-0.560;0.548	-0.518;0.115	101	0.596	0.902	1	66.14	399997	384937	1.00		3193	3541
-0.070;0.400	0.131;0.913	111	0.341	0.806	1	65.57	399979	385175	1.00		3012	3735
-4.108;-0.560	0.310;1.103	001	1.000	1.000	1	67.67	399978	385179	1.00		595	595
0.508;0.802	0.174;0.949	110	0.628	0.911	1	51.23	399991	385189	1.00		1312	1440
-0.560;0.083	-0.396;0.946	101	1.000	1.000	3	71.17	399975	385281	1.00		5061	5061
0.101;0.486	0.131;1.521	111	0.792	0.954	1	62.05	399979	385443	1.00		3502	3669
0.807;4.245	#	010	1.000	1.000	3	60.67	399998	385836	0.50		364	364
-0.560;0.083	0.124;0.931	101	1.000	1.000	1	63.75	399958	385898	1.00		3034	3034
0.807;3.607	#	010	1.000	1.000	1	60.67	399998	386062	0.50		359	359
0.742;4.245	#	010	0.668	0.922	1	51.70	399998	386133	0.50		476	516
0.101;0.481	-0.201;0.913	111	0.436	0.847	1	67.84	399979	386222	1.00		3271	3861
-0.560;0.083	-0.395;0.946	101	1.000	1.000	2	71.17	399975	386369	1.00		4685	4685
-3.640;-0.560	-0.678;0.002	001	1.000	1.000	1	75.83	399959	386385	1.00		546	546
-3.959;-0.560	-0.588;0.332	001	1.000	1.000	2	74.28	399959	386635	1.00		693	693
0.807;5.177	0.008;1.056	010	1.000	1.000	1	60.67	399998	386760	1.00		341	341
0.254;0.515	-0.581;0.115	101	1.000	1.000	2	57.33	399997	386873	1.00		526	526
0.539;2.021	-1.067;0.144	100	1.000	1.000	1	51.80	399942	386987	1.00		334	334
0.807;4.162	0.594;1.108	010	1.000	1.000	1	63.68	399910	387136	1.00		257	257
0.807;3.584	#	010	1.000	1.000	1	60.67	399998	387136	0.50		331	331
0.101;0.486	0.319;0.701	111	1.000	1.000	1	73.62	399979	387415	1.00		1693	1693
0.101;0.486	0.334;0.926	111	1.000	1.000	1	71.81	399979	387440	1.00		2447	2447
0.539;2.169	-1.302;0.143	100	1.000	1.000	1	51.80	399942	387727	1.00		315	315
0.807;4.542	0.277;0.787	010	1.000	1.000	1	60.31	399998	388132	1.00		238	238
#	-0.798;-0.382	001	0.398	0.832	1	58.74	399992	388173	0.50		336	404
1.044;4.975	#	010	0.100	1.000	1	56.53	388183	388183	0.50		0	0
0.381;0.481	0.256;0.911	111	1.000	1.000	1	71.04	399951	388328	1.00		635	635
-0.246;0.242	-0.396;0.115	101	1.000	1.000	1	78.40	399975	388343	1.00		1134	1134
-3.309;-0.560	#	001	1.000	1.000	1	72.50	399978	388461	0.50		1058	1058
0.101;0.481	0.233;0.926	111	1.000	1.000	1	71.43	399979	388563	1.00		2458	2458
0.101;0.481	0.256;0.913	111	1.000	1.000	1	71.43	399979	388563	1.00		2458	2458
-0.531;0.572	-1.639;-0.425	001	1.000	1.000	2	55.06	399984	388816	1.00		225	225
0.505;0.749	0.508;1.131	110	0.792	0.954	1	55.18	399935	388845	1.00		670	702
1.582;4.245	-0.394;1.233	010	0.100	1.000	1	58.70	389091	389091	1.00		0	0
-0.388;-0.091	-0.316;0.115	101	1.000	1.000	1	87.12	399975	389178	1.00		465	465
-3.959;-0.560	-0.001;0.764	001	1.000	1.000	1	67.03	399978	389367	1.00		398	398
0.149;0.522	-0.212;0.913	111	0.397	0.831	1	59.70	399979	389457	1.00		2385	2869
-0.161;0.653	-1.939;-0.425	001	1.000	1.000	1	52.59	399984	389480	1.00		122	122
0.807;4.975	0.318;1.056	010	1.000	1.000	1	60.67	399998	389528	1.00		270	270
0.079;0.518	-0.396;0.217	101	0.308	0.790	1	55.32	399997	389546	1.00		896	1134
0.539;2.169	-1.330;0.143	100	1.000	1.000	1	51.80	399942	389568	1.00		267	267
0.505;0.741	0.178;0.990	110	0.849	0.968	1	55.01	399991	389814	1.00		872	901
-0.148;0.900	-0.396;0.115	101	0.535	0.882	1	64.42	399997	389865	1.00		1306	1480
-3.312;-0.673	#	001	1.000	1.000	1	74.79	399959	389918	0.50		521	521
-0.801;0.049	-2.077;-0.425	001	1.000	1.000	1	58.19	399984	389926	1.00		143	143
-0.560;1.269	-0.396;0.115	101	0.677	0.925	1	71.54	399997	390101	1.00		2096	2266
-3.411;-0.560	0.122;0.731	001	1.000	1.000	1	67.03	399978	390334	1.00		362	362
-0.560;0.534	-0.396;0.115	101	1.000	1.000	3	72.13	399997	390450	1.00		2022	2022
#	-0.633;-0.024	101	0.122	0.657	1	66.93	399997	390450	0.50		1422	2165
0.539;3.033	-0.572;-0.048	100	1.000	1.000	1	57.46	399942	390477	1.00		136	136
0.539;3.061	-1.602;0.144	100	1.000	1.000	1	51.80	399942	390477	1.00		244	244
0.101;0.486	0.131;0.251	111	1.000	1.000	1	52.01	399780	390510	1.00		218	218
#	-1.939;-0.425	001	1.000	1.000	3	55.06	399984	390561	0.50		190	190
0.505;0.749	0.648;0.752	110	1.000	1.000	1	54.88	399935	390568	1.00		216	216
0.539;3.054	-1.116;0.144	100	1.000	1.000	1	51.80	399942	390688	1.00		238	238
0.505;0.749	-0.207;0.949	110	0.436	0.847	1	53.32	399991	390834	1.00		865	1021
-1.428;0.057	-0.309;0.917	101	0.311	0.792	1	72.09	399975	390987	1.00		2767	3494
0.101;0.481	0.131;0.376	111	1.000	1.000	2	60.35	399930	391208	1.00		527	527
0.101;0.481	0.183;0.891	111	1.000	1.000	1	70.28	399979	391328	1.00		1890	1890
