Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	4401	5000	0.727	0.716	0.2084	0.000	0.000	0.000	4.02
10000	4569	5000	0.5587	0.7516	0.2416	0.000	0.000	0.000	9.82
15000	4620	5000	0.5542	0.7616	0.2598	0.000	0.000	0.000	15.59
20000	4714	5000	0.5503	0.7674	0.2833	0.000	0.000	0.000	21.25
25000	4712	5000	0.5462	0.7726	0.2909	0.000	0.000	0.000	26.93
30000	4724	5000	0.5457	0.7746	0.3039	0.000	0.000	0.000	32.44
35000	4758	5000	0.5458	0.778	0.3154	0.000	0.000	0.000	37.67
40000	4760	5000	0.5446	0.781	0.3299	0.000	0.000	0.000	42.24
45000	4751	5000	0.5433	0.7808	0.3359	0.000	0.000	0.000	46.67
50000	4745	5000	0.5425	0.7784	0.3435	0.000	0.000	0.000	51.10
