Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
1000	67	103	0.151	0.66	0.14	0.01	1.925	0.623	0.018
2000	122	195	0.148	0.668	0.13	0.04	1.938	0.617	0.014
3000	180	294	0.157	0.652	0.13	0.08	1.931	0.599	0.014
4000	236	382	0.145	0.681	0.13	0.14	1.946	0.62	0.014
5000	276	459	0.139	0.682	0.12	0.21	1.959	0.624	0.014
6000	314	500	0.119	0.732	0.12	0.30	1.994	0.649	0.007
7000	300	500	0.11	0.761	0.11	0.38	2.032	0.637	0.000
8000	299	500	0.103	0.763	0.11	0.46	2.042	0.649	0.000
9000	296	500	0.094	0.774	0.11	0.53	2.055	0.662	0.004
10000	304	500	0.091	0.781	0.11	0.61	2.047	0.679	0.008
11000	311	500	0.086	0.79	0.10	0.69	2.054	0.688	0.004
12000	306	500	0.086	0.79	0.09	0.77	2.057	0.685	0.005
13000	314	500	0.088	0.788	0.09	0.85	2.046	0.691	0.004
14000	320	500	0.08	0.801	0.09	0.93	2.067	0.694	0.000
15000	315	500	0.082	0.796	0.08	1.00	2.06	0.694	0.000
16000	322	500	0.078	0.804	0.08	1.08	2.068	0.697	0.004
17000	316	500	0.075	0.807	0.08	1.15	2.062	0.714	0.006
18000	312	500	0.073	0.81	0.07	1.22	2.067	0.713	0.012
19000	320	500	0.072	0.812	0.07	1.29	2.068	0.716	0.010
20000	322	500	0.071	0.813	0.07	1.36	2.067	0.72	0.008
21000	329	500	0.065	0.825	0.08	1.43	2.079	0.725	0.011
22000	330	500	0.061	0.834	0.07	1.49	2.084	0.732	0.008
23000	333	500	0.055	0.844	0.07	1.56	2.088	0.747	0.000
24000	332	500	0.054	0.845	0.07	1.62	2.089	0.748	0.004
25000	339	500	0.049	0.852	0.07	1.68	2.087	0.765	0.004
26000	337	500	0.05	0.852	0.08	1.75	2.089	0.761	0.013
27000	341	500	0.05	0.853	0.09	1.81	2.089	0.762	0.013
28000	343	500	0.047	0.859	0.08	1.88	2.089	0.77	0.001
29000	346	500	0.046	0.862	0.08	1.95	2.097	0.765	0.009
30000	350	500	0.045	0.864	0.08	2.01	2.093	0.771	0.000
31000	349	500	0.044	0.867	0.08	2.08	2.096	0.771	0.017
32000	345	500	0.044	0.87	0.08	2.15	2.083	0.786	0.013
33000	349	500	0.039	0.883	0.08	2.21	2.095	0.788	0.000
34000	348	500	0.036	0.893	0.08	2.28	2.087	0.805	0.004
35000	356	500	0.035	0.897	0.07	2.34	2.086	0.81	0.009
36000	354	500	0.03	0.91	0.07	2.40	2.095	0.815	0.000
37000	356	500	0.03	0.91	0.07	2.46	2.094	0.816	0.012
38000	362	500	0.03	0.91	0.07	2.52	2.095	0.815	0.000
39000	362	500	0.03	0.911	0.07	2.58	2.094	0.817	0.004
40000	358	500	0.028	0.917	0.07	2.64	2.087	0.83	0.000
41000	352	500	0.028	0.917	0.07	2.70	2.091	0.826	0.000
42000	345	500	0.027	0.918	0.07	2.76	2.09	0.828	0.008
43000	342	500	0.026	0.921	0.06	2.82	2.091	0.83	0.004
44000	349	500	0.025	0.925	0.07	2.88	2.102	0.823	0.000
45000	354	500	0.026	0.923	0.06	2.94	2.096	0.827	0.000
46000	346	500	0.025	0.925	0.06	2.99	2.097	0.828	0.000
47000	350	500	0.025	0.924	0.07	3.05	2.087	0.837	0.009
48000	350	500	0.024	0.927	0.07	3.10	2.097	0.83	0.016
49000	346	500	0.027	0.92	0.06	3.16	2.093	0.827	0.009
50000	347	500	0.026	0.921	0.06	3.22	2.085	0.836	0.012
51000	358	500	0.026	0.922	0.06	3.27	2.094	0.828	0.000
52000	354	500	0.026	0.921	0.06	3.33	2.096	0.825	0.000
53000	354	500	0.026	0.921	0.06	3.38	2.097	0.824	0.000
54000	343	500	0.027	0.921	0.06	3.44	2.093	0.827	0.013
55000	341	500	0.027	0.922	0.06	3.49	2.09	0.83	0.004
56000	350	500	0.028	0.919	0.06	3.55	2.09	0.826	0.004
57000	349	500	0.028	0.918	0.06	3.60	2.088	0.827	0.009
58000	353	500	0.027	0.92	0.05	3.66	2.091	0.828	0.000
59000	349	500	0.026	0.923	0.05	3.71	2.099	0.824	0.004
60000	350	500	0.026	0.922	0.05	3.76	2.094	0.828	0.004
61000	359	500	0.026	0.922	0.05	3.82	2.097	0.825	0.004
62000	356	500	0.026	0.923	0.05	3.88	2.09	0.833	0.019
63000	355	500	0.025	0.926	0.05	3.94	2.095	0.83	0.000
64000	354	500	0.026	0.921	0.06	4.00	2.096	0.825	0.017
65000	358	500	0.028	0.917	0.06	4.05	2.078	0.839	0.005
66000	355	500	0.027	0.919	0.06	4.11	2.084	0.835	0.000
67000	351	500	0.031	0.909	0.06	4.16	2.073	0.833	0.005
68000	347	500	0.03	0.913	0.06	4.22	2.082	0.829	0.000
69000	348	500	0.026	0.923	0.06	4.27	2.082	0.84	0.014
70000	352	500	0.024	0.929	0.07	4.33	2.094	0.833	0.000
71000	346	500	0.024	0.933	0.06	4.38	2.093	0.835	0.011
72000	349	500	0.024	0.927	0.07	4.43	2.087	0.84	0.013
73000	355	500	0.023	0.93	0.07	4.49	2.094	0.836	0.005
74000	353	500	0.022	0.933	0.06	4.54	2.097	0.836	0.000
75000	361	500	0.021	0.936	0.07	4.60	2.096	0.84	0.000
76000	356	500	0.021	0.937	0.07	4.66	2.096	0.841	0.015
77000	354	500	0.02	0.939	0.06	4.72	2.09	0.849	0.010
78000	360	500	0.02	0.94	0.06	4.77	2.094	0.846	0.016
79000	362	500	0.021	0.938	0.06	4.82	2.092	0.846	0.000
80000	357	500	0.02	0.939	0.06	4.88	2.093	0.846	0.013
81000	358	500	0.02	0.94	0.06	4.93	2.1	0.84	0.000
82000	358	500	0.021	0.936	0.06	4.98	2.096	0.84	0.022
83000	355	500	0.021	0.937	0.06	5.04	2.099	0.838	0.004
84000	349	500	0.021	0.937	0.06	5.09	2.086	0.851	0.017
85000	352	500	0.021	0.938	0.07	5.15	2.098	0.84	0.000
86000	358	500	0.023	0.932	0.06	5.20	2.092	0.84	0.004
87000	356	500	0.023	0.931	0.06	5.25	2.088	0.843	0.018
88000	360	500	0.02	0.94	0.07	5.31	2.099	0.841	0.014
89000	355	500	0.021	0.937	0.06	5.36	2.098	0.839	0.020
90000	354	500	0.02	0.939	0.06	5.41	2.098	0.841	0.004
91000	351	500	0.021	0.937	0.07	5.47	2.096	0.841	0.018
92000	359	500	0.02	0.939	0.06	5.52	2.09	0.849	0.005
93000	351	500	0.02	0.94	0.06	5.57	2.094	0.846	0.000
94000	355	500	0.021	0.938	0.06	5.63	2.092	0.846	0.004
95000	359	500	0.021	0.938	0.05	5.68	2.092	0.846	0.008
96000	361	500	0.02	0.94	0.06	5.73	2.1	0.84	0.004
97000	363	500	0.02	0.939	0.06	5.78	2.097	0.842	0.004
98000	352	500	0.02	0.941	0.06	5.83	2.098	0.843	0.007
99000	357	500	0.02	0.939	0.06	5.88	2.088	0.851	0.006
100000	358	500	0.02	0.941	0.06	5.93	2.096	0.845	0.000
101000	351	500	0.02	0.939	0.06	5.98	2.095	0.844	0.005
102000	353	500	0.02	0.939	0.06	6.03	2.087	0.852	0.004
103000	353	500	0.02	0.94	0.06	6.08	2.097	0.843	0.004
104000	354	500	0.02	0.939	0.06	6.13	2.097	0.842	0.004
105000	354	500	0.02	0.941	0.06	6.18	2.1	0.841	0.004
106000	351	500	0.02	0.941	0.06	6.23	2.094	0.847	0.007
107000	346	500	0.018	0.947	0.06	6.28	2.092	0.855	0.008
108000	346	500	0.02	0.941	0.06	6.33	2.092	0.849	0.004
109000	349	500	0.019	0.944	0.06	6.39	2.091	0.853	0.000
110000	343	500	0.018	0.945	0.06	6.44	2.096	0.849	0.000
111000	342	500	0.017	0.95	0.06	6.50	2.099	0.851	0.000
112000	342	500	0.016	0.953	0.06	6.55	2.096	0.857	0.006
113000	348	500	0.02	0.943	0.06	6.59	2.097	0.844	0.003
114000	353	500	0.02	0.943	0.06	6.64	2.086	0.854	0.000
115000	355	500	0.019	0.946	0.06	6.69	2.095	0.848	0.007
116000	354	500	0.021	0.941	0.06	6.74	2.094	0.844	0.000
117000	356	500	0.019	0.946	0.06	6.79	2.089	0.854	0.000
118000	359	500	0.017	0.953	0.07	6.84	2.1	0.85	0.000
119000	358	500	0.017	0.952	0.06	6.89	2.094	0.854	0.000
120000	357	500	0.017	0.951	0.06	6.94	2.095	0.853	0.000
121000	364	500	0.016	0.955	0.06	6.98	2.086	0.867	0.008
122000	373	500	0.016	0.957	0.06	7.03	2.097	0.854	0.009
123000	375	500	0.017	0.956	0.06	7.08	2.093	0.857	0.000
124000	376	500	0.016	0.956	0.06	7.13	2.088	0.863	0.016
125000	375	500	0.016	0.957	0.06	7.18	2.096	0.855	0.000
126000	366	500	0.016	0.958	0.07	7.23	2.098	0.854	0.013
127000	368	500	0.016	0.958	0.07	7.27	2.097	0.855	0.013
128000	369	500	0.016	0.958	0.07	7.31	2.095	0.858	0.000
129000	363	500	0.016	0.957	0.07	7.36	2.09	0.861	0.015
130000	368	500	0.017	0.956	0.07	7.41	2.094	0.856	0.006
131000	369	500	0.017	0.954	0.07	7.46	2.092	0.856	0.006
132000	363	500	0.017	0.955	0.07	7.51	2.092	0.858	0.013
133000	366	500	0.018	0.951	0.07	7.55	2.101	0.844	0.032
134000	367	500	0.018	0.949	0.06	7.61	2.096	0.85	0.008
135000	374	500	0.016	0.952	0.07	7.66	2.098	0.854	0.017
136000	375	500	0.016	0.953	0.07	7.71	2.088	0.865	0.000
137000	364	500	0.015	0.955	0.07	7.75	2.094	0.861	0.019
138000	353	500	0.016	0.952	0.06	7.79	2.086	0.866	0.012
139000	366	500	0.015	0.955	0.06	7.84	2.082	0.873	0.013
140000	364	500	0.016	0.958	0.06	7.88	2.093	0.86	0.005
141000	366	500	0.014	0.963	0.07	7.93	2.099	0.858	0.004
142000	367	500	0.014	0.963	0.06	7.97	2.096	0.861	0.009
