Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	#	0.238;0.451	0.239;0.354	#	#	#	0.122;0.329	#	#	#	0.651;0.995	-0.048;0.408	#	0.003;0.011	#	0.179;0.597	0.742;1.769	0.032;0.493	#	-0.047;1.078	#	000001	1.000	1.000	1	207.68	49732	75	0.45		128	128
#	0.018;0.126	#	0.039;0.157	#	#	#	#	-0.181;0.536	#	#	0.438;0.650	0.221;0.432	#	#	#	-0.174;0.798	#	#	0.080;0.108	-0.219;1.729	-0.509;0.784	000001	0.336	0.804	1	606.18	49996	111	0.41		2682	6510
#	0.059;0.215	#	0.154;0.349	-0.164;0.453	#	#	0.060;0.320	0.456;0.820	4.566;10.861	0.364;0.685	0.466;0.831	#	#	#	#	#	#	#	0.064;0.096	#	#	000100	1.000	1.000	1	274.14	49793	136	0.41		128	128
-88.935;-70.534	#	-0.002;0.119	-0.041;0.139	#	4.217;8.904	#	-0.048;0.163	#	4.368;10.169	-0.210;0.468	#	#	-0.002;0.106	#	#	#	#	#	0.146;0.173	#	0.823;1.703	110001	1.000	1.000	2	194.57	49795	138	0.45		128	128
#	#	-0.019;0.165	0.005;0.148	#	#	0.256;0.461	0.102;0.210	-0.012;0.307	#	#	0.672;0.956	0.214;0.537	#	0.008;0.020	-0.073;0.660	#	#	0.172;0.464	0.084;0.150	#	#	100001	1.000	1.000	1	300.17	49803	146	0.50		128	128
#	0.004;0.121	#	#	-0.218;0.223	0.630;9.283	#	0.215;0.345	0.237;0.944	#	0.065;0.521	#	0.023;0.393	#	0.004;0.009	-0.388;0.442	0.406;1.293	#	#	#	#	0.393;1.560	011000	1.000	1.000	1	195.26	49845	188	0.50		128	128
-80.956;-55.280	-0.001;0.098	-0.028;0.170	#	#	#	#	-0.070;0.179	-0.019;0.266	-1.222;5.566	0.332;0.441	#	0.310;0.779	#	#	-0.045;0.765	#	#	0.011;0.265	0.068;0.102	-0.338;0.951	0.752;1.650	100000	0.055	0.889	1	13.33	227	227	0.59		0	0
-89.857;-60.330	#	0.047;0.136	#	#	2.819;7.386	0.286;0.464	#	0.381;0.434	0.996;4.823	-0.282;0.569	#	#	#	#	#	-0.488;0.717	#	0.080;0.597	0.076;0.133	-0.262;1.796	#	010000	0.024	0.750	1	18.00	236	236	0.50		0	0
#	0.007;0.105	-0.003;0.194	#	0.284;1.095	#	0.371;0.489	-0.035;0.149	#	#	-0.228;0.450	0.259;0.609	#	#	#	#	-0.504;0.752	#	0.099;0.466	#	#	#	100000	0.285	0.778	1	386.29	49956	299	0.41		127	762
-101.260;-88.422	0.048;0.156	0.152;0.320	0.186;0.277	-0.361;0.361	1.899;6.105	#	#	0.902;1.461	#	0.300;1.089	#	#	0.060;0.102	0.002;0.013	#	1.495;1.964	#	0.107;0.813	0.044;0.101	#	-0.443;0.526	000110	1.000	1.000	1	187.83	49957	300	0.64		128	128
