Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	4425	5000	0.7112	0.6994	0.2303	0.000	0.000	0.000	4.13
10000	4565	5000	0.5437	0.74	0.2558	0.000	0.000	0.000	9.51
15000	4588	5000	0.5407	0.756	0.2692	0.000	0.000	0.000	14.84
20000	4667	5000	0.539	0.7688	0.2956	0.000	0.000	0.000	19.42
25000	4689	5000	0.5373	0.7678	0.3109	0.000	0.000	0.000	24.57
30000	4709	5000	0.5365	0.7708	0.3210	0.000	0.000	0.000	29.41
35000	4708	5000	0.5357	0.7734	0.3311	0.000	0.000	0.000	33.82
40000	4702	5000	0.5353	0.7758	0.3363	0.000	0.000	0.000	38.18
45000	4713	5000	0.5347	0.7852	0.3442	0.000	0.000	0.000	42.56
50000	4687	5000	0.5346	0.7788	0.3478	0.000	0.000	0.000	46.96
