Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	5078	5986	0.6918	0.5406	0.2774	0.000	0.000	0.0001.71
10000	5173	6000	0.5225	0.5488	0.2820	0.000	0.000	0.0006.28
15000	5378	6000	0.512	0.5778	0.3294	0.000	0.000	0.00010.57
20000	5489	6000	0.5012	0.566	0.3739	0.000	0.000	0.00014.89
25000	5547	6000	0.4933	0.5602	0.4066	0.000	0.000	0.00019.27
30000	5608	6000	0.4863	0.5494	0.4328	0.000	0.000	0.00023.66
35000	5640	6000	0.4798	0.5418	0.4524	0.000	0.000	0.00027.84
40000	5675	6000	0.4762	0.5446	0.4655	0.000	0.000	0.00032.00
45000	5710	6000	0.4741	0.546	0.4791	0.000	0.000	0.00036.14
50000	5681	6000	0.4712	0.5412	0.4846	0.000	0.000	0.00040.04
