att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-2.089;-0.594	-1.285;0.057	000000000100000	0.023	0.470	4	210.17	399971	163542	1.00		4060	19283
-1.130;-0.430	-0.394;0.849	100000000000000	0.058	0.565	3	220.97	399996	334085	1.00		1411	7163
-2.016;-0.574	-0.612;0.736	110000000000000	0.030	0.496	2	214.28	399965	348938	1.00		877	4459
-1.018;-0.256	-0.592;-0.094	100100000100000	0.050	0.550	4	244.59	399969	351705	1.00		555	6570
0.148;1.081	-1.088;-0.187	000001000000100	0.063	0.575	3	195.61	399599	355366	1.00		191	6705
-0.915;-0.001	0.025;0.861	100001000000000	0.039	0.522	3	204.44	399452	357468	1.00		181	6511
#	-0.822;0.335	000001011010101	0.078	0.600	1	218.48	399904	359762	0.50		575	31608
-0.610;0.056	-0.861;0.327	100101011011100	0.193	0.720	2	252.42	399854	362384	1.00		162	14469
-1.000;0.033	#	001001001101000	0.023	0.470	4	233.46	399927	363398	0.50		316	20152
-0.243;0.766	0.689;1.187	000010000000000	0.048	0.544	1	148.38	399967	364285	1.00		206	1381
0.137;0.709	0.183;1.084	000000100010000	0.051	0.551	3	167.80	399571	370669	1.00		84	3148
#	-1.142;-0.512	000001001000100	0.108	0.640	5	196.12	399942	370945	0.50		373	6034
0.373;2.367	#	000001000000000	0.023	0.470	1	160.46	399994	371835	0.50		524	5362
-0.514;0.601	-0.614;-0.116	100001011011101	0.346	0.809	1	243.67	399982	374725	1.00		1083	7453
-0.801;0.018	#	110001001011000	0.069	0.586	1	233.42	399972	374913	0.50		215	12773
#	-0.834;0.087	101001011011100	0.109	0.642	5	217.78	399903	375132	0.50		179	16655
0.674;2.938	#	000001000010000	0.542	0.885	3	141.84	399962	375230	0.50		812	1241
#	-2.336;-0.746	001001001000000	0.208	0.730	1	176.10	399989	375524	0.50		245	1470
-0.691;0.033	-0.764;0.762	100001001011000	0.120	0.655	1	239.89	399835	376069	1.00		170	11056
#	-1.434;-0.134	001001001001101	0.077	0.600	2	220.12	399950	376184	0.50		646	12333
-0.999;0.163	-1.299;0.119	001101001101000	0.047	0.541	1	240.51	399818	377969	1.00		188	10399
-0.805;-0.309	#	100001001001000	0.057	0.564	2	223.82	399913	379642	0.50		58	4574
-0.858;0.380	-1.140;0.351	001001001001100	0.069	0.585	1	231.26	399882	381009	1.00		189	12497
#	-0.538;0.904	000001011011000	0.083	0.607	1	217.57	399870	381585	0.50		314	14855
-0.988;-0.207	-0.724;0.177	100100001100000	0.039	0.523	2	242.17	399629	381859	1.00		104	4516
#	-1.022;0.129	100101001101000	0.041	0.527	4	217.79	399929	381893	0.50		207	12773
0.122;1.265	0.359;1.387	000000000010000	0.053	0.555	2	148.25	399978	382351	1.00		102	1692
#	-1.312;-0.516	000001001000000	0.071	0.590	2	196.12	399865	382390	0.50		200	3601
-0.982;0.199	#	001101001111000	0.031	0.500	1	233.30	399379	382603	0.50		24	11619
-0.323;1.022	#	000001011011101	0.138	0.673	1	205.26	399986	382776	0.50		889	13139
-1.083;0.250	0.017;0.649	100001000000010	0.060	0.569	2	213.55	399618	383224	1.00		47	3479
-0.171;1.086	-1.104;-0.089	000001001000101	0.164	0.697	2	205.66	399987	383703	1.00		117	5408
-0.284;0.632	#	000001011011100	0.188	0.716	2	216.72	399993	383792	0.50		580	10896
-0.818;-0.113	-1.022;0.129	100101001101000	0.110	0.643	3	239.25	399929	383990	1.00		183	4743
-1.227;-0.114	-0.873;0.507	110101001001000	0.059	0.568	6	236.73	399876	384277	1.00		180	5826
-1.014;0.262	#	100101001111000	0.058	0.565	2	231.81	399985	384574	0.50		46	11076
#	-0.542;0.309	000001011011100	0.166	0.698	4	229.24	399993	384785	0.50		545	9229
