Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	0.017;0.103	#	#	#	3.935;10.666	#	0.263;0.416	#	5.471;9.791	0.491;1.392	#	#	0.010;0.134	0.002;0.013	#	#	-0.100;1.167	0.456;0.692	0.058;0.113	#	-0.139;0.740	001100	0.074	0.594	1	59.24	9907	26	0.50		76	128
#	0.014;0.125	0.083;0.217	#	#	1.592;5.919	#	#	0.253;0.560	5.456;10.023	#	#	#	#	#	-0.051;0.663	0.024;0.861	1.507;2.431	0.252;0.676	#	1.035;2.434	-0.239;1.107	010100	1.000	1.000	3	76.38	9944	63	0.50		26	26
#	-0.016;0.081	#	#	#	5.481;11.370	-0.032;0.100	#	0.200;0.850	1.867;6.434	#	#	#	#	0.002;0.013	1.128;1.841	-0.353;0.769	#	#	0.052;0.115	#	#	001110	0.132	0.667	1	78.54	9993	67	0.41		52	78
#	#	0.167;0.398	0.042;0.229	-0.608;0.608	1.050;7.780	#	0.198;0.424	0.417;1.032	#	0.530;1.320	#	0.157;0.336	0.002;0.130	#	#	#	-0.110;1.123	#	0.057;0.085	1.542;2.282	-0.251;0.431	001110	1.000	1.000	1	56.42	9973	92	0.59		26	26
-74.058;-62.076	0.027;0.125	#	-0.004;0.116	1.116;2.138	#	#	#	#	#	-0.373;0.515	#	#	#	0.003;0.014	-0.548;0.320	-0.339;0.549	#	#	0.070;0.102	-0.377;1.187	#	110000	1.000	1.000	1	69.40	9881	120	0.45		50	50
-80.607;-54.931	0.087;0.142	#	-0.027;0.135	0.955;1.625	#	#	#	-0.231;0.589	-2.319;5.951	#	0.376;0.562	0.256;0.718	#	#	-0.164;1.090	-0.270;0.500	2.085;3.009	-0.082;0.416	#	0.389;2.090	#	000001	1.000	1.000	1	77.08	9624	134	0.59		25	25
-86.154;-73.316	#	-0.019;0.136	#	#	#	#	0.008;0.108	-0.208;0.407	4.553;9.984	#	0.257;0.459	0.242;0.486	#	#	#	#	2.081;3.690	#	0.129;0.190	#	#	110001	1.000	1.000	2	39.95	9628	138	0.41		25	25
#	#	-0.075;0.157	#	#	#	#	-0.076;-0.026	#	#	#	#	#	#	#	#	-0.286;0.551	#	0.029;0.594	#	#	-0.036;0.933	100001	0.000	0.333	1	25.05	162	162	0.23		0	0
#	#	#	0.218;0.335	#	#	#	0.064;0.271	#	#	0.030;0.684	0.467;0.712	-0.039;0.377	-0.002;0.094	0.002;0.014	#	0.088;0.691	0.788;3.253	0.096;0.632	#	#	#	010000	0.038	0.520	1	47.24	9692	202	0.45		26	50
#	#	-0.016;0.196	#	0.229;0.235	0.308;5.476	#	0.027;0.172	#	#	0.014;0.322	0.556;0.840	#	#	#	#	#	#	0.218;0.745	#	0.243;1.203	#	000001	0.037	0.818	1	37.97	229	229	0.36		0	0
-68.998;-57.872	#	#	0.029;0.169	0.121;0.826	1.233;1.761	#	-0.014;0.124	#	1.019;5.092	#	0.328;0.732	0.085;0.369	#	#	#	-0.252;0.448	0.257;1.969	0.358;0.810	#	#	#	010000	0.000	0.167	1	28.00	238	238	0.50		0	0
#	#	0.007;0.137	#	-0.458;0.458	2.704;5.708	0.022;0.045	-0.031;0.176	#	#	#	0.398;0.557	-0.032;0.463	#	0.003;0.013	#	#	#	#	#	#	#	000011	0.000	0.059	1	54.49	255	255	0.36		0	0
#	#	#	0.067;0.190	#	-0.384;8.390	#	#	#	2.973;7.293	-0.011;0.408	0.446;0.588	0.424;0.734	-0.012;0.104	#	#	-0.177;0.661	#	#	#	0.040;1.988	-0.360;0.502	001000	1.000	1.000	1	64.65	9749	259	0.45		26	26
#	#	#	0.093;0.164	-0.384;0.391	#	-0.007;0.111	0.109;0.228	0.240;0.547	0.477;9.241	#	#	-0.146;0.263	0.046;0.133	#	0.228;1.000	0.347;0.866	-0.557;0.068	#	#	#	#	001110	0.000	0.222	1	35.44	268	268	0.50		0	0
#	0.028;0.119	0.263;0.380	#	-0.357;0.771	#	-0.057;0.161	#	#	#	#	0.349;0.572	#	0.041;0.145	#	0.137;1.314	0.155;0.908	#	#	#	#	#	001110	1.000	1.000	1	45.98	9810	320	0.36		50	50
-91.877;-63.634	0.145;0.277	-0.034;0.134	0.008;0.133	1.507;2.019	-1.105;2.501	0.186;0.382	#	#	#	#	#	#	0.038;0.098	#	-0.512;0.067	#	#	#	#	0.494;1.262	0.950;1.937	000001	1.000	1.000	1	41.21	9823	333	0.50		25	25
