att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.100;1.105	#	100010100110000	0.229	0.745	4	200.14	399911	340317	0.50		1194	28344
0.126;0.996	-1.615;0.286	101000100110000	0.529	0.881	3	204.32	399930	361361	1.00		388	9564
-0.398;0.487	-0.535;0.444	111100100110001	0.460	0.856	5	217.41	399947	363438	1.00		419	16587
-0.713;0.492	-0.337;1.006	111100100111001	0.254	0.760	1	208.21	399991	363934	1.00		1238	22999
-1.016;0.057	-0.811;0.216	011001000110101	0.268	0.769	2	205.43	399962	373596	1.00		227	9753
-1.084;0.232	#	100000100100100	0.097	0.627	1	197.50	399532	374872	0.50		143	18331
-0.272;0.191	#	111000100111001	0.381	0.825	3	220.43	399969	377023	0.50		361	8122
#	-1.050;0.171	001000000110101	0.207	0.730	2	198.76	399985	379608	0.50		147	12171
#	-0.804;0.281	101000100100000	0.239	0.751	2	204.41	399957	380385	0.50		112	13553
#	-0.449;0.400	011101000100001	0.133	0.668	4	197.46	399862	381137	0.50		215	12357
-1.557;0.212	-0.281;3.205	111101100111001	0.236	0.749	3	205.99	399918	382556	1.00		399	9105
-1.551;-0.082	-0.345;0.626	000001000000001	0.068	0.585	2	206.27	399914	383837	1.00		70	6403
#	-1.528;-0.223	100000100110100	0.322	0.797	1	195.16	399895	384062	0.50		249	4771
#	0.343;1.156	001000010000001	0.193	0.720	2	187.27	399898	384163	0.50		294	3893
-0.949;-0.134	#	001001000110101	0.196	0.722	2	192.66	399812	384953	0.50		87	7414
#	0.896;1.431	001000000000011	0.489	0.867	1	108.90	385483	385483	0.50		0	20
-0.557;0.184	-1.370;-0.218	000000000100100	0.163	0.696	5	205.93	399756	385619	1.00		103	2452
#	0.605;1.553	001000000000000	0.550	0.887	8	162.86	399982	385954	0.50		161	843
0.310;1.144	-0.762;0.478	001000101000000	0.305	0.789	1	186.52	399997	386143	1.00		140	2738
0.565;1.306	-0.031;0.837	000000001000000	0.405	0.835	3	159.85	399927	386761	1.00		169	758
-0.083;2.820	#	101000101110000	0.371	0.820	2	200.15	399971	386801	0.50		624	6122
-1.116;-0.097	#	011001000100101	0.188	0.716	2	193.04	399938	386868	0.50		224	6930
-0.683;0.302	#	111101100110001	0.266	0.768	1	210.69	399939	387227	0.50		712	8893
0.361;1.325	#	000000100000000	0.221	0.739	2	183.32	399855	387972	0.50		51	2390
-0.815;0.919	0.343;1.264	001000010000001	0.189	0.717	2	187.36	399898	388015	1.00		221	2862
-2.061;0.126	0.013;0.575	011101010110001	0.246	0.756	3	215.01	399986	388174	1.00		151	3532
-0.080;0.531	#	101000100110001	0.523	0.878	1	212.15	399973	388244	0.50		470	4221
0.084;0.918	0.038;0.910	001000100100000	0.337	0.804	2	184.96	399869	388312	1.00		34	1905
#	-0.762;0.478	001000101000000	0.082	0.606	2	197.57	399997	388505	0.50		115	9872
#	-0.691;0.489	101000100110001	0.340	0.806	2	197.66	399973	388789	0.50		449	9463
#	0.156;0.812	011001010100001	0.139	0.674	3	196.05	399342	388857	0.50		15	4497
-0.985;-0.503	-0.064;1.389	001000010100001	0.373	0.821	1	187.50	399831	388884	1.00		95	1172
-0.656;0.344	-0.053;1.013	011000100101001	0.228	0.744	1	212.60	399833	389814	1.00		45	4086
-2.891;-0.141	-1.686;-0.539	000000000000100	0.421	0.841	2	137.28	399984	389815	1.00		104	527
-1.250;1.635	0.026;0.626	111101110110001	0.188	0.716	2	200.55	399882	389987	1.00		155	4528
-1.262;0.091	-0.281;0.823	011101010100001	0.179	0.709	2	209.44	399992	390056	1.00		45	4677
-1.202;-0.387	-1.137;0.316	001000000000101	0.198	0.723	1	181.70	399932	390146	1.00		15	1835
-1.279;0.074	0.104;0.743	011100010100001	0.222	0.740	1	210.98	399503	390302	1.00		28	2741
-0.743;0.691	-0.521;0.176	111000100110101	0.393	0.830	5	217.42	399950	390407	1.00		191	4218
-0.182;1.122	-1.425;0.118	101010100110001	0.396	0.831	3	211.65	399989	390656	1.00		257	2817
-0.443;0.195	0.234;0.854	011000110100001	0.230	0.745	1	217.54	399753	390666	1.00		39	1576
-1.327;-0.049	-1.098;0.219	001000000100101	0.196	0.722	2	194.75	399905	390818	1.00		65	3236
#	0.179;0.818	011000100100011	0.189	0.717	1	196.05	399892	391130	0.50		153	3430
#	-0.318;0.166	111101100110101	0.266	0.767	4	209.93	399944	391280	0.50		76	3141
#	-0.281;3.205	111101100111001	0.165	0.698	1	194.81	399918	391299	0.50		201	6353
-0.553;0.688	-1.002;-0.401	100000100100000	0.359	0.815	3	195.54	399874	391311	1.00		64	1395
#	0.096;0.658	111100110110001	0.218	0.737	4	200.81	399878	391399	0.50		38	3528
-0.933;0.653	-1.513;-0.134	101000100110101	0.384	0.826	1	202.51	399968	391417	1.00		296	3016
-0.138;0.326	-0.601;0.580	111000100110001	0.615	0.907	1	230.03	399966	391543	1.00		519	2103
-0.579;0.088	#	111101100110001	0.297	0.784	2	208.97	399939	391551	0.50		469	4397
-0.272;1.583	-2.585;0.880	101010100110000	0.259	0.763	2	199.81	399974	391678	1.00		130	5315
-1.027;-0.434	-0.559;0.970	011001000100001	0.368	0.819	3	191.00	399698	391786	1.00		128	1745
#	-2.585;0.880	101010100110000	0.170	0.702	1	193.19	399974	392087	0.50		124	7879
-1.054;0.095	-0.056;0.835	011100010110001	0.241	0.752	4	214.19	399946	392257	1.00		34	2910
-1.197;0.633	#	111101110110001	0.142	0.677	2	199.90	399882	392324	0.50		120	7247
0.635;0.924	0.216;0.411	101000101110001	0.122	0.656	1	148.53	392372	392372	1.00		0	65
#	-0.277;1.883	111100100111001	0.195	0.721	2	194.81	399991	392593	0.50		254	5406
-0.713;0.693	#	111101100110101	0.178	0.708	1	204.16	399944	392678	0.50		64	6633
#	-0.863;-0.326	101000100110100	0.410	0.837	1	192.37	399937	392775	0.50		93	1555
-0.056;1.241	-1.420;-0.044	100000000100000	0.230	0.745	1	211.27	399936	392946	1.00		10	1365
#	-0.815;-0.096	101001100110101	0.315	0.794	3	202.45	399841	393013	0.50		69	2658
0.474;1.583	-2.585;0.067	101010100110000	0.347	0.809	1	177.88	393076	393076	1.00		0	406
-1.380;-0.306	#	000001000000101	0.121	0.656	5	185.50	399995	393127	0.50		50	2229
-1.296;-0.044	#	001000010000001	0.085	0.611	1	193.04	399898	393303	0.50		124	3769
-0.380;0.657	#	111000100110001	0.403	0.834	1	209.28	399966	393619	0.50		391	4326
#	-1.513;0.041	101000100110101	0.351	0.811	3	196.65	399968	393626	0.50		221	3221
0.042;0.616	#	100010100100000	0.222	0.740	2	208.23	399955	393664	0.50		37	2024
-1.054;0.095	#	011100010110001	0.152	0.686	1	195.31	399946	394075	0.50		26	3852
-0.398;0.487	#	111100100110001	0.338	0.805	3	209.51	399947	394194	0.50		67	3602
#	0.585;1.368	001000000000000	0.472	0.861	2	163.87	399982	394468	0.50		62	396
-0.080;0.531	-0.691;0.952	101000100110001	0.552	0.888	1	212.90	399973	394489	1.00		219	1895
-0.683;0.088	-0.325;0.586	111101100110001	0.430	0.845	1	217.63	399939	394533	1.00		306	2231
-0.280;0.406	0.319;1.074	001000000000011	0.140	0.675	2	204.29	399624	394540	1.00		24	791
#	0.020;1.124	011000100100011	0.181	0.710	1	197.39	399892	394560	0.50		94	2762
#	0.343;1.306	001000010000001	0.193	0.720	1	187.27	399898	394587	0.50		100	1326
