Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
1000	39	68	0.048	0.907	0.15	0.01	1.334	0.57	0.000
2000	64	105	0.026	0.947	0.14	0.02	1.328	0.619	0.000
3000	92	159	0.026	0.947	0.14	0.04	1.335	0.612	0.000
4000	113	200	0.028	0.945	0.14	0.07	1.336	0.609	0.000
5000	120	200	0.029	0.943	0.13	0.10	1.331	0.612	0.000
6000	117	200	0.027	0.946	0.11	0.14	1.333	0.613	0.000
7000	120	200	0.026	0.948	0.10	0.16	1.332	0.616	0.000
8000	128	200	0.027	0.946	0.11	0.19	1.33	0.616	0.000
9000	135	200	0.025	0.952	0.10	0.21	1.323	0.627	0.000
10000	132	200	0.029	0.946	0.10	0.24	1.302	0.641	0.000
11000	131	200	0.034	0.935	0.10	0.26	1.298	0.634	0.000
12000	130	200	0.034	0.935	0.11	0.29	1.29	0.642	0.000
13000	121	200	0.03	0.942	0.10	0.32	1.295	0.644	0.000
14000	131	200	0.018	0.963	0.12	0.34	1.322	0.641	0.000
15000	130	200	0.017	0.966	0.11	0.37	1.322	0.644	0.000
16000	133	200	0.018	0.965	0.12	0.39	1.323	0.642	0.000
17000	144	200	0.018	0.964	0.12	0.42	1.319	0.645	0.000
18000	141	200	0.017	0.966	0.12	0.45	1.328	0.638	0.000
19000	142	200	0.016	0.968	0.13	0.48	1.33	0.638	0.000
20000	145	200	0.013	0.973	0.12	0.50	1.329	0.644	0.000
21000	136	200	0.013	0.975	0.12	0.53	1.335	0.64	0.000
22000	137	200	0.015	0.971	0.11	0.56	1.34	0.631	0.000
23000	138	200	0.013	0.975	0.10	0.59	1.335	0.64	0.000
24000	139	200	0.013	0.973	0.12	0.62	1.336	0.637	0.000
25000	146	200	0.015	0.971	0.11	0.64	1.341	0.63	0.000
26000	141	200	0.015	0.97	0.12	0.66	1.349	0.621	0.010
27000	145	200	0.021	0.958	0.12	0.70	1.344	0.614	0.000
28000	142	200	0.021	0.957	0.12	0.73	1.349	0.608	0.000
29000	144	200	0.022	0.956	0.11	0.76	1.347	0.609	0.000
30000	146	200	0.021	0.959	0.11	0.78	1.344	0.615	0.000
31000	147	200	0.022	0.956	0.12	0.81	1.344	0.612	0.000
32000	144	200	0.021	0.957	0.12	0.84	1.345	0.612	0.000
33000	148	200	0.021	0.957	0.12	0.86	1.352	0.605	0.000
34000	156	200	0.021	0.959	0.13	0.89	1.349	0.61	0.045
35000	148	200	0.021	0.958	0.12	0.92	1.345	0.613	0.000
36000	150	200	0.019	0.961	0.12	0.96	1.349	0.612	0.000
37000	142	200	0.021	0.959	0.12	0.99	1.345	0.614	0.000
38000	143	200	0.024	0.953	0.11	1.01	1.345	0.608	0.023
39000	151	200	0.022	0.955	0.12	1.04	1.34	0.615	0.000
40000	150	200	0.021	0.957	0.12	1.06	1.35	0.607	0.000
41000	154	200	0.021	0.957	0.12	1.10	1.352	0.605	0.015
42000	155	200	0.021	0.957	0.12	1.13	1.345	0.612	0.000
43000	149	200	0.018	0.963	0.11	1.16	1.348	0.615	0.000
44000	149	200	0.016	0.968	0.11	1.19	1.348	0.62	0.022
45000	149	200	0.015	0.969	0.10	1.21	1.343	0.626	0.023
46000	148	200	0.018	0.964	0.12	1.24	1.343	0.621	0.000
47000	151	200	0.016	0.968	0.11	1.27	1.346	0.622	0.000
48000	153	200	0.017	0.967	0.12	1.29	1.354	0.613	0.010
49000	145	200	0.019	0.962	0.12	1.32	1.348	0.614	0.014
50000	147	200	0.016	0.968	0.12	1.35	1.345	0.623	0.000
51000	148	200	0.017	0.967	0.12	1.38	1.345	0.622	0.000
52000	154	200	0.015	0.969	0.12	1.41	1.348	0.621	0.044
53000	153	200	0.017	0.967	0.12	1.43	1.345	0.622	0.053
54000	148	200	0.015	0.969	0.11	1.46	1.342	0.627	0.011
55000	154	200	0.015	0.969	0.11	1.49	1.35	0.619	0.000
56000	154	200	0.017	0.966	0.12	1.51	1.351	0.615	0.054
57000	149	200	0.018	0.964	0.10	1.53	1.346	0.618	0.032
58000	151	200	0.017	0.966	0.11	1.55	1.348	0.618	0.000
59000	149	200	0.015	0.969	0.10	1.58	1.347	0.622	0.013
60000	149	200	0.016	0.968	0.10	1.60	1.342	0.626	0.000
61000	157	200	0.015	0.969	0.11	1.64	1.344	0.625	0.000
62000	155	200	0.015	0.97	0.11	1.67	1.345	0.625	0.000
63000	150	200	0.015	0.969	0.10	1.71	1.356	0.613	0.000
64000	153	200	0.017	0.967	0.09	1.74	1.346	0.621	0.012
65000	154	200	0.016	0.968	0.09	1.77	1.344	0.624	0.161
66000	153	200	0.017	0.967	0.09	1.80	1.347	0.62	0.016
67000	157	200	0.015	0.97	0.10	1.84	1.346	0.624	0.024
68000	154	200	0.017	0.967	0.10	1.87	1.345	0.622	0.000
69000	148	200	0.015	0.971	0.10	1.89	1.344	0.627	0.047
70000	147	200	0.015	0.969	0.10	1.92	1.352	0.617	0.040
71000	143	200	0.012	0.976	0.10	1.95	1.35	0.626	0.000
72000	144	200	0.009	0.982	0.11	1.98	1.344	0.638	0.036
73000	148	200	0.009	0.982	0.12	2.01	1.347	0.635	0.000
74000	149	200	0.008	0.984	0.13	2.04	1.347	0.637	0.000
75000	158	200	0.009	0.982	0.13	2.08	1.344	0.638	0.000
76000	152	200	0.009	0.983	0.12	2.11	1.342	0.641	0.000
77000	145	200	0.008	0.984	0.12	2.13	1.348	0.636	0.000
78000	146	200	0.009	0.983	0.11	2.16	1.353	0.63	0.000
79000	151	200	0.009	0.982	0.11	2.20	1.344	0.638	0.000
80000	146	200	0.009	0.982	0.11	2.23	1.349	0.633	0.000
81000	148	200	0.009	0.983	0.11	2.26	1.348	0.635	0.031
