Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	5069	5982	0.7072	0.5628	0.2651	0.000	0.000	0.0001.67
10000	5135	6000	0.5476	0.5762	0.2720	0.000	0.000	0.0006.10
15000	5322	6000	0.5335	0.5772	0.3134	0.000	0.000	0.00010.25
20000	5422	6000	0.5236	0.5698	0.3468	0.000	0.000	0.00014.39
25000	5528	6000	0.5132	0.5528	0.3765	0.000	0.000	0.00018.43
30000	5607	6000	0.5039	0.5454	0.3989	0.000	0.000	0.00022.52
35000	5644	6000	0.4983	0.5476	0.4219	0.000	0.000	0.00026.58
40000	5651	6000	0.495	0.5378	0.4417	0.000	0.000	0.00030.59
45000	5678	6000	0.4913	0.5322	0.4558	0.000	0.000	0.00034.53
50000	5705	6000	0.4889	0.5346	0.4669	0.000	0.000	0.00038.49
