Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
1000	43	69	0.177	0.674	0.13	0.01	1.229	0.416	0.000
2000	64	114	0.096	0.808	0.11	0.02	1.296	0.512	0.000
3000	98	168	0.059	0.885	0.12	0.04	1.265	0.617	0.000
4000	129	200	0.053	0.897	0.14	0.07	1.292	0.602	0.000
5000	131	200	0.036	0.93	0.12	0.11	1.312	0.615	0.000
6000	131	200	0.029	0.943	0.11	0.14	1.331	0.61	0.000
7000	134	200	0.018	0.967	0.12	0.17	1.325	0.64	0.000
8000	131	200	0.019	0.965	0.12	0.20	1.32	0.642	0.000
9000	134	200	0.017	0.969	0.12	0.24	1.324	0.643	0.000
10000	141	200	0.013	0.975	0.12	0.26	1.334	0.64	0.000
11000	143	200	0.011	0.977	0.14	0.29	1.346	0.631	0.000
12000	145	200	0.011	0.977	0.13	0.32	1.338	0.639	0.000
13000	148	200	0.012	0.976	0.14	0.35	1.335	0.641	0.000
14000	145	200	0.012	0.976	0.13	0.38	1.338	0.638	0.075
15000	148	200	0.011	0.979	0.14	0.41	1.338	0.641	0.068
16000	147	200	0.011	0.978	0.14	0.44	1.341	0.637	0.000
17000	145	200	0.011	0.978	0.14	0.46	1.343	0.635	0.000
18000	143	200	0.018	0.965	0.14	0.48	1.352	0.613	0.000
19000	144	200	0.024	0.952	0.12	0.51	1.35	0.602	0.000
20000	141	200	0.024	0.952	0.11	0.54	1.344	0.608	0.000
21000	145	200	0.025	0.949	0.11	0.56	1.347	0.602	0.000
22000	144	200	0.025	0.951	0.12	0.59	1.347	0.604	0.000
23000	145	200	0.024	0.953	0.13	0.62	1.344	0.609	0.000
24000	144	200	0.026	0.947	0.13	0.64	1.343	0.604	0.109
25000	147	200	0.021	0.958	0.13	0.67	1.347	0.611	0.000
26000	143	200	0.021	0.958	0.14	0.69	1.354	0.604	0.000
27000	148	200	0.022	0.955	0.13	0.72	1.344	0.611	0.000
28000	149	200	0.018	0.964	0.14	0.74	1.349	0.615	0.000
29000	143	200	0.025	0.95	0.13	0.76	1.347	0.603	0.000
30000	143	200	0.013	0.974	0.12	0.79	1.344	0.63	0.012
31000	147	200	0.015	0.969	0.13	0.82	1.344	0.625	0.000
32000	147	200	0.021	0.958	0.12	0.85	1.345	0.613	0.000
33000	142	200	0.019	0.961	0.10	0.88	1.352	0.609	0.045
34000	146	200	0.014	0.972	0.10	0.90	1.348	0.624	0.043
35000	145	200	0.018	0.965	0.10	0.93	1.342	0.623	0.000
36000	145	200	0.011	0.979	0.10	0.95	1.346	0.633	0.000
37000	150	200	0.01	0.98	0.11	0.97	1.343	0.637	0.000
38000	149	200	0.011	0.979	0.11	1.00	1.345	0.634	0.000
39000	151	200	0.01	0.98	0.12	1.03	1.34	0.64	0.000
40000	146	200	0.009	0.982	0.10	1.05	1.35	0.632	0.000
41000	146	200	0.011	0.979	0.10	1.08	1.352	0.627	0.029
42000	146	200	0.011	0.979	0.10	1.10	1.345	0.634	0.000
43000	148	200	0.01	0.98	0.12	1.12	1.348	0.632	0.000
44000	143	200	0.01	0.98	0.11	1.14	1.348	0.632	0.000
45000	147	200	0.01	0.98	0.12	1.17	1.343	0.637	0.000
46000	145	200	0.01	0.98	0.12	1.19	1.343	0.637	0.037
47000	144	200	0.009	0.981	0.12	1.21	1.346	0.635	0.000
48000	147	200	0.01	0.98	0.14	1.23	1.354	0.626	0.011
49000	148	200	0.011	0.979	0.15	1.26	1.348	0.631	0.057
50000	154	200	0.011	0.979	0.14	1.29	1.343	0.636	0.102
51000	150	200	0.011	0.978	0.14	1.31	1.341	0.637	0.049
52000	145	200	0.01	0.98	0.13	1.34	1.344	0.636	0.059
53000	146	200	0.012	0.976	0.15	1.36	1.34	0.636	0.000
54000	149	200	0.011	0.978	0.14	1.39	1.337	0.641	0.000
55000	145	200	0.01	0.98	0.13	1.41	1.342	0.638	0.000
56000	149	200	0.014	0.972	0.13	1.44	1.338	0.634	0.000
57000	145	200	0.014	0.972	0.12	1.46	1.337	0.635	0.000
58000	146	200	0.013	0.973	0.12	1.50	1.337	0.636	0.000
59000	150	200	0.014	0.972	0.12	1.54	1.341	0.631	0.041
60000	146	200	0.014	0.972	0.13	1.57	1.332	0.64	0.000
61000	149	200	0.013	0.975	0.12	1.59	1.334	0.641	0.072
62000	152	200	0.013	0.975	0.12	1.62	1.333	0.642	0.000
63000	152	200	0.013	0.974	0.14	1.64	1.344	0.63	0.000
64000	144	200	0.015	0.971	0.12	1.67	1.333	0.638	0.029
65000	147	200	0.015	0.97	0.14	1.70	1.331	0.639	0.000
66000	146	200	0.015	0.97	0.12	1.72	1.333	0.637	0.000
67000	145	200	0.011	0.977	0.11	1.78	1.341	0.636	0.000
68000	143	200	0.015	0.97	0.12	1.81	1.341	0.629	0.000
69000	144	200	0.015	0.969	0.11	1.83	1.34	0.629	0.000
70000	150	200	0.017	0.967	0.11	1.86	1.347	0.62	0.000
71000	152	200	0.017	0.967	0.12	1.89	1.347	0.62	0.000
72000	156	200	0.017	0.967	0.13	1.92	1.341	0.626	0.000
73000	159	200	0.016	0.968	0.13	1.96	1.344	0.624	0.000
74000	161	200	0.015	0.969	0.12	1.99	1.344	0.625	0.000
75000	161	200	0.017	0.968	0.12	2.02	1.343	0.624	0.000
76000	159	200	0.017	0.966	0.13	2.05	1.339	0.627	0.000
77000	153	200	0.015	0.97	0.13	2.08	1.348	0.622	0.023
78000	160	200	0.015	0.969	0.14	2.11	1.353	0.616	0.000
79000	155	200	0.018	0.965	0.14	2.14	1.34	0.625	0.000
80000	161	200	0.016	0.968	0.15	2.17	1.346	0.622	0.000
81000	155	200	0.016	0.968	0.14	2.20	1.345	0.623	0.000
82000	158	200	0.015	0.969	0.14	2.23	1.34	0.629	0.000
83000	152	200	0.016	0.968	0.14	2.26	1.343	0.625	0.000
84000	150	200	0.015	0.97	0.14	2.29	1.341	0.629	0.049
85000	154	200	0.015	0.969	0.15	2.32	1.35	0.619	0.000
86000	150	200	0.016	0.968	0.14	2.34	1.346	0.622	0.000
87000	145	200	0.015	0.97	0.13	2.37	1.345	0.625	0.000
88000	149	200	0.015	0.971	0.13	2.40	1.348	0.623	0.000
89000	152	200	0.014	0.972	0.13	2.43	1.346	0.626	0.034
90000	150	200	0.015	0.97	0.12	2.46	1.344	0.626	0.000
91000	154	200	0.015	0.971	0.13	2.48	1.34	0.631	0.023
92000	160	200	0.013	0.973	0.14	2.51	1.35	0.623	0.000
93000	151	200	0.016	0.968	0.14	2.54	1.351	0.617	0.000
94000	150	200	0.014	0.972	0.14	2.57	1.346	0.626	0.000
95000	150	200	0.011	0.978	0.14	2.60	1.348	0.63	0.000
96000	149	200	0.016	0.968	0.14	2.62	1.347	0.621	0.000
97000	147	200	0.015	0.97	0.14	2.65	1.344	0.626	0.000
98000	144	200	0.01	0.98	0.14	2.68	1.342	0.638	0.000
99000	145	200	0.008	0.984	0.14	2.71	1.346	0.638	0.000
100000	140	200	0.009	0.982	0.14	2.73	1.354	0.628	0.000
101000	140	200	0.011	0.979	0.13	2.76	1.345	0.634	0.032
102000	153	200	0.012	0.976	0.12	2.79	1.337	0.639	0.030
103000	150	200	0.013	0.973	0.12	2.82	1.337	0.636	0.000
104000	158	200	0.012	0.976	0.14	2.86	1.339	0.637	0.000
105000	159	200	0.013	0.974	0.12	2.89	1.338	0.636	0.013
106000	162	200	0.011	0.979	0.12	2.93	1.338	0.641	0.000
107000	159	200	0.012	0.976	0.10	2.96	1.342	0.634	0.000
108000	158	200	0.013	0.975	0.11	2.99	1.344	0.631	0.000
109000	153	200	0.01	0.98	0.10	3.03	1.346	0.634	0.000
110000	146	200	0.01	0.98	0.10	3.06	1.348	0.632	0.000
111000	150	200	0.009	0.981	0.11	3.08	1.346	0.635	0.000
112000	153	200	0.011	0.979	0.11	3.11	1.342	0.637	0.000
113000	156	200	0.009	0.981	0.11	3.14	1.345	0.636	0.000
114000	154	200	0.009	0.981	0.10	3.17	1.344	0.637	0.000
115000	150	200	0.01	0.98	0.10	3.20	1.356	0.624	0.000
116000	146	200	0.011	0.979	0.09	3.24	1.346	0.633	0.000
117000	146	200	0.009	0.981	0.10	3.26	1.345	0.636	0.029
118000	154	200	0.009	0.982	0.10	3.28	1.347	0.635	0.000
119000	152	200	0.008	0.984	0.10	3.31	1.345	0.639	0.000
120000	159	200	0.009	0.982	0.12	3.34	1.346	0.636	0.000
121000	159	200	0.008	0.984	0.12	3.37	1.343	0.641	0.000
122000	152	200	0.009	0.983	0.12	3.40	1.353	0.63	0.029
123000	153	200	0.009	0.982	0.12	3.43	1.349	0.633	0.040
124000	159	200	0.009	0.982	0.13	3.46	1.344	0.638	0.070
125000	153	200	0.009	0.983	0.12	3.49	1.348	0.635	0.040
126000	156	200	0.009	0.981	0.12	3.52	1.344	0.637	0.000
127000	158	200	0.01	0.98	0.10	3.56	1.342	0.638	0.000
128000	154	200	0.009	0.982	0.10	3.59	1.341	0.641	0.000
129000	150	200	0.008	0.984	0.11	3.63	1.349	0.635	0.000
130000	147	200	0.009	0.983	0.11	3.66	1.353	0.63	0.000
131000	148	200	0.009	0.982	0.10	3.70	1.344	0.638	0.000
132000	151	200	0.009	0.982	0.12	3.73	1.347	0.635	0.000
133000	151	200	0.011	0.978	0.12	3.76	1.343	0.635	0.000
134000	154	200	0.011	0.979	0.12	3.79	1.34	0.639	0.041
135000	156	200	0.009	0.982	0.12	3.82	1.345	0.637	0.047
136000	154	200	0.009	0.981	0.12	3.85	1.344	0.637	0.000
137000	152	200	0.01	0.98	0.12	3.88	1.352	0.628	0.000
138000	149	200	0.011	0.979	0.12	3.92	1.349	0.63	0.000
139000	143	200	0.011	0.979	0.11	3.95	1.345	0.634	0.000
140000	145	200	0.01	0.98	0.11	3.98	1.349	0.631	0.000
141000	143	200	0.009	0.981	0.11	4.01	1.345	0.636	0.000
142000	140	200	0.011	0.979	0.10	4.04	1.346	0.633	0.000
143000	142	200	0.01	0.98	0.10	4.06	1.34	0.64	0.000
144000	144	200	0.009	0.982	0.10	4.09	1.35	0.632	0.000
145000	143	200	0.011	0.979	0.10	4.11	1.351	0.628	0.000
146000	140	200	0.011	0.979	0.10	4.14	1.346	0.633	0.000
147000	141	200	0.011	0.978	0.10	4.17	1.346	0.632	0.000
148000	142	200	0.012	0.976	0.10	4.19	1.341	0.635	0.000
149000	146	200	0.009	0.981	0.11	4.21	1.342	0.639	0.000
150000	149	200	0.011	0.979	0.12	4.24	1.342	0.637	0.000
151000	144	200	0.01	0.98	0.11	4.28	1.345	0.635	0.000
152000	143	200	0.01	0.98	0.11	4.31	1.355	0.625	0.000
153000	137	200	0.011	0.979	0.10	4.33	1.347	0.632	0.016
154000	144	200	0.013	0.975	0.10	4.36	1.339	0.636	0.000
155000	145	200	0.013	0.973	0.10	4.39	1.337	0.636	0.000
156000	141	200	0.012	0.976	0.10	4.42	1.34	0.636	0.000
157000	141	200	0.013	0.974	0.10	4.45	1.337	0.637	0.029
158000	144	200	0.013	0.974	0.11	4.47	1.333	0.641	0.000
159000	143	200	0.012	0.976	0.10	4.50	1.343	0.633	0.000
