Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	5077	6000	0.73	0.5946	0.2441	0.000	0.000	0.0001.70
10000	5081	6000	0.5714	0.5914	0.2476	0.000	0.000	0.0006.14
15000	5172	6000	0.5557	0.5932	0.2726	0.000	0.000	0.00010.20
20000	5369	6000	0.5452	0.5902	0.3157	0.000	0.000	0.00014.13
25000	5437	6000	0.533	0.5778	0.3459	0.000	0.000	0.00018.30
30000	5536	6000	0.5204	0.5584	0.3720	0.000	0.000	0.00022.36
35000	5619	6000	0.5105	0.5528	0.4003	0.000	0.000	0.00026.43
40000	5632	6000	0.5054	0.5382	0.4198	0.000	0.000	0.00030.48
45000	5664	6000	0.4993	0.5342	0.4363	0.000	0.000	0.00034.62
50000	5655	6000	0.4954	0.5244	0.4506	0.000	0.000	0.00038.68
