Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	4361	5000	0.7154	0.704	0.2331	0.000	0.000	0.000	4.04
10000	4520	5000	0.5427	0.7342	0.2520	0.000	0.000	0.000	9.85
15000	4559	5000	0.5378	0.7528	0.2685	0.000	0.000	0.000	15.40
20000	4665	5000	0.5364	0.7648	0.2858	0.000	0.000	0.000	20.30
25000	4665	5000	0.5354	0.7706	0.3029	0.000	0.000	0.000	25.19
30000	4714	5000	0.5322	0.764	0.3181	0.000	0.000	0.000	30.07
35000	4707	5000	0.5313	0.7666	0.3239	0.000	0.000	0.000	34.50
40000	4742	5000	0.5308	0.7684	0.3353	0.000	0.000	0.000	38.91
45000	4706	5000	0.5296	0.7708	0.3409	0.000	0.000	0.000	43.28
50000	4694	5000	0.5292	0.7696	0.3485	0.000	0.000	0.000	47.55
