att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.708;0.465	#	111	0.495	0.869	1	126.27	199983	39030	0.50		107009	142984
#	-0.475;0.556	111	0.901	0.979	12	129.41	199983	51463	0.50		104708	109387
#	-1.364;-0.429	100	0.290	0.781	1	111.27	199987	90595	0.50		11281	21938
#	-0.475;0.479	111	0.898	0.979	1	129.91	199983	99862	0.50		64559	67429
#	-0.619;-0.488	110	0.708	0.933	10	106.88	199954	100951	0.50		5675	7094
0.443;0.847	-0.321;0.695	101	0.212	0.733	2	91.08	199825	113504	1.00		1239	6196
-0.505;0.125	0.514;1.431	011	0.402	0.833	1	113.33	199889	125845	1.00		2123	4246
#	0.628;1.833	001	1.000	1.000	2	109.09	199992	129517	0.50		4241	4241
0.580;1.010	-2.741;-0.326	100	1.000	1.000	1	90.74	199987	131428	1.00		589	589
0.443;0.847	#	101	0.176	0.706	3	94.62	199825	131652	0.50		979	8222
-0.505;0.260	0.514;1.431	011	0.370	0.819	1	113.36	199991	132127	1.00		2138	4664
#	0.514;1.431	011	0.240	0.752	1	103.95	199991	133055	0.50		2300	9013
#	-2.833;-0.604	100	1.000	1.000	3	116.70	199987	133791	0.50		6445	6445
#	0.637;2.363	001	1.000	1.000	1	108.78	199944	135263	0.50		3522	3522
-0.708;0.495	#	111	0.479	0.863	2	126.21	199983	140787	0.50		39708	53615
#	0.628;2.363	001	1.000	1.000	3	109.09	199992	144802	0.50		3321	3321
-0.412;0.519	0.580;0.734	011	0.524	0.879	1	104.80	199991	148177	1.00		1039	1632
-0.678;0.084	-0.619;-0.488	110	1.000	1.000	2	116.93	199954	149319	1.00		1597	1597
-0.576;0.055	-0.619;0.009	110	0.194	0.721	1	130.05	199954	149401	1.00		1739	10726
-0.708;0.465	-0.475;0.556	111	1.000	1.000	2	130.38	199983	150018	1.00		32942	32942
#	0.628;2.963	001	1.000	1.000	4	109.09	199992	150256	0.50		2992	2992
-0.482;0.485	#	111	0.488	0.866	1	126.69	199968	152139	0.50		24958	33872
#	0.628;3.094	001	1.000	1.000	1	109.09	199992	154095	0.50		2761	2761
-0.412;0.519	0.580;2.181	011	0.307	0.789	1	105.41	199991	154621	1.00		910	2470
-0.412;0.519	#	011	0.077	0.599	3	126.19	199991	157660	0.50		1211	28629
-0.801;1.248	-3.253;-0.604	100	1.000	1.000	2	116.70	199987	157951	1.00		4092	4092
#	0.580;0.734	011	0.402	0.833	5	106.54	199991	159376	0.50		930	1861
-0.678;0.610	-0.619;-0.488	110	0.858	0.970	4	109.77	199954	159583	1.00		2315	2546
-1.724;-0.631	-0.629;0.722	101	0.132	0.667	2	106.14	199720	159934	1.00		114	2984
#	-3.253;-0.604	100	1.000	1.000	2	116.70	199987	161750	0.50		3721	3721
-0.643;0.465	#	111	0.495	0.869	2	127.06	199983	163048	0.50		23089	30918
0.443;0.847	-0.321;1.057	101	0.194	0.720	2	94.17	199825	163062	1.00		529	3281
#	-3.164;-0.429	100	0.290	0.781	1	111.27	199987	163187	0.50		3793	7378
-0.976;0.740	-2.170;-0.623	100	1.000	1.000	3	117.59	199985	163884	1.00		3100	3100
-1.814;0.783	0.628;3.094	001	1.000	1.000	4	109.09	199992	164914	1.00		2110	2110
#	-3.370;-0.604	100	1.000	1.000	1	116.70	199987	165629	0.50		3344	3344
-0.666;-0.154	-0.619;-0.488	110	1.000	1.000	2	117.55	199924	165673	1.00		589	589
#	-0.321;0.722	101	0.124	0.658	2	126.39	199825	166216	0.50		579	23240
#	-1.101;-0.377	100	0.207	0.730	1	111.72	199987	166422	0.50		3463	7599
0.171;0.719	-2.166;-0.617	100	1.000	1.000	1	113.46	199953	166548	1.00		1053	1053
-0.272;0.666	-4.183;-0.598	100	1.000	1.000	6	120.83	199953	166877	1.00		1707	1707
-0.039;0.971	-1.033;-0.521	100	0.517	0.876	1	110.57	199987	166946	1.00		1608	2555
-0.505;0.260	0.514;1.552	011	0.370	0.819	4	113.36	199991	167432	1.00		1024	2234
#	0.514;1.552	011	0.240	0.752	1	103.95	199991	167781	0.50		1105	4337
-0.505;0.519	0.514;1.611	011	0.279	0.775	1	103.32	199991	167910	1.00		1103	3403
-0.659;0.084	-1.067;-0.619	110	0.132	0.667	1	121.23	169940	169940	1.00		0	1552
-0.678;0.082	-0.619;-0.488	110	1.000	1.000	4	116.93	199954	170289	1.00		936	936
-0.412;0.519	0.190;0.580	011	0.147	0.681	1	122.01	199833	170573	1.00		252	5735
-0.659;-0.154	-0.619;-0.488	110	1.000	1.000	1	117.55	199924	170608	1.00		504	504
-1.290;1.355	-0.895;-0.454	100	0.358	0.814	1	109.85	199987	170931	1.00		2749	5080
-0.643;0.495	-0.544;-0.067	111	0.887	0.976	1	128.36	199983	171302	1.00		7564	8141
0.315;1.373	-0.646;0.007	101	0.121	0.655	1	97.09	199707	171438	1.00		163	2454
#	-3.614;-0.604	100	1.000	1.000	3	116.70	199987	171459	0.50		2774	2774
-0.701;-0.095	-2.898;-0.617	100	1.000	1.000	1	118.87	199985	171740	1.00		1212	1212
-0.598;0.260	0.514;0.592	011	0.402	0.833	2	115.41	199889	171913	1.00		402	804
#	1.073;1.549	001	0.100	1.000	1	123.69	172497	172497	0.50		0	0
-0.781;-0.204	-0.462;0.531	111	0.890	0.977	1	131.03	199983	173017	1.00		7505	7814
#	0.642;2.363	001	1.000	1.000	1	108.78	199944	173024	0.50		1467	1467
0.544;0.847	#	101	0.317	0.794	1	77.31	199825	173301	0.50		380	991
0.580;1.010	#	100	0.286	0.778	3	78.22	199987	173308	0.50		306	686
-1.290;0.927	-1.250;-0.377	100	0.208	0.730	1	111.72	199987	173370	1.00		2747	6024
-0.678;0.572	-0.619;0.133	110	0.176	0.707	1	131.01	199954	173756	1.00		1655	13162
0.443;2.155	-0.321;0.722	101	0.205	0.728	1	93.35	199825	173881	1.00		374	2020
-0.678;-0.070	#	110	0.107	0.639	1	130.97	199954	174128	0.50		741	12528
-1.724;-0.631	#	101	0.132	0.666	4	105.94	199720	174243	0.50		73	1992
#	0.580;2.181	011	0.251	0.759	1	104.82	199991	174514	0.50		584	2118
-0.667;0.386	-0.475;0.556	111	1.000	1.000	3	132.17	199983	174540	1.00		14809	14809
-0.643;0.465	-1.138;0.474	111	0.590	0.900	1	129.09	199983	174597	1.00		14644	18132
#	0.628;2.382	001	1.000	1.000	3	109.09	199992	175236	0.50		1490	1490
#	-0.475;0.556	111	0.901	0.979	3	129.41	199983	175773	0.50		17084	17845
-0.678;-0.070	-0.619;-0.488	110	1.000	1.000	2	117.10	199954	175964	1.00		551	551
-1.156;-0.261	#	101	0.107	0.640	1	124.04	199720	175988	0.50		68	9285
-0.973;0.084	-0.619;-0.488	110	0.769	0.949	2	112.33	199954	176571	1.00		738	872
-0.910;-0.477	0.628;2.382	001	1.000	1.000	2	111.72	199992	176609	1.00		402	402
-0.505;0.125	#	011	0.082	0.606	2	131.71	199889	177553	0.50		640	10350
-0.708;0.495	-0.475;0.556	111	1.000	1.000	1	130.22	199983	177742	1.00		14808	14808
-1.102;-0.668	#	100	0.078	0.600	10	94.74	199970	177907	0.50		317	950
#	-2.037;-0.604	100	1.000	1.000	1	116.70	199987	178315	0.50		2114	2114
-0.412;0.125	0.514;1.169	011	0.402	0.834	1	113.80	199889	178571	1.00		490	979
#	-0.475;0.283	111	0.898	0.979	1	131.36	199983	178728	0.50		10971	11459
0.443;1.373	-0.321;1.198	101	0.194	0.720	1	94.17	199825	178767	1.00		304	1886
-0.658;1.227	-3.370;-0.604	100	1.000	1.000	1	117.06	199987	178772	1.00		2000	2000
-1.102;-0.668	-1.011;-0.222	100	0.132	0.667	2	96.94	199894	178807	1.00		182	484
-0.976;0.740	-2.796;-0.604	100	1.000	1.000	1	116.70	199987	179335	1.00		2013	2013
-1.032;-0.210	-0.351;0.556	111	0.883	0.975	1	130.95	199983	179437	1.00		5361	5597
#	-4.183;-0.604	100	1.000	1.000	4	116.70	199987	179567	0.50		1985	1985
-0.708;0.475	-0.351;0.556	111	1.000	1.000	2	130.43	199983	179661	1.00		12189	12189
-0.412;0.519	0.580;2.535	011	0.307	0.789	1	105.41	199991	179749	1.00		406	1102
-0.932;-0.485	#	101	0.122	0.657	1	116.85	199720	179827	0.50		57	4043
-0.720;0.465	-0.170;0.556	111	1.000	1.000	2	130.12	199968	179861	1.00		9006	9006
-0.505;0.385	#	011	0.078	0.601	1	128.31	199991	179936	0.50		689	13048
-0.678;0.247	-0.619;-0.488	110	0.820	0.961	1	112.92	199954	179977	1.00		861	975
-0.643;0.495	-0.586;0.556	111	0.892	0.977	1	129.52	199983	180112	1.00		12480	13392
0.583;1.373	-0.321;0.271	101	0.553	0.888	1	71.97	199707	180163	1.00		113	170
0.443;0.690	-0.321;0.641	101	0.212	0.733	2	91.08	199825	180163	1.00		284	1421
#	-0.619;0.009	110	0.179	0.709	2	126.07	199954	180387	0.50		1237	8372
-0.708;0.899	-0.475;0.556	111	0.942	0.988	1	129.96	199983	180536	1.00		13729	14119
0.580;0.927	-1.250;0.095	100	0.557	0.890	1	82.23	199987	180986	1.00		218	326
#	0.194;0.556	111	0.925	0.985	1	122.57	199968	181091	0.50		4498	4660
-1.690;0.888	0.642;2.963	001	1.000	1.000	1	108.78	199944	181398	1.00		1012	1012
#	0.628;2.917	001	1.000	1.000	3	109.09	199992	181398	0.50		1119	1119
-1.690;0.888	0.628;2.263	001	1.000	1.000	1	109.09	199992	181571	1.00		1106	1106
-2.122;0.783	0.628;1.549	001	1.000	1.000	2	109.09	199992	181636	1.00		1104	1104
0.443;2.155	#	101	0.175	0.706	2	94.62	199825	181677	0.50		260	2202
-0.708;0.994	-0.351;0.556	111	0.950	0.990	1	129.90	199983	181781	1.00		11644	11956
#	-0.351;0.292	111	0.902	0.980	1	131.22	199983	181901	0.50		8144	8508
#	-3.518;-0.604	100	1.000	1.000	1	116.70	199987	181953	0.50		1753	1753
0.443;0.847	-0.321;0.722	101	0.205	0.728	1	93.35	199825	181983	1.00		257	1395
-0.505;0.519	#	011	0.075	0.596	1	126.72	199991	182410	0.50		603	13508
-0.659;0.183	-0.619;-0.488	110	0.784	0.953	1	117.69	199954	182474	1.00		603	703
#	-2.898;-0.602	100	1.000	1.000	1	116.70	199987	182476	0.50		1707	1707
-0.643;0.229	0.047;0.576	111	0.929	0.985	1	131.29	199896	182735	1.00		4302	4499
-0.412;0.125	#	011	0.088	0.615	1	131.87	199889	183295	0.50		381	6170
-0.367;0.610	-0.619;-0.488	110	0.828	0.963	1	109.59	199954	183382	1.00		760	855
#	0.514;1.169	011	0.240	0.752	1	103.95	199991	183457	0.50		567	2227
-0.598;0.125	0.514;0.592	011	0.449	0.852	2	111.38	199889	183486	1.00		235	423
#	-2.833;-0.326	100	0.143	0.677	1	113.05	199987	183584	0.50		1740	4372
-0.393;0.487	#	111	0.499	0.870	1	126.64	199968	183864	0.50		7584	10219
-0.678;-0.154	#	110	0.102	0.634	2	131.02	199931	184340	0.50		359	6367
-0.643;0.335	-0.475;0.556	111	1.000	1.000	1	132.59	199983	184628	1.00		8281	8281
0.159;0.780	0.637;1.549	001	1.000	1.000	1	97.77	199944	184937	1.00		388	388
#	-0.318;0.556	111	0.919	0.983	2	129.21	199983	184986	0.50		9036	9380
-1.290;1.227	-2.833;-0.604	100	1.000	1.000	2	116.70	199987	185268	1.00		1435	1435
#	0.900;1.356	001	0.100	1.000	1	119.30	185334	185334	0.50		0	0
-0.667;0.021	-0.475;0.556	111	1.000	1.000	1	132.97	199983	185445	1.00		5510	5510
0.102;0.463	-0.351;0.556	111	1.000	1.000	1	124.29	199968	185860	1.00		2843	2843
#	-0.957;-0.429	100	0.291	0.781	2	111.27	199987	185934	0.50		1451	2819
-2.744;0.783	0.628;1.252	001	1.000	1.000	1	109.09	199992	185984	1.00		843	843
#	-0.475;0.474	111	0.897	0.979	1	129.91	199983	186076	0.50		8939	9339
#	0.439;2.963	001	0.091	0.619	1	110.14	199992	186108	0.50		833	2546
#	-2.898;-0.734	100	1.000	1.000	1	118.35	199985	186358	0.50		704	704
0.159;0.888	0.628;2.263	001	1.000	1.000	2	99.82	199944	186552	1.00		384	384
-0.619;0.021	-0.475;0.556	111	1.000	1.000	1	134.26	199983	186574	1.00		4545	4545
#	-3.253;-0.734	100	1.000	1.000	1	118.35	199985	187096	0.50		664	664
0.080;0.873	-3.532;-0.598	100	1.000	1.000	1	115.68	199987	187188	1.00		549	549
-0.571;-0.023	0.628;3.037	001	1.000	1.000	1	122.37	199872	187308	1.00		254	254
#	0.628;1.319	001	1.000	1.000	1	109.09	199992	187569	0.50		747	747
-0.643;0.495	#	111	0.477	0.863	1	126.98	199983	187712	0.50		7749	10494
#	0.642;2.963	001	1.000	1.000	2	108.78	199944	187825	0.50		662	662
-1.690;0.888	0.714;2.963	001	1.000	1.000	1	104.30	199895	188174	1.00		474	474
-0.585;0.463	-0.475;0.556	111	1.000	1.000	1	130.68	199983	188192	1.00		6948	6948
-0.708;0.386	-0.351;-0.065	111	1.000	1.000	1	132.11	199983	188258	1.00		2190	2190
-0.708;0.475	-0.804;0.556	111	0.668	0.922	1	129.66	199983	188258	1.00		7778	9220
#	-1.250;-0.429	100	0.290	0.781	2	111.27	199987	188315	0.50		1201	2338
-0.412;0.260	0.580;0.734	011	0.649	0.917	1	107.69	199991	188343	1.00		200	266
#	0.514;0.734	011	0.296	0.784	4	105.35	199991	188372	0.50		397	1131
-1.290;1.355	-1.364;-0.429	100	0.291	0.781	1	111.27	199987	188377	1.00		1199	2329
-0.667;0.495	-0.475;0.556	111	1.000	1.000	1	130.22	199983	188384	1.00		7530	7530
-0.598;0.260	0.514;1.431	011	0.356	0.813	2	112.35	199991	188619	1.00		357	811
-0.658;0.740	-2.833;-0.617	100	1.000	1.000	1	117.59	199985	188641	1.00		971	971
-0.598;0.273	#	011	0.074	0.595	1	128.50	199991	188665	0.50		356	7374
-0.708;0.438	-0.307;0.929	111	0.716	0.935	1	127.16	199983	188668	1.00		6146	7020
-0.804;-0.054	#	011	0.067	0.582	1	128.70	199889	188895	0.50		253	5759
-0.643;0.465	-0.251;0.556	111	1.000	1.000	1	130.74	199983	188973	1.00		5440	5440
-0.708;0.465	-0.302;0.021	111	1.000	1.000	1	133.98	199983	189017	1.00		2239	2239
-0.643;0.463	-0.501;0.258	111	0.969	0.994	1	132.60	199983	189106	1.00		4872	4967
-0.667;0.386	#	111	0.505	0.872	1	128.26	199983	189198	0.50		6345	8479
-0.570;0.151	#	011	0.070	0.588	1	131.15	199889	189244	0.50		306	5945
-1.156;-0.631	-0.629;0.722	101	0.131	0.666	1	106.14	199720	189250	1.00		30	800
0.580;1.877	#	100	0.288	0.779	1	78.22	199987	189362	0.50		122	272
-0.708;0.485	-0.351;0.556	111	1.000	1.000	1	130.43	199983	189565	1.00		6254	6254
-0.250;0.587	-0.302;0.556	111	0.974	0.995	1	124.65	199968	189565	1.00		3772	3832
-1.290;1.248	-2.833;-0.292	100	0.111	0.644	1	113.53	199987	189626	1.00		1095	3116
#	-3.532;-0.604	100	1.000	1.000	2	116.70	199987	189670	0.50		1001	1001
0.125;0.976	#	101	0.119	0.653	1	113.65	199825	189704	0.50		145	3717
#	-3.614;-0.598	100	1.000	1.000	1	116.70	199987	189710	0.50		998	998
0.580;0.927	-0.425;0.095	100	0.289	0.780	1	71.97	199856	189711	1.00		30	88
-0.643;0.021	-0.475;0.556	111	1.000	1.000	1	133.95	199983	189937	1.00		3579	3579
-2.419;-0.602	#	101	0.131	0.666	1	107.34	199720	189948	0.50		28	920
-0.614;0.954	-2.833;-0.617	100	1.000	1.000	1	117.59	199985	190181	1.00		845	845
#	0.487;0.734	011	0.250	0.758	1	105.75	199991	190686	0.50		319	1064
-0.678;0.877	-0.619;-0.488	110	0.800	0.956	2	108.95	199954	190700	1.00		531	611
-0.708;0.465	-0.351;0.556	111	1.000	1.000	1	130.43	199983	190741	1.00		5552	5552
-0.678;0.442	-0.619;-0.488	110	0.859	0.970	2	109.77	199954	190971	1.00		517	568
-0.708;0.994	#	111	0.449	0.852	1	125.30	199983	191083	0.50		6343	8789
-1.256;-1.102	#	100	0.008	0.599	1	95.94	191356	191356	0.50		0	0
-0.571;-0.023	0.628;2.363	001	1.000	1.000	1	122.37	199872	191496	1.00		170	170
-0.643;0.462	-0.475;0.556	111	1.000	1.000	1	130.59	199983	191595	1.00		5205	5205
-0.412;0.737	0.580;0.734	011	0.473	0.861	2	104.21	199991	191964	1.00		161	276
-0.667;0.465	-0.475;0.556	111	1.000	1.000	1	130.38	199983	192180	1.00		5026	5026
-2.122;0.783	0.533;1.252	001	0.240	0.752	1	106.69	199992	192314	1.00		462	946
#	0.514;0.592	011	0.244	0.754	2	106.39	199889	192458	0.50		108	411
-0.708;0.463	-0.475;0.556	111	1.000	1.000	2	130.38	199983	192466	1.00		4972	4972
