Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	5122	6000	0.7317	0.5996	0.2560	0.000	0.000	0.0001.76
10000	5234	6000	0.5614	0.5756	0.2923	0.000	0.000	0.0006.35
15000	5396	6000	0.538	0.5664	0.3397	0.000	0.000	0.00010.69
20000	5544	6000	0.5235	0.5554	0.3786	0.000	0.000	0.00014.92
25000	5564	6000	0.5152	0.5452	0.4026	0.000	0.000	0.00019.27
30000	5610	6000	0.5104	0.5438	0.4242	0.000	0.000	0.00023.56
35000	5658	6000	0.506	0.5374	0.4452	0.000	0.000	0.00027.66
40000	5713	6000	0.5016	0.5362	0.4628	0.000	0.000	0.00031.96
45000	5663	6000	0.4977	0.5328	0.4652	0.000	0.000	0.00036.17
50000	5698	6000	0.4931	0.5348	0.4778	0.000	0.000	0.00039.96
