att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.102;0.300	#	11	0.842	0.966	9	50.54	199992	79387	0.50		39398	40780
0.328;4.004	#	01	1.000	1.000	1	46.56	199982	139891	0.50		16363	16363
-0.102;0.300	-0.277;0.795	11	1.000	1.000	2	50.57	199992	145656	1.00		17442	17442
-4.028;-0.140	#	10	1.000	1.000	5	61.03	199996	150883	0.50		17167	17167
#	0.810;0.882	10	0.326	0.799	1	45.27	199875	164277	0.50		817	1022
-0.107;-0.102	#	11	1.000	1.000	2	19.12	199956	165329	0.50		199	199
0.328;4.116	-0.645;1.376	01	1.000	1.000	2	46.56	199982	165456	1.00		9402	9402
-0.102;0.300	-0.143;0.822	11	1.000	1.000	3	51.34	199992	165517	1.00		10177	10177
-4.072;-0.140	#	10	1.000	1.000	3	61.03	199996	165587	0.50		12025	12025
-0.102;0.300	-0.136;0.551	11	1.000	1.000	2	53.39	199992	166092	1.00		7384	7384
0.328;4.161	-0.952;1.376	01	1.000	1.000	2	46.56	199982	167706	1.00		8795	8795
-4.028;-0.140	-0.286;0.821	10	1.000	1.000	1	61.07	199996	170184	1.00		9985	9985
-0.102;0.300	-0.143;0.739	11	1.000	1.000	1	52.10	199992	172494	1.00		7645	7645
0.328;4.116	#	01	1.000	1.000	5	46.56	199982	172814	0.50		7400	7400
-1.122;-0.257	#	10	1.000	1.000	1	62.12	199996	174100	0.50		7272	7272
-1.445;-0.194	#	10	1.000	1.000	2	61.58	199996	177049	0.50		7627	7627
-3.144;-0.140	-0.310;0.402	10	1.000	1.000	1	60.03	199985	177998	1.00		4856	4856
-0.198;0.268	#	11	0.589	0.900	1	47.37	199992	179298	0.50		6357	7067
-0.102;0.300	0.201;0.822	11	1.000	1.000	1	50.47	199992	179597	1.00		3573	3573
-1.122;-0.303	#	10	1.000	1.000	1	62.55	199996	180959	0.50		5016	5016
0.348;4.329	#	01	1.000	1.000	1	46.57	199982	181531	0.50		4973	4973
0.393;4.004	-0.952;1.406	01	1.000	1.000	1	46.53	199982	181658	1.00		4522	4522
-0.102;0.300	0.034;0.822	11	1.000	1.000	1	51.48	199992	181737	1.00		4614	4614
-0.198;0.653	-0.145;0.386	11	0.182	0.711	1	47.67	199992	181872	1.00		3324	4675
0.328;4.161	-1.109;0.979	01	1.000	1.000	2	46.56	199982	182011	1.00		4901	4901
0.328;4.411	#	01	1.000	1.000	2	46.56	199982	182781	0.50		4689	4689
-4.908;-0.140	-1.248;0.302	10	1.000	1.000	1	60.61	199985	184810	1.00		2999	2999
0.328;4.329	#	01	1.000	1.000	2	46.56	199982	185082	0.50		4061	4061
-1.122;-0.257	0.181;1.012	10	1.000	1.000	1	62.50	199996	185268	1.00		2195	2195
-0.102;0.300	-0.268;0.822	11	1.000	1.000	4	50.57	199992	185860	1.00		4538	4538
-0.988;-0.063	#	10	0.526	0.879	2	55.14	199996	186036	0.50		4962	5642
-4.028;-0.596	#	10	1.000	1.000	1	63.25	199952	186221	0.50		1851	1851
-1.122;0.141	0.632;1.094	10	0.271	0.770	1	54.70	199996	186450	1.00		1046	1358
-0.102;0.300	-0.268;0.795	11	1.000	1.000	1	50.58	199992	186501	1.00		4253	4253
-4.908;-0.140	#	10	1.000	1.000	5	61.03	199996	186640	0.50		4662	4662
-1.926;-0.140	#	10	1.000	1.000	1	61.03	199996	187144	0.50		4495	4495
0.348;4.004	-1.109;1.406	01	1.000	1.000	1	46.57	199982	187496	1.00		3365	3365
-5.546;-0.140	-1.248;0.302	10	1.000	1.000	1	60.61	199985	188468	1.00		2282	2282
-4.072;-0.257	#	10	1.000	1.000	2	62.12	199996	189068	0.50		3066	3066
-0.008;0.517	-0.268;0.792	11	0.251	0.759	1	48.25	199992	189871	1.00		2643	3484
-4.072;-0.194	0.458;0.978	10	1.000	1.000	1	62.74	199996	190019	1.00		1142	1142
0.328;4.116	-0.349;0.482	01	1.000	1.000	1	46.88	199982	190111	1.00		1870	1870
-0.107;-0.102	-0.097;0.445	11	1.000	1.000	2	19.12	199956	190533	1.00		54	54
0.328;4.116	-1.109;1.854	01	1.000	1.000	1	46.56	199982	190714	1.00		2529	2529
-0.090;0.563	#	11	0.217	0.737	1	48.83	199992	190864	0.50		2932	3979
0.348;3.666	0.067;1.213	01	1.000	1.000	1	46.54	199957	190883	1.00		1566	1566
-0.102;0.300	-0.143;0.551	11	1.000	1.000	2	53.39	199992	190994	1.00		1985	1985
-0.102;0.300	-0.277;0.822	11	1.000	1.000	2	50.56	199992	191084	1.00		2910	2910
-4.028;-0.140	-0.857;0.302	10	1.000	1.000	1	60.61	199985	191234	1.00		1735	1735
-0.102;0.300	-0.277;0.415	11	1.000	1.000	2	51.88	199992	191608	1.00		1731	1731
0.328;4.945	#	01	1.000	1.000	1	46.56	199982	191761	0.50		2244	2244
-0.102;0.300	0.116;0.822	11	1.000	1.000	2	51.44	199992	191765	1.00		1776	1776
-5.511;-0.194	0.408;1.239	10	1.000	1.000	2	62.35	199996	191912	1.00		994	994
-5.546;-0.140	-0.310;0.057	10	1.000	1.000	1	60.07	199952	191978	1.00		1034	1034
-3.144;-0.140	#	10	1.000	1.000	5	61.03	199996	192374	0.50		2667	2667
0.328;3.666	0.067;1.406	01	1.000	1.000	1	46.54	199957	192376	1.00		1331	1331
0.348;4.840	#	01	1.000	1.000	1	46.57	199982	192513	0.50		2019	2019
-0.102;0.300	0.058;0.647	11	1.000	1.000	1	53.17	199992	192583	1.00		1407	1407
-0.102;0.300	-0.382;0.126	11	0.888	0.976	1	46.27	199972	192928	1.00		828	848
-3.144;-0.303	0.604;1.043	10	1.000	1.000	1	63.94	199996	192959	1.00		463	463
0.328;4.161	0.384;0.765	01	1.000	1.000	1	45.96	199919	193319	1.00		667	667
-0.107;-0.102	0.007;0.342	11	1.000	1.000	1	19.21	199956	193325	1.00		38	38
-3.244;-0.140	0.489;1.113	10	1.000	1.000	1	62.62	199996	193391	1.00		794	794
-0.212;0.300	#	11	0.539	0.884	1	47.47	199992	193394	0.50		2291	2592
-0.147;0.350	-0.024;0.822	11	0.707	0.933	1	46.90	199992	193394	1.00		1856	1989
-0.102;0.300	-0.844;0.822	11	0.956	0.991	1	50.55	199992	193527	1.00		2112	2131
0.328;4.004	-1.109;1.020	01	1.000	1.000	1	46.56	199982	193528	1.00		1766	1766
-6.352;-0.194	#	10	1.000	1.000	1	61.58	199996	193779	0.50		2067	2067
-5.546;-0.140	#	10	1.000	1.000	6	61.03	199996	193907	0.50		2118	2118
0.328;4.302	-0.249;0.482	01	1.000	1.000	1	46.89	199982	194258	1.00		1070	1070
-0.107;0.350	-0.277;0.822	11	0.777	0.951	1	48.53	199992	194372	1.00		1872	1969
0.352;4.161	-0.328;0.123	01	1.000	1.000	1	47.02	199982	194423	1.00		606	606
-0.102;0.300	-0.156;0.502	11	1.000	1.000	1	53.83	199992	194523	1.00		1064	1064
0.328;4.329	-0.442;0.054	01	1.000	1.000	2	46.83	199982	194530	1.00		520	520
-0.102;0.300	-0.277;0.185	11	1.000	1.000	1	48.65	199972	195022	1.00		724	724
-0.107;0.336	#	11	0.662	0.921	2	48.52	199992	195070	0.50		1640	1781
-4.908;-0.140	-0.286;0.821	10	1.000	1.000	4	61.07	199996	195448	1.00		1527	1527
-4.028;-0.140	0.279;0.821	10	1.000	1.000	1	60.87	199996	195738	1.00		645	645
-4.028;-0.140	-0.286;0.302	10	1.000	1.000	3	60.61	199985	196048	1.00		765	765
0.352;4.329	-0.328;0.123	01	1.000	1.000	1	47.02	199982	196168	1.00		416	416
0.328;4.840	#	01	1.000	1.000	2	46.56	199982	196221	0.50		1026	1026
0.352;3.743	-0.328;0.123	01	1.000	1.000	1	47.02	199982	196275	1.00		408	408
0.478;1.258	-0.952;1.376	01	1.000	1.000	1	46.18	199982	196490	1.00		793	793
-4.072;0.141	0.632;1.094	10	0.262	0.765	2	54.70	199996	196709	1.00		251	328
0.328;4.161	-0.846;0.979	01	1.000	1.000	1	46.56	199982	196791	1.00		874	874
-0.120;0.478	-0.844;0.822	11	0.426	0.843	1	47.57	199992	196843	1.00		1068	1267
-4.072;0.135	0.810;0.882	10	1.000	1.000	1	47.83	199875	196859	1.00		62	62
-0.175;0.300	-0.277;0.822	11	0.848	0.968	1	47.51	199992	196983	1.00		1045	1080
-0.102;0.300	-0.143;0.185	11	1.000	1.000	1	52.16	199972	197000	1.00		340	340
-0.102;0.300	0.058;0.822	11	1.000	1.000	1	51.53	199992	197121	1.00		681	681
-3.144;-0.194	#	10	1.000	1.000	4	61.58	199996	197147	0.50		947	947
