att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	0.532;0.630	011	0.440	0.848	5	109.54	199991	80080	0.50		4122	7557
-1.578;-0.708	#	100	0.708	0.933	1	63.52	199970	80961	0.50		1364	1705
#	-2.843;-0.621	100	1.000	1.000	3	121.25	199974	114131	0.50		7381	7381
#	-0.597;-0.486	110	0.926	0.985	7	115.40	199978	121481	0.50		4724	4949
0.395;1.099	-0.329;0.492	101	0.182	0.711	1	100.92	199825	125370	1.00		855	6415
-0.700;-0.253	-0.567;-0.479	110	1.000	1.000	3	97.84	199924	133408	1.00		763	763
#	-2.722;-0.621	100	1.000	1.000	2	121.25	199974	144340	0.50		4780	4780
-0.606;0.376	#	110	0.116	0.650	3	134.80	199978	144782	0.50		3324	40346
-1.729;-0.708	-0.019;0.687	100	1.000	1.000	1	63.68	199970	147382	1.00		301	301
0.350;0.783	0.681;2.476	001	1.000	1.000	1	102.09	199966	149410	1.00		1159	1159
-0.236;0.630	-2.599;-0.621	100	1.000	1.000	1	125.14	199974	156875	1.00		1973	1973
-0.606;1.227	-0.597;-0.479	110	0.926	0.985	2	117.87	199978	157207	1.00		2573	2696
-2.110;-0.708	-1.099;0.066	100	0.555	0.889	1	63.02	199894	158014	1.00		240	360
#	0.681;2.751	001	1.000	1.000	1	106.60	199966	159388	0.50		1977	1977
-0.394;0.546	-0.430;-0.165	111	1.000	1.000	1	136.86	199908	159936	1.00		5854	5854
-1.400;-0.247	#	110	0.096	0.626	1	124.24	199924	160843	0.50		784	15484
0.395;1.724	#	101	0.164	0.696	1	96.04	199825	160968	0.50		559	6261
#	0.681;2.861	001	1.000	1.000	1	106.60	199966	161089	0.50		1893	1893
#	-0.567;-0.486	110	0.893	0.978	1	113.38	199978	162419	0.50		1508	1616
#	-1.629;-0.623	100	1.000	1.000	1	121.81	199974	162959	0.50		3079	3079
-0.544;0.861	#	110	0.100	0.631	1	129.25	199978	162984	0.50		2226	32031
-0.656;0.546	#	111	0.484	0.865	2	131.52	199993	163519	0.50		24782	33240
0.121;0.750	-1.010;-0.339	100	0.238	0.750	1	110.74	199974	163602	1.00		1667	3332
0.107;0.987	#	111	0.370	0.820	1	117.23	199971	163734	0.50		9252	13823
#	-0.432;0.543	111	0.908	0.981	1	133.28	199993	163775	0.50		24404	25441
#	-3.705;-0.621	100	1.000	1.000	3	121.25	199974	163979	0.50		3096	3096
-0.613;0.615	0.532;0.630	011	0.519	0.877	3	111.36	199991	164989	1.00		1201	1902
-0.587;0.148	-0.475;0.540	111	1.000	1.000	1	139.84	199993	166129	1.00		13589	13589
-0.706;0.546	#	111	0.481	0.864	9	127.63	199993	166218	0.50		23921	32138
-1.729;-0.717	#	100	1.000	1.000	6	65.84	199970	166390	0.50		385	385
#	0.681;2.882	001	1.000	1.000	3	106.60	199966	166673	0.50		1621	1621
-0.706;0.333	#	111	0.498	0.870	1	129.96	199993	166889	0.50		19263	25708
-0.606;1.227	-0.597;0.006	110	0.186	0.715	2	135.07	199978	166956	1.00		1988	12498
-0.706;0.333	-0.475;0.562	111	1.000	1.000	4	137.55	199993	167408	1.00		18868	18868
#	-2.599;-0.621	100	1.000	1.000	1	121.25	199974	167668	0.50		2773	2773
0.395;0.771	-2.722;-0.621	100	1.000	1.000	1	118.96	199974	168251	1.00		727	727
-0.544;0.861	-0.598;-0.486	110	1.000	1.000	4	120.73	199978	168635	1.00		1797	1797
#	0.681;2.450	001	1.000	1.000	1	106.60	199966	168838	0.50		1515	1515
#	-0.468;0.543	111	0.899	0.979	1	133.28	199993	169690	0.50		21111	22068
-0.606;0.376	-0.598;-0.486	110	1.000	1.000	4	120.73	199978	169737	1.00		1734	1734
-0.986;0.771	-1.139;-0.415	100	0.258	0.762	1	112.82	199974	169738	1.00		3117	6324
-0.706;0.546	-0.475;0.543	111	1.000	1.000	1	133.89	199993	170028	1.00		20788	20788
-0.706;0.543	-0.231;1.075	111	0.683	0.927	1	127.47	199993	170434	1.00		15932	18471
-1.719;-0.717	#	100	1.000	1.000	2	65.84	199970	170780	0.50		334	334
#	-0.430;0.543	111	0.908	0.981	1	133.28	199993	171029	0.50		19342	20172
#	0.681;2.888	001	1.000	1.000	1	106.60	199966	171210	0.50		1400	1400
#	0.604;2.476	001	0.718	0.936	1	95.40	199992	172832	0.50		1632	2020
-0.020;0.546	#	111	0.487	0.866	1	122.93	199971	172892	0.50		9013	11961
-0.244;0.351	#	011	0.082	0.607	1	133.68	199991	173174	0.50		537	11145
-1.290;1.787	0.753;2.476	001	1.000	1.000	2	110.30	199966	173260	1.00		843	843
-0.706;0.546	-0.430;0.562	111	1.000	1.000	3	133.70	199993	173533	1.00		17983	17983
0.527;0.738	-1.010;-0.339	100	0.492	0.868	3	79.63	199974	173965	1.00		299	373
#	0.681;2.120	001	1.000	1.000	1	106.60	199966	174071	0.50		1261	1261
-2.014;-0.708	-0.237;0.802	100	1.000	1.000	3	63.68	199970	174144	1.00		148	148
0.527;0.738	#	100	0.076	0.597	1	80.70	199974	174355	0.50		368	1391
-0.910;-0.102	0.604;2.476	001	0.670	0.923	1	97.66	199992	174515	1.00		730	949
#	-2.679;-0.621	100	1.000	1.000	2	121.25	199974	174554	0.50		2184	2184
-0.656;0.337	-0.475;0.540	111	1.000	1.000	2	138.69	199993	174758	1.00		13673	13673
#	0.658;2.882	001	1.000	1.000	2	106.13	199966	174838	0.50		1296	1296
-0.484;-0.094	-0.597;-0.486	110	1.000	1.000	1	119.81	199875	174917	1.00		359	359
-0.706;0.253	-0.232;0.543	111	1.000	1.000	1	138.21	199993	175820	1.00		9841	9841
-0.216;0.448	0.611;1.183	011	0.284	0.777	1	103.81	199829	175937	1.00		206	620
#	-0.475;0.562	111	0.901	0.979	6	133.14	199993	176067	0.50		16945	17697
-0.025;0.884	-1.629;-0.623	100	1.000	1.000	1	124.97	199974	176419	1.00		943	943
0.548;1.724	#	101	0.365	0.818	1	65.93	199825	176442	0.50		335	740
-0.706;0.546	-0.205;0.562	111	1.000	1.000	1	132.99	199993	176560	1.00		11957	11957
