Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	5072	6000	0.7339	0.6016	0.2512	0.000	0.000	0.0001.67
10000	5196	6000	0.5795	0.6048	0.2852	0.000	0.000	0.0006.10
15000	5339	6000	0.5522	0.5764	0.3281	0.000	0.000	0.00010.36
20000	5496	6000	0.5346	0.5584	0.3712	0.000	0.000	0.00014.66
25000	5558	6000	0.5238	0.5444	0.3933	0.000	0.000	0.00018.82
30000	5606	6000	0.5151	0.5328	0.4139	0.000	0.000	0.00023.08
35000	5651	6000	0.5106	0.532	0.4304	0.000	0.000	0.00027.20
40000	5665	6000	0.5065	0.5292	0.4491	0.000	0.000	0.00031.31
45000	5665	6000	0.5038	0.527	0.4595	0.000	0.000	0.00035.52
50000	5690	6000	0.5013	0.5278	0.4769	0.000	0.000	0.00039.51
