Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	4379	5000	0.7278	0.7168	0.2174	0.000	0.000	0.000	4.02
10000	4530	5000	0.5518	0.7406	0.2425	0.000	0.000	0.000	9.98
15000	4598	5000	0.5491	0.762	0.2672	0.000	0.000	0.000	15.10
20000	4667	5000	0.5461	0.7698	0.2843	0.000	0.000	0.000	19.87
25000	4704	5000	0.5436	0.7696	0.2971	0.000	0.000	0.000	24.72
30000	4721	5000	0.5421	0.7704	0.3085	0.000	0.000	0.000	29.70
35000	4668	5000	0.5418	0.7784	0.3101	0.000	0.000	0.000	34.07
40000	4703	5000	0.539	0.7782	0.3198	0.000	0.000	0.000	38.50
45000	4752	5000	0.5382	0.7748	0.3302	0.000	0.000	0.000	42.90
50000	4721	5000	0.5381	0.7796	0.3380	0.000	0.000	0.000	47.28
