Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-81.752;-57.169	#	#	-0.043;0.129	#	-1.221;4.590	#	0.031;0.192	#	-0.192;2.894	0.007;0.509	#	#	#	#	#	0.017;0.808	#	#	#	#	#	000001	0.314	0.793	1	594.15	49996	48417	0.32		135	474
-77.282;-60.517	0.007;0.077	-0.045;0.102	#	#	#	0.224;0.492	-0.019;0.142	-0.191;0.607	#	-0.202;0.505	0.488;0.748	0.171;0.363	0.041;0.094	#	0.092;1.491	#	-0.748;1.135	#	#	#	-0.591;0.738	000001	0.927	0.985	1	801.15	49981	48417	0.59		40	44
-101.752;-63.993	#	-0.006;0.162	0.028;0.081	-0.632;0.277	3.485;8.228	0.118;0.492	#	#	#	#	0.432;0.590	0.076;0.248	#	#	0.088;0.918	#	-0.252;0.912	-0.050;0.639	0.080;0.111	-0.399;1.288	-0.265;1.160	000001	1.000	1.000	1	685.11	49982	48418	0.64		20	20
#	#	#	-0.035;0.169	#	#	0.183;0.320	#	#	#	#	0.401;0.718	#	#	#	-0.384;0.448	-0.325;1.377	-0.669;1.282	#	0.088;0.143	-0.257;1.800	-0.083;0.559	100001	0.085	0.611	1	652.50	49983	48419	0.41		4	36
-75.528;-48.604	#	#	0.013;0.132	#	1.278;2.589	#	#	-0.267;0.152	#	-0.180;0.437	#	#	-0.016;0.064	#	#	#	#	-0.025;0.662	#	-0.248;1.481	-0.539;0.771	100001	0.567	0.893	1	675.53	49983	48419	0.41		24	45
-69.640;-69.208	#	#	0.019;0.131	#	-0.917;7.977	-0.009;0.288	#	#	-0.750;6.055	#	#	#	0.008;0.064	#	#	-0.182;0.672	0.514;1.752	#	#	0.259;1.219	-0.531;0.743	010000	1.000	1.000	1	748.38	49984	48420	0.45		8	8
-69.640;-69.208	#	0.034;0.092	#	#	#	#	#	#	-0.734;4.557	#	0.451;0.588	#	0.013;0.107	#	0.224;1.150	-0.301;0.637	#	0.153;0.407	0.067;0.109	-0.473;1.219	#	010000	1.000	1.000	1	686.75	49984	48420	0.45		8	8
#	#	#	#	#	#	0.224;0.311	-0.037;0.268	-0.021;0.321	#	#	0.491;0.679	#	0.042;0.093	#	#	#	#	0.278;0.768	#	#	-0.265;0.736	000001	0.617	0.908	1	701.74	49996	48421	0.32		66	94
#	#	-0.045;0.190	#	-0.182;0.453	#	0.224;0.311	0.025;0.177	#	#	-0.116;0.809	0.488;0.748	#	0.042;0.093	0.009;0.014	#	-0.447;0.809	-0.145;1.735	0.278;0.768	0.083;0.114	#	-0.265;0.736	000001	0.940	0.988	1	754.09	49996	48421	0.59		50	54
#	-0.014;0.115	-0.008;0.086	-0.028;0.058	#	-2.232;10.992	#	#	-0.290;0.484	-1.755;5.651	-0.195;0.336	#	#	0.003;0.096	#	#	#	0.932;2.541	-0.046;0.497	#	#	#	100001	0.894	0.978	1	525.04	49986	48422	0.45		52	60
#	#	#	-0.028;0.058	#	-1.391;2.589	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-0.140;0.957	#	100001	0.690	0.929	1	572.16	49988	48424	0.14		28	49
-77.704;-74.281	0.028;0.161	#	-0.028;0.058	0.987;1.639	#	0.288;0.447	-0.029;0.059	#	#	#	#	0.111;0.533	#	0.002;0.013	0.137;2.463	#	1.184;3.067	0.012;0.342	#	#	#	100001	1.000	1.000	1	385.25	49988	48424	0.50		4	4
-82.886;-67.053	#	#	0.056;0.192	#	1.774;8.504	#	-0.041;0.212	#	#	#	#	#	0.083;0.162	#	#	#	#	#	0.062;0.104	#	0.763;1.571	001010	0.489	0.867	1	531.12	49989	48425	0.32		16	20
#	#	-0.033;0.157	#	#	#	#	#	#	#	-0.059;0.508	#	0.004;0.276	#	0.003;0.011	#	-0.141;0.678	#	#	0.062;0.104	#	0.763;1.571	001010	0.104	0.636	1	530.32	49989	48425	0.32		16	88
#	0.166;0.256	#	0.012;0.199	#	#	#	#	#	#	#	0.323;0.656	#	0.030;0.106	#	-0.512;0.038	#	#	#	0.071;0.117	#	#	000001	1.000	1.000	1	191.00	49990	48426	0.27		4	4
#	0.166;0.256	#	#	#	#	#	#	#	#	#	#	0.352;0.616	0.037;0.099	#	#	#	2.128;4.284	#	#	#	0.887;2.000	000001	1.000	1.000	1	191.00	49990	48426	0.23		4	4
#	-0.002;0.061	#	0.067;0.247	#	#	#	0.083;0.282	#	#	#	#	-0.068;0.157	#	#	0.367;0.807	#	#	0.677;0.734	0.019;0.086	#	-0.540;0.297	000110	1.000	1.000	1	498.25	49991	48427	0.36		8	8
-99.667;-76.130	#	0.028;0.209	#	-0.529;0.529	#	-0.056;0.130	0.083;0.445	-0.008;0.596	#	0.011;0.924	0.428;0.558	#	0.045;0.133	#	0.367;0.807	#	-0.352;0.709	0.507;1.090	0.045;0.109	#	-0.195;0.254	000110	1.000	1.000	1	552.08	49991	48427	0.64		12	12
#	-0.030;0.132	0.039;0.135	#	#	1.215;8.341	#	-0.045;0.215	#	2.546;6.495	-0.305;0.496	#	#	#	0.004;0.016	0.492;1.572	#	#	0.094;0.583	0.104;0.148	0.089;1.413	#	010000	0.555	0.889	1	299.18	49992	48428	0.50		8	12
-65.510;-59.390	#	0.131;0.242	0.025;0.184	-0.604;0.718	#	-0.048;0.137	0.024;0.288	0.083;0.881	#	#	0.075;0.523	-0.071;0.411	#	0.003;0.013	#	#	0.237;1.538	0.064;0.553	0.043;0.107	#	-0.090;0.646	100000	1.000	1.000	1	538.00	49993	48429	0.64		4	4
#	#	#	#	-0.317;0.486	#	0.224;0.311	-0.037;0.185	#	#	#	#	#	0.042;0.093	0.009;0.014	0.249;1.368	#	#	0.278;0.768	#	#	#	000001	0.939	0.987	1	753.89	49996	48430	0.32		49	53
#	0.016;0.155	-0.045;0.190	0.019;0.097	-0.624;0.565	-1.221;4.590	0.224;0.311	0.025;0.177	#	#	#	0.488;0.679	0.058;0.355	0.042;0.093	0.009;0.014	0.249;1.368	-0.279;0.809	#	0.278;0.768	0.068;0.109	-0.399;1.179	-0.265;0.736	000001	1.000	1.000	1	839.31	49985	48430	0.77		12	12
-100.016;-78.619	#	#	#	#	2.913;8.802	#	0.007;0.157	#	#	#	0.359;0.458	#	0.144;0.228	#	0.278;1.513	-0.142;0.645	0.300;1.806	#	0.062;0.101	#	#	000100	1.000	1.000	1	311.50	49998	48434	0.41		4	4
-113.440;-84.341	#	#	0.058;0.150	#	#	0.076;0.235	#	0.058;0.592	#	0.049;0.406	0.136;0.458	-0.084;0.371	#	#	#	#	0.300;1.806	0.515;0.967	0.062;0.101	#	#	000100	1.000	1.000	1	311.50	49998	48434	0.45		4	4
#	0.113;0.169	#	#	-0.369;1.103	#	0.108;0.362	#	0.015;0.482	0.166;6.542	#	0.437;0.573	#	#	#	#	#	0.284;1.193	#	#	#	0.051;0.662	011000	0.628	0.911	1	517.59	49951	48437	0.36		11	15
#	#	#	#	-0.220;0.220	-0.188;6.242	0.115;0.199	#	#	#	-0.142;0.573	#	#	0.030;0.097	0.002;0.014	#	#	0.874;2.900	#	#	0.072;1.252	0.197;0.789	110000	0.457	0.855	1	551.05	49662	48438	0.41		7	23
#	#	0.003;0.189	0.087;0.283	-0.331;0.449	#	#	0.029;0.187	0.220;0.499	3.929;12.940	0.302;0.846	#	#	0.030;0.088	0.003;0.013	#	-0.013;0.925	0.669;1.764	#	#	0.758;2.350	#	011000	0.176	0.706	1	583.96	49802	48439	0.55		19	59
-88.285;-58.758	-0.043;0.089	0.087;0.185	#	#	0.431;8.199	#	#	#	#	0.168;0.896	0.383;0.579	#	#	#	-0.155;1.138	#	#	0.108;0.362	#	#	#	010000	0.196	0.722	1	598.96	49992	48441	0.36		19	139
-86.763;-75.209	#	0.121;0.245	0.049;0.200	#	3.202;10.988	#	#	0.466;0.967	#	#	0.218;0.754	#	#	0.008;0.013	-0.167;0.546	#	-0.006;1.980	#	#	1.107;2.012	#	011100	1.000	1.000	1	346.00	49615	48442	0.45		3	3
