Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-96.823;-71.575	#	#	0.233;0.306	#	#	#	#	0.746;1.134	1.476;9.376	#	#	#	0.000;0.101	#	#	#	0.061;0.951	#	#	#	#	001100	0.514	0.875	1	262.38	49685	28	0.27		256	511
-92.605;-68.641	-0.031;0.101	#	0.183;0.340	#	#	-0.128;0.199	0.199;0.417	#	#	#	#	#	#	0.004;0.011	-0.908;0.442	0.355;0.975	-0.357;1.423	0.136;0.644	#	-0.065;1.965	#	001110	0.102	0.633	1	298.80	49755	98	0.50		128	637
#	#	#	#	#	#	#	-0.019;0.261	#	#	-0.067;0.242	0.389;0.782	0.502;0.733	#	0.019;0.026	#	#	#	#	#	0.332;1.649	#	000001	1.000	1.000	1	184.69	49756	99	0.27		128	128
#	#	#	#	#	#	#	#	-0.316;0.516	3.133;11.403	#	#	#	-0.004;0.108	0.018;0.024	#	#	#	0.309;0.695	0.132;0.187	0.482;1.745	#	110001	0.403	0.834	1	169.94	49795	138	0.32		128	255
#	0.071;0.129	#	#	#	#	#	#	#	-1.398;1.244	#	#	#	#	#	#	-0.132;0.404	0.319;1.552	0.097;0.728	0.077;0.114	#	#	100001	0.023	0.746	1	26.54	169	169	0.27		0	0
#	#	0.039;0.135	#	#	1.215;8.306	#	-0.036;0.148	#	2.546;6.495	-0.065;0.256	0.205;0.592	#	#	0.005;0.013	0.492;1.572	-0.154;0.365	1.521;3.644	#	0.104;0.150	0.333;1.101	#	010000	1.000	1.000	2	220.12	49893	236	0.55		128	128
-75.528;-57.126	#	#	#	0.900;1.482	-0.656;2.589	#	#	#	#	#	0.313;0.482	0.279;0.543	-0.007;0.006	#	#	#	#	#	0.081;0.143	-0.660;1.343	0.800;1.338	100001	0.075	0.944	1	12.67	257	257	0.41		0	0
#	#	#	#	-0.547;0.547	#	0.291;0.528	#	-0.033;0.434	3.282;6.985	-0.086;0.482	#	#	#	0.006;0.014	#	-0.118;0.602	#	#	#	#	#	001000	0.402	0.833	1	471.99	49916	259	0.32		382	1400
#	#	0.025;0.157	#	-0.423;0.645	2.539;7.586	#	0.009;0.151	0.012;0.571	#	-0.194;0.678	#	0.003;0.426	0.061;0.116	0.012;0.013	#	#	#	0.195;0.716	0.075;0.101	#	#	001010	0.027	0.750	1	63.25	265	265	0.50		0	0
-75.883;-62.189	#	-0.008;0.097	#	#	#	0.124;0.387	-0.001;0.110	#	-0.235;4.579	#	0.278;0.523	#	0.005;0.094	0.003;0.009	-0.219;0.938	#	#	#	#	#	#	100000	0.283	0.777	1	579.00	49952	272	0.41		1525	6360
#	#	0.068;0.205	#	-0.423;0.900	#	-0.037;0.263	#	0.012;0.571	-0.094;1.064	#	#	#	#	0.005;0.011	#	-0.141;0.612	#	0.154;0.716	0.075;0.101	0.022;1.723	#	001010	0.014	0.670	1	73.57	332	332	0.45		0	0
#	#	0.061;0.162	#	-0.438;0.550	#	#	0.016;0.234	#	#	0.014;0.396	0.262;0.622	-0.093;0.323	0.028;0.029	0.007;0.012	#	#	#	#	#	-0.080;1.759	-0.453;0.839	000010	0.011	0.647	1	75.89	338	338	0.45		0	0
#	#	#	#	-0.186;0.272	#	-0.065;0.144	#	#	#	#	0.323;0.612	-0.151;0.252	0.039;0.099	0.005;0.010	#	#	-0.635;1.795	0.250;0.664	#	#	-0.168;0.711	001110	0.107	0.640	1	555.54	49954	358	0.41		3301	14978
#	0.031;0.113	-0.035;0.181	0.014;0.209	#	#	0.152;0.311	-0.074;0.026	-0.130;0.485	#	-0.148;0.395	0.378;0.711	0.079;0.574	#	0.003;0.013	#	#	-0.333;1.995	0.183;0.691	0.061;0.124	#	#	000001	0.031	0.793	1	85.09	364	364	0.59		0	0
#	0.031;0.113	-0.035;0.181	#	-0.511;0.529	#	0.152;0.311	#	-0.130;-0.036	#	#	0.378;0.711	#	#	0.003;0.015	#	#	#	#	0.061;0.124	#	#	000001	0.031	0.793	1	85.02	364	364	0.36		0	0
-96.817;-69.430	#	#	#	#	2.535;10.107	-0.116;0.197	0.018;0.190	#	2.921;6.007	#	#	-0.068;0.018	#	#	#	#	#	#	0.051;0.101	#	-0.540;0.645	000110	0.010	0.629	1	90.37	412	412	0.36		0	0
-92.605;-68.641	-0.031;0.101	#	0.183;0.340	#	6.250;10.216	-0.128;0.199	0.199;0.417	#	#	#	#	#	#	0.004;0.011	-0.615;0.442	0.355;0.975	-0.357;1.423	0.136;0.644	#	-0.065;1.965	#	001110	0.647	0.917	1	315.06	49755	489	0.55		126	252
#	#	#	#	#	#	#	-0.019;0.261	#	#	-0.067;0.242	0.389;0.782	0.502;0.733	#	0.019;0.026	#	#	#	#	#	#	#	000001	1.000	1.000	1	184.69	49756	490	0.23		126	126
#	#	#	#	#	#	#	#	-0.316;0.516	3.133;11.403	#	#	#	-0.004;0.108	0.018;0.024	#	#	1.704;4.066	0.309;0.695	0.132;0.187	0.482;1.745	#	110001	1.000	1.000	1	157.13	49795	529	0.36		126	126
#	-0.002;0.161	#	#	#	2.595;9.686	#	#	0.318;0.637	1.541;7.465	-0.063;0.492	0.438;0.673	#	0.056;0.146	0.013;0.018	0.169;0.748	-0.278;0.710	-0.498;1.384	#	0.066;0.105	#	#	000100	0.014	0.678	1	95.83	555	555	0.55		0	0
-113.440;-84.341	0.157;0.313	-0.030;0.205	#	#	5.907;10.232	0.076;0.235	#	-0.160;0.592	#	#	0.136;0.458	-0.084;0.371	0.144;0.228	0.007;0.014	0.278;1.513	#	0.300;1.806	#	0.062;0.101	#	0.766;1.340	000100	1.000	1.000	1	210.40	49928	662	0.64		126	126
-87.433;-75.451	#	#	#	#	#	#	-0.044;0.163	#	5.592;10.035	#	#	0.235;0.239	0.017;0.092	0.002;0.012	#	0.039;0.860	-0.725;1.568	0.257;0.774	#	0.384;1.591	-0.191;0.671	001101	0.004	0.526	1	85.19	671	671	0.50		0	0
-90.493;-78.083	#	-0.003;0.225	0.042;0.118	#	#	#	-0.024;0.202	#	1.147;6.331	-0.309;0.617	0.326;0.462	#	0.110;0.182	0.002;0.014	-0.571;0.799	-0.159;0.460	#	#	#	#	#	001110	1.000	1.000	1	329.73	49997	731	0.50		252	252
#	#	#	#	#	#	#	#	0.120;0.667	#	#	0.323;0.612	#	0.039;0.099	0.004;0.005	#	#	-0.635;0.988	0.250;0.664	#	#	-0.207;0.711	001110	0.011	0.645	1	154.80	749	749	0.32		0	0
#	#	#	0.218;0.325	-0.287;0.366	#	#	0.376;0.456	0.380;1.007	#	#	#	-0.064;0.233	#	#	0.049;0.956	#	-0.442;1.509	#	0.066;0.105	#	#	001100	1.000	1.000	1	415.16	49634	759	0.36		125	125
#	#	#	#	#	#	#	#	-0.207;0.636	-1.093;4.461	-0.221;0.667	#	#	0.004;0.119	#	#	#	0.459;2.038	-0.000;0.706	#	#	0.277;1.300	110000	0.086	0.613	1	652.68	49976	767	0.32		1006	17879
-97.121;-66.738	#	#	0.108;0.249	#	0.454;10.792	#	#	#	#	#	#	#	#	#	#	#	-0.331;2.167	#	#	0.649;2.460	#	011000	0.120	0.654	1	518.94	49965	809	0.23		3018	16603
#	#	-0.029;0.149	-0.006;0.111	1.495;2.006	#	0.213;0.440	#	-0.181;0.468	#	-0.188;0.713	#	0.289;0.534	#	0.004;0.013	#	#	#	#	#	#	#	100001	0.401	0.833	1	344.79	49713	838	0.36		250	501
#	#	#	0.044;0.198	#	#	#	-0.019;0.261	#	#	#	0.389;0.782	0.502;0.733	#	0.019;0.026	#	#	#	0.410;0.805	#	0.332;1.649	#	000001	1.000	1.000	1	184.69	49756	881	0.32		125	125
#	#	#	#	#	#	#	-0.019;0.261	-0.230;0.396	#	-0.067;0.242	0.389;0.782	0.502;0.733	#	0.019;0.026	#	#	#	#	#	0.332;1.649	#	000001	1.000	1.000	2	184.69	49756	881	0.32		125	125
#	#	#	#	#	#	#	#	-0.316;0.516	#	#	#	#	-0.004;0.108	0.018;0.024	#	#	#	0.309;0.695	0.132;0.187	0.482;1.745	#	110001	0.402	0.833	1	169.94	49795	920	0.27		125	250
#	0.050;0.139	0.002;0.218	0.025;0.106	#	5.967;10.654	#	#	#	7.946;13.994	#	#	#	#	0.006;0.010	-0.103;0.919	#	#	#	0.044;0.105	#	-0.052;0.504	101000	0.237	0.750	1	314.04	49857	982	0.41		125	250
-77.568;-63.447	-0.003;0.084	#	#	-0.369;0.566	1.289;6.097	#	-0.067;0.190	#	#	#	0.288;0.512	#	0.031;0.105	#	#	#	#	0.098;0.559	0.057;0.114	#	-0.161;0.718	100000	0.155	0.689	1	624.85	49993	1010	0.45		501	4760
-113.440;-84.341	0.157;0.313	-0.030;0.205	#	#	4.463;10.232	0.076;0.235	#	-0.160;0.592	#	#	#	#	0.144;0.228	0.007;0.014	0.278;1.513	#	0.300;1.806	#	0.062;0.101	#	0.766;1.340	000100	1.000	1.000	1	210.40	49928	1053	0.55		125	125
#	#	#	0.102;0.216	#	0.916;1.912	-0.018;0.128	#	#	#	#	0.362;0.733	#	0.004;0.119	#	#	0.024;0.677	#	#	#	#	#	110000	0.020	0.708	1	278.83	1085	1085	0.27		0	0
-82.051;-55.947	#	#	#	-0.253;0.258	#	#	#	0.220;0.961	#	-0.185;0.691	#	#	#	0.002;0.011	#	-0.296;0.893	#	#	#	#	#	011000	0.147	0.682	1	516.44	49896	1126	0.27		3249	16374
#	#	#	0.284;0.325	-0.287;0.366	#	#	0.223;0.456	0.380;1.007	4.298;10.964	#	#	#	#	#	0.049;0.956	#	-0.442;1.509	#	#	0.566;1.883	#	001100	0.071	0.933	1	33.80	1150	1150	0.36		0	0
#	0.009;0.070	0.076;0.196	#	-0.538;0.573	#	-0.109;0.200	#	#	#	#	0.218;0.754	#	#	#	#	#	#	#	#	#	-0.182;0.584	011100	0.091	0.619	1	587.99	49761	1277	0.27		496	16448
#	#	#	#	#	#	0.252;0.521	#	-0.316;0.516	3.133;11.403	#	#	#	-0.004;0.108	0.018;0.024	#	#	#	0.309;0.695	0.132;0.187	0.482;1.745	#	110001	0.402	0.833	1	169.94	49795	1311	0.36		124	248
-75.883;-62.189	#	0.099;0.120	#	-0.108;0.826	#	0.124;0.387	-0.001;0.110	#	-0.235;4.579	#	0.278;0.523	#	0.005;0.094	#	-0.219;0.938	#	#	#	#	#	#	100000	0.028	0.775	1	304.35	1399	1399	0.41		0	0
#	0.066;0.138	#	0.181;0.282	-0.564;0.564	#	#	0.144;0.428	0.919;1.444	#	0.331;1.059	#	-0.076;0.227	0.045;0.117	#	#	#	-1.156;1.240	#	0.056;0.089	#	#	000110	1.000	1.000	2	181.28	49957	1473	0.45		124	124
#	#	#	0.181;0.282	-0.564;0.564	#	#	0.144;0.428	0.919;1.444	#	0.331;1.059	0.316;0.507	-0.076;0.227	0.045;0.067	#	#	#	-1.156;1.240	#	0.056;0.089	#	#	000110	0.402	0.833	1	284.24	1473	1473	0.45		0	124
#	0.047;0.112	#	#	-0.369;1.241	#	#	#	#	#	#	#	#	#	0.010;0.016	#	#	#	#	#	0.138;1.537	#	100000	0.401	0.833	1	257.58	49619	1526	0.18		123	495
#	#	#	#	-0.547;0.547	#	0.291;0.528	#	#	#	-0.086;0.482	#	#	0.080;0.135	#	#	#	#	#	0.073;0.096	#	#	001000	0.339	0.805	1	533.15	49660	1567	0.23		123	743
#	#	#	0.233;0.325	-0.046;0.366	#	#	#	#	4.298;9.376	#	#	0.095;0.339	#	0.003;0.014	#	#	0.061;2.250	#	#	#	#	001100	0.555	0.889	1	272.53	49685	1592	0.27		370	741
-92.953;-61.287	-0.023;0.137	#	#	#	3.518;8.215	#	#	0.633;0.767	#	#	0.506;0.666	0.013;0.197	0.048;0.121	#	#	#	#	#	#	#	0.035;0.682	001000	0.237	0.750	1	334.51	1607	1607	0.36		0	247
-78.865;-52.761	#	#	0.037;0.128	#	#	#	#	#	#	-0.111;0.333	0.278;0.523	0.350;0.666	-0.020;0.071	0.003;0.009	-0.219;1.757	#	#	#	#	#	0.276;1.874	100000	0.402	0.833	1	439.28	49929	1619	0.41		742	2352
#	0.012;0.097	#	#	-0.253;0.258	#	#	0.046;0.276	0.220;0.499	#	-0.009;0.595	#	0.063;0.353	#	#	0.402;0.962	#	0.049;1.966	0.054;0.455	#	#	#	011000	0.137	0.672	1	628.23	49833	1709	0.41		616	3458
#	#	0.110;0.135	#	#	1.215;8.306	#	-0.036;0.148	-0.106;0.350	2.546;6.495	-0.065;0.256	0.205;0.592	#	#	0.005;0.013	0.492;1.572	-0.154;0.365	1.521;3.644	#	0.104;0.150	0.333;1.101	#	010000	0.100	1.000	1	49.80	1800	1800	0.59		0	0
-113.440;-84.341	0.157;0.313	-0.030;0.205	#	#	4.463;10.232	0.076;0.235	#	-0.160;0.592	1.512;9.288	#	0.136;0.458	-0.084;0.371	0.144;0.184	0.007;0.014	0.278;1.513	#	0.300;1.806	#	0.062;0.101	#	0.766;1.340	000100	0.100	1.000	1	64.40	1835	1835	0.68		0	0
#	0.007;0.077	#	#	#	-1.179;6.152	0.224;0.492	#	#	#	-0.035;0.421	#	#	#	#	-0.151;0.871	#	#	-0.050;0.552	0.075;0.112	#	#	000001	0.311	0.792	1	597.82	49996	1837	0.32		2217	6896
#	#	#	0.159;0.181	-0.564;0.564	#	#	0.144;0.428	0.919;1.444	#	0.331;1.059	#	-0.076;0.227	0.045;0.117	#	#	#	-1.156;1.240	#	0.056;0.089	#	#	000110	0.058	0.897	1	37.93	1864	1864	0.41		0	0
#	#	#	0.038;0.157	#	#	#	-0.016;0.141	-0.081;0.432	#	#	#	#	0.098;0.221	#	#	-0.311;0.727	#	0.351;0.953	#	#	#	001100	0.191	0.718	1	369.62	49616	1914	0.27		122	1598
#	#	#	#	-0.369;0.566	#	#	#	#	#	#	#	#	#	0.010;0.016	#	#	#	#	0.096;0.157	#	-0.090;0.646	100000	1.000	1.000	1	239.60	49619	1917	0.18		122	122
#	0.007;0.077	#	#	#	-1.221;6.591	0.224;0.492	0.031;0.142	#	#	#	#	0.171;0.714	#	#	-0.151;0.871	-0.447;0.808	#	#	0.065;0.122	#	-0.265;1.046	000001	0.545	0.886	1	656.58	49996	1971	0.41		2089	4298
-93.131;-81.565	-0.012;0.067	0.082;0.196	0.089;0.162	#	#	#	#	0.371;0.667	#	#	0.301;0.617	#	0.027;0.093	#	#	#	0.196;0.988	#	#	#	-0.207;0.711	001110	0.647	0.917	1	612.48	49925	1990	0.41		369	492
#	#	#	#	-0.407;0.563	3.296;10.988	#	#	#	#	0.348;0.645	0.218;0.754	#	#	0.003;0.013	-0.167;0.546	#	-0.006;1.980	#	#	1.107;2.012	-0.182;0.584	011100	0.143	0.678	1	430.03	49699	2028	0.41		244	1717
-88.451;-60.636	#	#	#	0.334;1.055	#	#	#	#	0.064;6.112	#	0.557;0.841	0.273;0.458	0.069;0.187	0.004;0.013	-0.162;1.015	#	#	#	#	0.544;1.641	#	100001	1.000	1.000	1	244.32	49748	2046	0.41		122	122
-92.605;-68.641	-0.031;0.101	#	0.183;0.340	#	6.250;10.216	#	0.199;0.417	#	#	#	#	#	#	0.004;0.011	-0.615;0.442	#	-0.357;1.423	0.136;0.644	#	-0.065;1.965	#	001110	0.647	0.917	1	315.06	49755	2053	0.45		122	244
#	0.007;0.113	#	#	#	#	#	#	#	#	#	#	0.502;0.733	0.006;0.097	0.019;0.026	#	#	#	#	#	0.332;1.649	#	000001	1.000	1.000	1	184.69	49756	2054	0.23		122	122
#	#	#	#	#	#	0.246;0.527	#	-0.316;0.516	3.133;11.403	-0.198;0.456	#	#	#	0.018;0.024	#	#	1.704;4.066	0.309;0.695	0.132;0.187	#	#	110001	1.000	1.000	1	157.13	49795	2093	0.36		122	122
-72.569;-48.604	0.005;0.088	#	#	0.742;1.324	#	#	0.011;0.282	#	#	-0.062;0.713	#	#	#	#	#	#	#	0.003;0.633	#	-0.215;0.827	0.887;1.551	100001	0.441	0.849	1	442.48	49876	2101	0.36		491	1348
#	#	0.063;0.205	#	#	#	-0.054;0.263	#	#	-0.094;7.809	0.237;0.425	0.374;0.772	-0.144;0.360	0.109;0.162	#	#	#	#	0.154;0.634	#	#	#	001010	0.310	0.791	1	449.72	49839	2137	0.36		244	980
#	#	#	#	#	#	0.212;0.330	-0.001;0.025	-0.088;0.334	#	-0.124;0.222	0.278;0.523	#	-0.020;0.071	0.003;0.009	-0.219;1.757	-0.218;0.368	#	#	0.069;0.113	#	#	100000	0.047	0.859	1	328.74	2181	2181	0.45		0	0
#	#	0.039;0.135	#	#	1.215;8.306	#	-0.036;0.148	#	2.546;6.495	-0.065;0.256	0.205;0.592	#	#	0.005;0.013	0.492;1.572	-0.154;0.365	1.521;3.644	#	0.104;0.150	#	#	010000	1.000	1.000	1	220.12	49893	2191	0.50		122	122
-96.114;-81.565	-0.012;0.067	0.082;0.196	#	#	2.781;11.675	#	#	0.371;0.667	0.230;9.488	-0.004;0.986	0.301;0.617	#	#	#	#	-0.219;1.017	#	0.195;1.166	#	#	#	001110	0.264	0.766	1	570.33	49925	2223	0.45		488	1221
#	-0.005;0.137	0.000;0.086	#	#	-1.391;4.883	#	-0.066;0.176	#	-1.481;5.431	-0.062;0.358	#	#	#	0.004;0.013	-0.384;0.909	#	#	0.018;0.517	#	#	#	100001	0.321	0.797	1	621.45	49988	2269	0.41		4028	11724
-83.309;-54.638	#	#	0.074;0.249	-0.253;0.258	#	#	#	0.327;0.961	8.781;14.952	0.282;0.812	#	#	0.008;0.126	#	#	#	#	#	#	#	0.357;1.595	011000	0.100	1.000	1	354.00	2301	2301	0.36		0	0
#	#	#	0.218;0.325	-0.287;0.366	#	#	0.223;0.456	0.380;1.007	4.298;10.964	#	#	-0.084;0.253	#	#	0.049;0.956	#	#	#	0.066;0.105	#	#	001100	0.647	0.916	1	376.62	49683	2323	0.36		365	487
#	#	#	#	-0.287;0.366	#	#	0.223;0.456	#	4.298;10.964	#	0.441;0.796	#	#	#	0.049;0.956	#	#	#	#	#	#	001100	0.454	0.854	1	364.55	49683	2326	0.23		364	974
#	#	#	0.023;0.213	#	#	-0.044;0.201	-0.028;0.210	#	#	#	0.372;0.612	#	#	#	#	0.196;1.017	-0.317;0.881	0.396;1.166	#	#	#	001110	0.239	0.751	1	501.40	49964	2336	0.32		2682	8411
-96.817;-69.430	#	#	#	#	#	-0.116;0.306	#	#	2.921;6.007	#	#	-0.068;0.157	#	#	0.232;1.061	#	#	#	#	#	#	000110	0.181	0.711	1	569.24	49923	2367	0.23		1219	6945
#	0.128;0.185	-0.033;0.183	#	#	#	#	#	0.165;0.739	#	#	#	#	#	0.004;0.012	0.116;1.524	-0.283;0.873	#	#	#	#	#	001010	0.206	0.729	1	356.15	49970	2416	0.27		365	1948
#	#	-0.037;0.154	0.015;0.083	#	#	0.246;0.527	#	-0.316;0.516	3.133;11.403	-0.198;0.456	#	#	#	0.018;0.024	#	#	1.704;4.066	0.309;0.695	0.132;0.187	#	#	110001	1.000	1.000	1	157.13	49795	2484	0.45		121	121
#	#	#	#	-0.352;0.477	#	#	0.050;0.204	#	#	#	#	0.022;0.353	#	0.003;0.011	#	-0.296;0.893	#	0.114;0.406	#	#	0.504;1.595	011000	0.232	0.747	1	601.91	49878	2535	0.32		969	3274
-79.784;-66.518	#	0.004;0.108	#	#	#	#	#	#	#	#	#	#	#	#	-0.219;1.757	#	1.555;3.506	#	#	#	0.858;1.874	100000	0.342	0.807	1	415.26	49929	2562	0.23		849	3033
#	#	0.039;0.135	#	#	1.215;8.306	#	#	#	#	-0.065;0.256	0.205;0.592	#	#	#	0.492;1.572	#	1.521;3.644	#	0.104;0.150	#	#	010000	0.647	0.917	1	220.45	49893	2582	0.32		121	242
#	#	#	#	#	#	0.167;0.299	#	#	#	-0.009;0.839	#	#	#	#	#	0.116;0.836	#	#	0.079;0.115	#	#	011000	0.085	0.611	1	589.17	49973	2640	0.18		1574	11997
#	0.066;0.138	#	0.181;0.282	-0.564;0.564	#	#	0.144;0.428	0.919;1.444	#	#	#	-0.076;0.227	#	#	#	#	-1.156;1.240	#	0.056;0.089	#	#	000110	1.000	1.000	1	181.28	49957	2646	0.36		121	121
-90.493;-78.083	#	-0.003;0.177	#	-0.631;0.638	#	#	#	#	1.147;6.331	#	0.326;0.462	-0.112;0.212	0.110;0.182	#	-0.571;0.799	-0.159;1.017	#	0.498;1.166	#	#	#	001110	1.000	1.000	1	373.02	49964	2653	0.45		121	121
-112.785;-85.397	0.104;0.234	0.056;0.167	#	#	1.751;9.082	#	-0.016;0.141	-0.081;0.432	#	0.144;0.526	#	#	#	#	#	#	-0.963;1.501	0.351;0.953	#	#	#	001100	0.646	0.916	1	258.13	49616	2696	0.41		120	241
#	#	#	#	-0.652;0.272	#	#	#	#	#	0.678;1.172	#	-0.151;0.252	0.008;0.099	#	#	#	-0.625;1.189	#	#	#	#	001110	0.437	0.847	1	315.58	49891	2829	0.23		603	1447
#	#	#	#	#	6.377;10.343	#	-0.019;0.261	-0.230;0.396	#	#	#	#	#	0.019;0.026	#	#	#	#	#	#	#	000001	0.400	0.833	1	169.94	49756	2836	0.18		120	241
#	#	#	#	#	#	0.163;0.492	-0.019;0.261	#	#	-0.067;0.242	0.389;0.782	0.502;0.733	#	#	-0.151;0.871	#	#	#	0.124;0.177	0.332;1.649	#	000001	1.000	1.000	1	184.69	49756	2836	0.36		120	120
#	-0.009;0.108	#	#	#	#	0.224;0.492	#	#	#	#	0.254;0.483	#	-0.004;0.060	#	#	-0.447;0.808	#	#	#	#	#	000001	0.291	0.781	1	464.25	49905	2879	0.23		723	3855
#	#	#	#	-0.254;0.380	#	#	0.084;0.261	0.120;0.667	#	#	#	#	#	0.005;0.010	#	0.196;1.017	#	0.498;1.166	#	#	#	001110	0.248	0.757	1	526.39	49964	2928	0.27		1206	4695
-96.114;-81.565	#	#	0.023;0.213	-0.277;0.358	#	-0.051;0.144	-0.028;0.210	#	#	#	#	#	#	#	#	-0.219;1.398	-0.792;0.988	0.396;1.166	#	#	-0.207;0.711	001110	0.343	0.807	1	516.18	49954	2938	0.41		963	2287
-113.440;-84.341	0.157;0.313	-0.030;0.205	#	#	4.463;10.232	0.076;0.235	0.007;0.157	-0.160;0.592	#	0.036;0.419	0.136;0.458	-0.084;0.371	0.144;0.228	0.007;0.014	0.278;1.513	#	0.300;1.806	#	0.062;0.101	#	0.766;1.340	000100	1.000	1.000	1	210.40	49928	3008	0.73		120	120
-108.647;-78.083	#	-0.003;0.177	#	-0.631;0.638	#	#	#	#	1.147;6.331	#	0.326;0.462	-0.112;0.212	0.110;0.182	#	-0.571;0.799	-0.159;1.017	#	0.498;1.166	#	#	#	001110	1.000	1.000	1	373.02	49964	3044	0.45		120	120
#	-0.012;0.079	0.069;0.240	#	#	4.589;13.242	#	0.072;0.343	#	2.881;10.164	#	#	-0.118;0.351	#	#	#	#	0.093;2.250	#	#	0.566;1.883	#	001100	0.223	0.741	1	539.45	49967	3047	0.36		1440	10802
#	#	#	#	#	6.845;10.691	#	#	#	-0.635;7.881	#	#	#	0.066;0.119	0.005;0.012	#	#	#	0.250;1.107	0.055;0.100	0.760;2.077	0.742;1.603	001110	1.000	1.000	1	209.28	49977	3057	0.36		120	120
#	#	#	#	#	#	#	0.019;0.314	-0.207;0.636	-1.093;7.728	#	0.232;0.609	0.051;0.559	#	#	#	#	0.805;2.038	-0.000;0.593	#	#	0.277;1.494	110000	0.097	0.627	1	556.06	49976	3113	0.36		1317	13070
#	#	#	#	0.054;0.845	#	#	#	-0.058;0.466	0.064;6.112	-0.188;0.713	0.557;0.841	#	0.069;0.243	#	-0.162;1.015	#	#	#	#	#	0.170;0.762	100001	0.304	0.788	1	589.28	49948	3219	0.36		478	1312
-94.622;-81.356	#	#	#	#	#	#	#	#	#	#	0.389;0.782	0.502;0.733	#	0.019;0.026	#	#	#	#	0.124;0.177	#	#	000001	1.000	1.000	1	184.69	49756	3227	0.23		119	119
#	#	#	#	#	#	#	-0.019;0.261	#	#	-0.067;0.242	#	0.502;0.733	#	0.019;0.026	#	#	#	#	#	0.332;1.649	0.143;0.933	000001	1.000	1.000	1	184.69	49756	3227	0.27		119	119
-75.528;-57.126	#	#	#	0.900;1.482	-0.656;2.589	#	#	#	#	#	#	0.279;0.543	#	0.005;0.015	#	-0.172;0.749	#	#	0.081;0.143	-0.660;1.343	#	100001	0.607	0.905	1	414.50	49988	3318	0.36		359	836
-75.528;-57.126	#	#	0.063;0.233	0.900;1.482	-0.656;2.589	#	#	#	#	#	0.313;0.482	0.279;0.543	0.006;0.064	0.002;0.013	#	#	#	#	0.081;0.143	-0.660;1.343	0.800;1.338	100001	1.000	1.000	1	292.56	49914	3385	0.50		119	119
-96.114;-81.565	-0.012;0.067	0.082;0.196	0.089;0.162	#	#	#	#	0.371;0.667	-2.185;9.488	#	0.301;0.617	#	#	#	#	-0.219;1.017	-0.792;0.988	0.195;0.628	#	#	-0.207;0.711	001110	0.647	0.917	1	567.80	49925	3396	0.50		357	476
-79.293;-52.333	-0.004;0.087	-0.022;0.111	#	0.940;2.050	#	0.216;0.366	#	-0.088;0.334	#	-0.364;0.462	#	#	#	#	#	#	#	#	#	#	#	100000	0.499	0.870	1	464.02	49929	3400	0.32		833	2143
-75.528;-57.126	#	#	#	#	#	0.303;0.503	#	-0.233;0.337	#	#	0.313;0.482	0.030;0.543	0.006;0.064	#	#	-0.172;0.830	2.019;3.217	#	0.081;0.143	#	0.800;1.551	100001	0.615	0.907	1	452.79	49988	3459	0.45		595	1071
-75.528;-57.126	#	#	#	0.900;1.482	-1.391;5.659	0.330;0.476	-0.029;0.132	#	#	#	#	#	#	#	#	-0.259;0.749	#	#	#	-0.442;1.259	#	100001	0.808	0.958	1	407.64	49988	3459	0.32		357	476
-92.754;-69.218	#	#	#	-0.538;0.573	#	-0.109;0.200	#	#	#	#	0.218;0.754	#	#	#	-0.167;0.546	#	#	#	#	#	#	011100	0.123	0.658	1	470.92	49761	3477	0.23		356	10945
#	-0.009;0.108	#	#	0.237;0.995	#	0.224;0.492	#	#	#	-0.142;0.278	#	0.171;0.616	#	#	#	-0.129;0.474	#	#	#	1.137;2.564	#	000001	0.646	0.916	1	379.45	49621	3483	0.32		118	237
#	#	#	#	-0.287;0.366	4.589;9.470	#	0.223;0.456	0.380;1.007	#	#	0.397;0.681	#	#	0.003;0.014	#	#	-0.442;2.250	0.226;0.508	#	#	#	001100	0.347	0.809	1	410.15	49637	3496	0.36		237	832
#	0.026;0.207	0.071;0.201	#	#	3.518;5.023	0.067;0.407	-0.013;0.256	0.042;0.767	3.250;5.301	-0.090;0.650	#	-0.062;0.308	0.048;0.121	0.003;0.009	#	-0.220;0.957	#	0.117;0.691	#	0.147;1.427	0.267;0.931	001000	0.439	0.848	1	637.40	49999	3500	0.68		475	1307
-95.587;-73.762	#	#	0.218;0.325	#	4.589;9.470	#	#	0.380;1.007	#	#	#	#	#	0.003;0.014	#	#	-0.442;2.250	#	#	#	#	001100	0.537	0.883	1	302.64	49685	3547	0.27		591	1185
-75.528;-57.126	#	#	#	#	-0.230;5.659	#	-0.029;0.132	-0.233;0.337	#	#	0.313;0.482	0.279;0.543	0.006;0.064	#	#	-0.259;0.830	#	#	0.081;0.143	#	0.856;2.059	100001	0.449	0.852	1	436.73	49988	3572	0.45		951	2138
