att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-1.358;-0.311	-1.140;-0.580	000000000100000	0.048	0.544	6	192.47	399971	325575	1.00		852	3730
-1.031;-0.364	-0.585;1.076	110000000000000	0.017	0.445	6	221.92	399965	333788	1.00		1136	11829
0.398;0.988	0.100;1.135	000000000010000	0.068	0.585	6	164.02	399978	336217	1.00		367	3559
-0.454;0.599	-0.500;0.711	000001011011000	0.189	0.717	1	247.05	399870	342141	1.00		993	32861
-0.194;1.139	#	000001011010000	0.098	0.629	3	213.55	399939	347052	0.50		379	35456
-1.022;0.235	-0.998;0.095	001101001101000	0.046	0.539	4	238.90	399818	360895	1.00		335	19302
-0.342;0.515	#	000001011011101	0.166	0.698	1	228.32	399986	364112	0.50		1849	23816
-0.504;0.010	#	101001011011100	0.164	0.696	4	249.90	399903	367443	0.50		235	12662
#	-1.009;0.217	101001011011101	0.104	0.635	1	225.63	399928	368955	0.50		177	23678
-0.015;0.758	-0.877;1.280	000001011010101	0.153	0.687	4	219.91	399904	370546	1.00		421	13359
#	0.283;2.544	000000000010010	0.037	0.518	3	184.80	399953	371294	0.50		533	6119
-0.845;-0.293	#	110101001001000	0.066	0.580	2	218.09	399876	373053	0.50		309	6554
#	0.257;4.669	000010000010000	0.016	0.440	2	189.09	399983	374498	0.50		659	5646
-1.040;-0.354	-0.452;0.085	110100000000000	0.046	0.540	2	228.57	399990	375054	1.00		108	3027
-0.358;0.077	-0.895;0.082	001001011011101	0.298	0.785	1	261.65	399830	375884	1.00		69	5831
-0.371;1.000	-1.858;-0.248	000001001001101	0.208	0.730	2	229.34	399981	376581	1.00		1078	7505
#	-0.206;0.587	110001001001000	0.036	0.516	1	224.63	399951	378339	0.50		526	9823
-1.055;-0.556	-1.025;1.355	100000000000000	0.016	0.438	1	200.02	399996	378453	1.00		431	2373
-0.236;1.230	#	000001001000101	0.034	0.507	3	213.61	399987	378810	0.50		152	14880
-0.924;-0.086	-1.090;0.271	000101001101000	0.051	0.552	5	233.30	399785	378815	1.00		151	7433
-0.884;-0.086	-1.039;0.991	110101001011000	0.057	0.563	4	226.81	399964	378876	1.00		121	8730
-1.531;-0.302	-1.269;-0.018	000100001100000	0.039	0.524	2	223.59	399955	380670	1.00		166	3481
-0.751;0.638	#	001001001000100	0.019	0.450	4	224.51	399749	381524	0.50		105	16681
-0.515;0.235	0.127;0.714	100001010010010	0.328	0.800	1	231.28	399947	381578	1.00		919	2814
-0.342;0.714	-0.350;0.164	000001011011101	0.475	0.862	1	251.72	399986	381812	1.00		546	4760
-0.845;0.121	#	110001001001000	0.050	0.548	1	233.53	399951	382831	0.50		418	10412
0.606;1.050	-1.375;-0.067	000001001000100	0.027	0.485	1	182.25	382974	382974	1.00		0	732
-0.067;0.485	0.068;0.835	000001110010000	0.101	0.633	5	218.23	399887	382987	1.00		122	2893
0.655;3.109	-0.799;0.701	000001000010000	0.523	0.878	2	177.86	399962	383491	1.00		540	921
-0.458;0.532	#	100001011011101	0.154	0.688	1	230.27	399982	383584	0.50		702	12123
-0.705;0.495	0.208;0.962	100001010010010	0.128	0.663	1	202.23	399947	384275	1.00		784	3367
-1.083;-0.341	-0.789;-0.256	000100000100000	0.061	0.572	1	214.65	399997	384708	1.00		87	1706
#	0.127;0.632	100001010010010	0.187	0.715	2	220.14	399947	384938	0.50		752	3441
-0.784;0.763	#	001101011001100	0.034	0.508	2	224.07	399937	385258	0.50		21	13811
-0.458;0.532	-0.621;0.203	100001011011101	0.407	0.835	2	252.10	399982	385361	1.00		628	6281
#	-1.892;0.101	001001001101000	0.034	0.508	3	225.57	399927	385489	0.50		125	10049
-0.247;0.515	#	000001011011101	0.177	0.707	1	227.14	399986	385533	0.50		747	8785
