att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	-1.601;-0.407	001	1.000	1.000	4	55.54	399984	114502	0.50		6545	6545
-0.561;0.087	#	101	0.755	0.945	9	62.58	399981	214681	0.50		64250	67967
0.506;0.753	#	110	0.266	0.767	3	59.33	399999	220886	0.50		16935	22066
#	-2.292;-0.407	001	1.000	1.000	2	55.54	399984	233128	0.50		3826	3826
0.506;0.718	#	110	0.237	0.750	1	62.07	399991	234421	0.50		12805	17072
-0.561;0.087	-0.402;0.954	101	1.000	1.000	2	67.83	399981	244695	1.00		53844	53844
-4.238;-0.555	#	001	1.000	1.000	3	60.19	399996	259219	0.50		12912	12912
#	-0.402;0.124	101	0.341	0.806	4	65.11	399997	268336	0.50		28293	35086
#	-0.402;0.102	101	0.328	0.800	1	65.00	399997	282680	0.50		24203	30255
0.742;2.502	0.015;0.419	010	1.000	1.000	1	46.05	399894	282906	1.00		671	671
0.506;0.753	0.139;0.951	110	1.000	1.000	3	61.13	399999	285413	1.00		10833	10833
0.506;0.732	0.139;0.951	110	1.000	1.000	2	64.63	399991	304857	1.00		8173	8173
-4.447;-0.555	#	001	1.000	1.000	1	60.19	399996	308565	0.50		8383	8383
0.089;0.500	0.138;0.909	111	1.000	1.000	3	74.65	399982	309962	1.00		24251	24251
-0.561;0.557	-0.402;0.124	101	1.000	1.000	3	66.14	399997	310442	1.00		19244	19244
0.742;2.936	0.493;2.732	010	1.000	1.000	4	69.97	399998	310654	1.00		2560	2560
0.506;0.739	0.139;0.872	110	1.000	1.000	1	63.36	399991	318674	1.00		6757	6757
-0.561;0.087	-0.402;0.825	101	1.000	1.000	2	68.43	399981	320059	1.00		25882	25882
0.104;0.500	0.142;0.928	111	1.000	1.000	2	75.23	399982	322972	1.00		19202	19202
0.742;3.648	#	010	0.669	0.923	1	65.54	399998	328453	0.50		2460	2666
0.852;2.401	#	010	1.000	1.000	1	70.52	399998	332819	0.50		770	770
0.089;0.500	0.142;0.909	111	1.000	1.000	3	74.65	399982	332896	1.00		17876	17876
0.542;3.511	-0.779;0.157	100	1.000	1.000	4	54.57	399942	333350	1.00		1718	1718
#	0.935;1.255	011	0.132	0.667	1	39.23	399994	336127	0.50		732	1098
0.506;0.739	0.139;0.927	110	1.000	1.000	2	63.24	399991	337088	1.00		5585	5585
-0.561;0.087	-0.402;0.890	101	1.000	1.000	2	67.84	399981	338627	1.00		20754	20754
-0.561;0.057	-0.402;0.825	101	1.000	1.000	3	68.71	399981	340160	1.00		18353	18353
-0.561;0.087	-0.402;0.957	101	1.000	1.000	1	67.83	399981	341374	1.00		20326	20326
0.089;0.500	0.125;0.909	111	1.000	1.000	1	74.65	399982	342586	1.00		15461	15461
-4.679;-0.555	#	001	1.000	1.000	1	60.19	399996	343396	0.50		5192	5192
-0.385;0.547	-1.840;-0.407	001	1.000	1.000	1	52.06	399984	344842	1.00		791	791
0.506;0.718	-0.073;0.904	110	0.501	0.871	1	63.75	399991	346594	1.00		4131	4743
0.442;2.877	-0.515;0.157	100	0.237	0.750	1	53.37	399942	346852	1.00		1369	1826
-4.382;-0.555	#	001	1.000	1.000	1	60.19	399996	348002	0.50		4767	4767
