att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	-0.446;0.552	111	0.897	0.979	4	138.14	199983	10450	0.50		129263	135237
#	-0.576;-0.500	110	0.886	0.976	8	142.76	199965	43809	0.50		5819	6267
#	-3.333;-0.608	100	1.000	1.000	3	147.01	199985	51815	0.50		13157	13157
#	-3.480;-0.608	100	1.000	1.000	1	147.01	199985	66061	0.50		11891	11891
0.503;1.258	#	101	0.205	0.728	6	130.51	199825	81047	0.50		1704	9199
#	0.628;1.784	001	1.000	1.000	1	122.54	199992	89964	0.50		6619	6619
#	-0.625;-0.462	110	0.628	0.911	5	128.41	199965	98137	0.50		6421	8756
#	-0.459;0.552	111	0.899	0.979	1	138.14	199983	107058	0.50		64450	67377
#	0.534;0.693	011	0.372	0.821	1	113.55	199991	110792	0.50		3066	6643
#	-3.363;-0.608	100	1.000	1.000	3	147.01	199985	116599	0.50		7405	7405
-0.707;0.535	-0.446;0.552	111	1.000	1.000	2	139.04	199983	121004	1.00		53201	53201
-0.466;0.617	-0.625;-0.500	110	0.828	0.963	3	147.87	199965	121481	1.00		3599	4049
#	-0.625;-0.500	110	0.659	0.920	2	133.60	199965	123703	0.50		4152	5465
#	0.628;3.530	001	1.000	1.000	4	122.54	199992	129746	0.50		4227	4227
#	-3.136;-0.608	100	1.000	1.000	2	147.01	199985	132681	0.50		5974	5974
#	0.592;0.693	011	0.524	0.879	7	121.80	199991	133550	0.50		1331	2093
-0.645;0.580	-0.625;-0.462	110	0.718	0.936	2	137.09	199965	140388	1.00		3586	4440
-0.476;0.714	0.592;0.683	011	0.681	0.926	2	120.69	199991	142244	1.00		1157	1487
#	-2.755;-0.608	100	1.000	1.000	5	147.01	199985	142313	0.50		5123	5123
-0.707;0.543	-0.400;0.552	111	1.000	1.000	1	138.50	199983	143014	1.00		37075	37075
-0.707;0.543	#	111	0.485	0.865	5	136.38	199983	143216	0.50		40197	53857
-0.545;0.543	#	111	0.475	0.862	1	137.91	199983	148102	0.50		31831	43274
0.503;1.177	#	101	0.205	0.728	1	130.51	199825	149569	0.50		720	3899
-0.707;0.535	-0.400;0.552	111	1.000	1.000	1	138.50	199983	152195	1.00		30683	30683
-0.759;0.856	0.628;3.530	001	1.000	1.000	1	122.54	199992	152480	1.00		2859	2859
0.503;1.258	-0.611;0.572	101	0.226	0.742	3	129.31	199825	153639	1.00		664	2920
0.503;0.696	#	101	0.205	0.728	2	130.51	199825	154346	0.50		653	3528
-0.495;0.543	#	111	0.487	0.866	3	139.07	199962	154751	0.50		26067	35136
-0.433;0.952	0.116;0.693	011	0.165	0.697	1	137.11	199991	154970	1.00		1419	12646
-0.505;0.577	#	110	0.104	0.636	1	138.48	199965	157027	0.50		2340	34231
-0.915;0.346	-3.117;-0.608	100	1.000	1.000	1	147.18	199985	157669	1.00		2790	2790
#	-4.918;-0.608	100	1.000	1.000	7	147.01	199985	157724	0.50		3756	3756
-0.645;0.580	#	110	0.105	0.637	2	137.33	199965	157871	0.50		2535	38389
