Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	4424	5000	0.716	0.7046	0.2205	0.000	0.000	0.000	3.91
10000	4533	5000	0.5518	0.7478	0.2480	0.000	0.000	0.000	9.48
15000	4593	5000	0.5497	0.7564	0.2681	0.000	0.000	0.000	14.82
20000	4663	5000	0.5488	0.7746	0.2865	0.000	0.000	0.000	19.99
25000	4687	5000	0.5475	0.7734	0.3023	0.000	0.000	0.000	24.70
30000	4708	5000	0.5457	0.7736	0.3142	0.000	0.000	0.000	29.43
35000	4731	5000	0.5441	0.774	0.3245	0.000	0.000	0.000	33.78
40000	4739	5000	0.5425	0.7758	0.3345	0.000	0.000	0.000	38.20
45000	4750	5000	0.5415	0.7782	0.3381	0.000	0.000	0.000	42.54
50000	4736	5000	0.5403	0.7764	0.3457	0.000	0.000	0.000	46.85
