Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	5098	6000	0.7093	0.5672	0.2768	0.000	0.000	0.0001.77
10000	5355	6000	0.5375	0.5492	0.3358	0.000	0.000	0.0006.59
15000	5491	6000	0.5185	0.5426	0.3824	0.000	0.000	0.00011.16
20000	5591	6000	0.5088	0.5358	0.4129	0.000	0.000	0.00015.69
25000	5607	6000	0.4995	0.5252	0.4331	0.000	0.000	0.00020.13
30000	5679	6000	0.4922	0.519	0.4539	0.000	0.000	0.00024.54
35000	5694	6000	0.4885	0.5166	0.4701	0.000	0.000	0.00028.86
40000	5644	6000	0.4869	0.5244	0.4765	0.000	0.000	0.00033.07
45000	5689	6000	0.4831	0.5254	0.4958	0.000	0.000	0.00037.38
50000	5708	6000	0.4811	0.5306	0.5051	0.000	0.000	0.00040.92
