Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
90000	364	500	0.017	0.95	0.07	5.37	2.073	0.877	0.014
91000	355	500	0.014	0.958	0.07	5.43	2.079	0.879	0.009
92000	364	500	0.013	0.96	0.07	5.48	2.075	0.885	0.004
93000	363	500	0.014	0.958	0.07	5.54	2.079	0.879	0.005
94000	367	500	0.014	0.958	0.08	5.60	2.077	0.881	0.000
95000	356	500	0.013	0.96	0.07	5.65	2.078	0.882	0.010
96000	363	500	0.014	0.959	0.07	5.71	2.086	0.873	0.000
97000	360	500	0.016	0.951	0.07	5.77	2.08	0.871	0.022
98000	361	500	0.016	0.953	0.07	5.82	2.08	0.873	0.004
99000	363	500	0.016	0.953	0.08	5.87	2.073	0.88	0.006
100000	363	500	0.016	0.951	0.07	5.93	2.078	0.873	0.010
101000	362	500	0.017	0.948	0.08	5.98	2.076	0.872	0.004
102000	369	500	0.017	0.95	0.08	6.03	2.067	0.883	0.004
103000	371	500	0.016	0.951	0.07	6.09	2.078	0.873	0.004
104000	368	500	0.018	0.945	0.07	6.15	2.066	0.879	0.011
105000	363	500	0.016	0.951	0.07	6.20	2.077	0.874	0.004
106000	363	500	0.014	0.957	0.07	6.26	2.077	0.88	0.009
107000	350	500	0.015	0.954	0.07	6.31	2.072	0.882	0.013
108000	355	500	0.022	0.935	0.07	6.37	2.056	0.879	0.004
109000	360	500	0.02	0.939	0.07	6.43	2.056	0.883	0.003
110000	359	500	0.017	0.949	0.07	6.49	2.07	0.879	0.005
111000	366	500	0.013	0.961	0.07	6.55	2.083	0.878	0.000
112000	371	500	0.019	0.942	0.07	6.60	2.065	0.877	0.008
113000	358	500	0.016	0.953	0.07	6.64	2.074	0.879	0.000
114000	364	500	0.016	0.953	0.07	6.69	2.069	0.884	0.006
115000	363	500	0.016	0.951	0.07	6.74	2.072	0.879	0.000
116000	364	500	0.014	0.958	0.07	6.79	2.078	0.88	0.000
117000	365	500	0.014	0.958	0.08	6.85	2.074	0.884	0.000
118000	363	500	0.013	0.96	0.08	6.91	2.086	0.874	0.000
119000	362	500	0.015	0.954	0.09	6.96	2.078	0.876	0.000
120000	358	500	0.015	0.955	0.08	7.01	2.081	0.874	0.000
121000	363	500	0.013	0.962	0.08	7.07	2.078	0.884	0.004
122000	359	500	0.015	0.955	0.08	7.12	2.082	0.873	0.004
123000	361	500	0.015	0.955	0.07	7.17	2.082	0.872	0.000
124000	358	500	0.017	0.948	0.07	7.22	2.069	0.879	0.000
125000	355	500	0.016	0.953	0.07	7.27	2.076	0.877	0.000
126000	356	500	0.016	0.953	0.07	7.32	2.079	0.874	0.000
127000	345	500	0.017	0.95	0.07	7.37	2.074	0.876	0.000
128000	349	500	0.016	0.951	0.07	7.42	2.072	0.879	0.000
129000	353	500	0.015	0.954	0.07	7.46	2.069	0.885	0.021
130000	362	500	0.017	0.95	0.07	7.52	2.076	0.874	0.000
131000	368	500	0.013	0.96	0.07	7.57	2.079	0.881	0.004
132000	364	500	0.016	0.951	0.06	7.62	2.069	0.882	0.004
133000	360	500	0.014	0.958	0.06	7.67	2.084	0.874	0.000
134000	354	500	0.016	0.953	0.06	7.71	2.078	0.875	0.000
135000	360	500	0.014	0.959	0.07	7.76	2.087	0.87	0.014
136000	358	500	0.015	0.956	0.07	7.80	2.071	0.885	0.006
137000	363	500	0.015	0.954	0.07	7.85	2.075	0.879	0.008
138000	362	500	0.015	0.954	0.07	7.91	2.075	0.879	0.007
139000	369	500	0.014	0.959	0.07	7.97	2.07	0.889	0.006
140000	368	500	0.013	0.96	0.07	8.02	2.082	0.878	0.005
141000	372	500	0.013	0.963	0.07	8.07	2.088	0.874	0.000
142000	374	500	0.014	0.96	0.07	8.13	2.086	0.871	0.003
143000	377	500	0.013	0.965	0.07	8.18	2.087	0.874	0.001
144000	373	500	0.014	0.961	0.07	8.23	2.08	0.878	0.000
