Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
1000	48	75	0.2	0.495	0.18	0.01	1.755	0.646	0.276
2000	106	165	0.197	0.509	0.16	0.04	1.808	0.601	0.276
3000	155	258	0.175	0.554	0.14	0.08	1.874	0.6	0.275
4000	209	349	0.136	0.632	0.13	0.14	1.955	0.638	0.275
5000	243	416	0.136	0.633	0.13	0.21	1.973	0.62	0.275
6000	295	500	0.131	0.643	0.13	0.30	1.984	0.623	0.275
7000	305	500	0.128	0.65	0.12	0.39	2.002	0.613	0.275
8000	310	500	0.129	0.648	0.12	0.48	1.999	0.613	0.275
9000	316	500	0.126	0.655	0.12	0.58	2.005	0.617	0.275
10000	338	500	0.121	0.664	0.12	0.67	2.003	0.634	0.275
11000	338	500	0.113	0.682	0.13	0.77	2.013	0.648	0.225
12000	334	500	0.097	0.724	0.12	0.86	2.036	0.674	0.000
13000	328	500	0.087	0.742	0.12	0.96	2.026	0.713	0.005
14000	328	500	0.069	0.797	0.12	1.05	2.06	0.734	0.013
15000	330	500	0.063	0.814	0.11	1.14	2.05	0.761	0.000
16000	331	500	0.059	0.824	0.09	1.23	2.061	0.763	0.008
17000	327	500	0.058	0.825	0.09	1.31	2.054	0.771	0.002
18000	320	500	0.054	0.838	0.08	1.38	2.07	0.768	0.008
19000	314	500	0.051	0.847	0.07	1.45	2.075	0.772	0.000
20000	317	500	0.049	0.852	0.07	1.53	2.07	0.782	0.004
21000	316	500	0.048	0.856	0.07	1.59	2.076	0.78	0.009
22000	321	500	0.051	0.846	0.07	1.66	2.071	0.775	0.000
23000	326	500	0.049	0.853	0.06	1.73	2.066	0.786	0.022
24000	331	500	0.047	0.86	0.07	1.80	2.073	0.787	0.004
25000	339	500	0.046	0.863	0.07	1.87	2.065	0.798	0.000
26000	333	500	0.047	0.86	0.07	1.93	2.071	0.789	0.026
27000	337	500	0.045	0.866	0.07	2.00	2.073	0.793	0.000
28000	341	500	0.043	0.87	0.06	2.06	2.078	0.792	0.004
29000	339	500	0.041	0.876	0.06	2.13	2.088	0.788	0.013
30000	339	500	0.037	0.89	0.06	2.19	2.081	0.809	0.004
31000	347	500	0.037	0.889	0.06	2.26	2.084	0.805	0.015
32000	346	500	0.037	0.889	0.06	2.32	2.073	0.816	0.012
33000	347	500	0.035	0.894	0.06	2.39	2.083	0.811	0.012
34000	354	500	0.034	0.9	0.06	2.45	2.076	0.822	0.019
35000	351	500	0.031	0.91	0.06	2.52	2.078	0.829	0.008
36000	348	500	0.031	0.911	0.07	2.58	2.082	0.826	0.017
37000	342	500	0.032	0.906	0.06	2.64	2.08	0.825	0.005
38000	343	500	0.03	0.91	0.06	2.70	2.083	0.827	0.014
39000	353	500	0.031	0.908	0.06	2.76	2.082	0.826	0.010
40000	348	500	0.03	0.909	0.06	2.83	2.076	0.833	0.000
41000	347	500	0.03	0.909	0.06	2.89	2.079	0.83	0.004
42000	355	500	0.029	0.914	0.06	2.96	2.08	0.834	0.009
43000	351	500	0.028	0.917	0.06	3.02	2.077	0.839	0.000
44000	350	500	0.028	0.915	0.07	3.08	2.087	0.828	0.004
45000	351	500	0.03	0.909	0.06	3.14	2.081	0.828	0.000
46000	352	500	0.028	0.915	0.07	3.20	2.083	0.832	0.013
47000	359	500	0.028	0.917	0.07	3.26	2.073	0.844	0.014
48000	358	500	0.027	0.92	0.07	3.32	2.083	0.837	0.021
49000	356	500	0.025	0.925	0.07	3.38	2.082	0.843	0.010
50000	358	500	0.025	0.925	0.07	3.44	2.078	0.847	0.000
51000	364	500	0.027	0.919	0.07	3.49	2.083	0.836	0.028
52000	373	500	0.026	0.921	0.07	3.55	2.086	0.835	0.011
53000	372	500	0.025	0.924	0.08	3.61	2.087	0.837	0.000
54000	366	500	0.026	0.922	0.07	3.68	2.082	0.84	0.008
55000	368	500	0.027	0.92	0.07	3.74	2.082	0.838	0.004
