att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.218;0.429	-0.889;0.338	100001011011101	0.000	0.113	6	257.55	3980	0	1.00		174	1542
-0.264;0.936	-0.535;0.270	000001011011101	0.000	0.127	8	256.65	3959	4	1.00		204	1612
-0.776;0.310	-0.152;0.423	100001011011100	0.001	0.261	3	265.63	3988	5	1.00		258	987
-1.316;0.113	-0.831;-0.352	000100001100000	0.000	0.041	6	186.34	3909	6	1.00		36	868
-0.869;0.083	-0.670;0.250	110101001001000	0.000	0.028	2	207.32	3981	14	1.00		45	1622
-0.723;0.668	-0.129;0.906	100001010010010	0.000	0.115	7	232.64	3983	15	1.00		199	1736
-0.357;0.957	0.134;0.747	000001110010000	0.000	0.029	3	223.68	3670	16	1.00		28	959
0.034;0.758	#	000001011011100	0.000	0.089	9	237.17	3972	17	0.50		145	1624
-0.167;0.710	#	000001010010000	0.000	0.042	5	234.77	3962	21	0.50		100	2381
#	-0.096;1.130	000001100010000	0.000	0.061	8	232.64	3969	22	0.50		110	1815
-0.741;0.363	#	000000000010010	0.000	0.024	1	212.98	3961	24	0.50		74	3060
#	-0.152;0.423	100001011011100	0.000	0.189	3	263.09	3988	32	0.50		253	1338
-0.687;0.310	-0.152;0.423	100001011011100	0.001	0.272	1	266.99	3988	32	1.00		253	929
0.411;1.097	-1.426;-0.372	000001000000000	0.002	0.276	5	178.83	3933	34	1.00		62	225
#	-1.273;-0.506	000001001000000	0.000	0.053	3	175.18	3858	37	0.50		44	830
#	-1.385;0.014	000001001001101	0.000	0.070	9	207.17	3960	38	0.50		177	2523
0.023;0.519	#	000001001000100	0.000	0.034	6	243.50	3970	39	0.50		47	1394
-0.685;0.401	-0.623;-0.124	101001011011100	0.000	0.024	2	225.11	3963	40	1.00		28	1164
#	-0.401;0.787	000001011011000	0.000	0.024	2	215.50	3921	42	0.50		67	2755
-0.335;0.313	-1.058;-0.215	001001001001101	0.000	0.116	5	233.64	3975	43	1.00		108	928
