Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	5045	6000	0.7397	0.6116	0.2258	0.000	0.000	0.0001.64
10000	4997	6000	0.5915	0.6152	0.2179	0.000	0.000	0.0005.72
15000	5183	6000	0.5715	0.6144	0.2615	0.000	0.000	0.0009.51
20000	5323	6000	0.5492	0.582	0.3050	0.000	0.000	0.00013.50
25000	5452	6000	0.5341	0.5644	0.3435	0.000	0.000	0.00017.47
30000	5543	6000	0.523	0.5488	0.3715	0.000	0.000	0.00021.45
35000	5574	6000	0.513	0.5314	0.3937	0.000	0.000	0.00025.28
40000	5636	6000	0.5061	0.5252	0.4171	0.000	0.000	0.00029.20
45000	5676	6000	0.5026	0.5208	0.4349	0.000	0.000	0.00033.20
50000	5658	6000	0.4983	0.5236	0.4427	0.000	0.000	0.00037.15
