att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-1.001;-0.182	-0.051;1.398	100000000000000	0.019	0.454	3	193.26	399996	213158	1.00		3205	21644
#	0.721;1.219	000010000000000	0.067	0.583	4	141.72	399967	253876	0.50		836	5019
-1.375;-0.099	-0.194;0.395	110000000000000	0.018	0.450	6	213.56	399965	254573	1.00		2289	22053
-0.845;-0.350	-0.618;0.072	100100001100000	0.085	0.610	1	196.78	399629	329434	1.00		404	9892
-0.894;-0.418	-1.110;-0.075	000100000100000	0.036	0.513	1	177.52	399997	336054	1.00		367	7685
0.010;0.981	-0.435;0.887	000001011010000	0.162	0.695	2	177.64	399939	345814	1.00		387	19923
#	0.236;1.079	100000000010010	0.057	0.564	1	171.24	399949	353116	0.50		269	10599
-0.751;-0.061	#	001001001001100	0.026	0.481	5	205.06	399882	353277	0.50		468	19584
-1.029;0.171	-1.910;0.926	100101001101000	0.045	0.538	1	206.49	399929	357457	1.00		486	27570
0.659;1.341	0.320;0.915	000000000010000	0.313	0.792	2	130.74	399978	358298	1.00		180	477
#	-1.297;-0.386	001001001101000	0.074	0.595	4	191.23	399927	364519	0.50		305	11163
-0.947;-0.071	-0.817;-0.088	000101001101000	0.072	0.591	2	211.81	399785	367360	1.00		231	8313
#	-1.318;-0.379	000001001001101	0.102	0.634	1	191.24	399992	371333	0.50		1313	9146
-1.690;-0.421	-0.567;0.200	110100000000000	0.041	0.527	3	182.62	399990	372729	1.00		117	3316
#	0.018;0.706	000001110010000	0.062	0.574	4	188.35	399887	373201	0.50		192	8504
0.414;1.900	#	000001000000000	0.028	0.490	1	157.84	399994	374352	0.50		479	4332
-1.036;-0.274	-0.956;-0.370	000000000100000	0.021	0.460	7	186.76	399971	375003	1.00		428	2608
-0.807;-0.331	-0.682;0.257	110101001001000	0.117	0.652	1	196.45	399876	376588	1.00		268	3921
#	-0.464;0.500	000001011010100	0.104	0.636	4	200.68	399902	376648	0.50		432	15169
-1.187;0.185	0.191;0.689	100001000000000	0.067	0.583	4	200.97	399452	377040	1.00		97	2890
#	-1.131;-0.019	001101001101000	0.034	0.508	2	200.10	399818	377270	0.50		194	13763
-0.425;0.889	0.270;1.036	000010100010000	0.020	0.457	2	171.30	399510	377673	1.00		96	4407
-0.856;0.039	#	001101001101000	0.022	0.468	2	205.90	399818	378370	0.50		185	11786
0.696;4.355	#	000001000010000	0.532	0.881	1	145.70	399962	379073	0.50		597	927
-1.041;-0.241	-0.820;0.100	100100000100000	0.018	0.448	2	200.71	399969	380322	1.00		228	4620
-0.845;-0.350	#	100100001100000	0.049	0.547	1	189.39	399629	380587	0.50		109	4106
-0.858;-0.363	-0.905;-0.330	000000001100000	0.085	0.611	3	186.62	399793	380920	1.00		83	1695
#	-0.398;0.331	110001001001000	0.059	0.569	1	204.02	399951	381433	0.50		452	9378
0.364;1.765	#	000001000000000	0.021	0.461	3	160.29	399994	382290	0.50		330	3477
-1.206;-0.653	#	100000000000000	0.028	0.488	2	159.52	399720	383643	0.50		208	1121
0.487;2.136	-0.739;0.145	000001010010100	0.252	0.759	3	165.71	399979	383715	1.00		349	1518
