att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-1.051;-1.027	-0.494;-0.078	10	0.100	1.000	1	1.80	66	66	1.00		0	0
-1.051;-0.895	-0.494;-0.078	10	0.100	1.000	1	2.25	100	100	1.00		0	0
-0.137;0.274	#	11	0.835	0.965	6	59.30	199999	43593	0.50		48854	50646
-0.137;0.274	-0.262;0.765	11	1.000	1.000	1	61.34	199999	115381	1.00		25222	25222
0.301;4.198	#	01	1.000	1.000	1	56.20	199977	145466	0.50		15469	15469
-0.200;0.344	-0.254;0.823	11	0.527	0.880	1	58.76	199999	147435	1.00		17622	20033
-3.910;-0.130	#	10	1.000	1.000	5	47.76	199985	148887	0.50		18149	18149
0.301;5.157	#	01	1.000	1.000	1	56.20	199977	162833	0.50		10547	10547
-0.137;0.274	-0.277;0.788	11	1.000	1.000	1	61.33	199999	163489	1.00		11088	11088
0.300;3.828	0.152;0.706	01	1.000	1.000	1	55.83	199977	165858	1.00		5282	5282
0.274;0.297	-0.208;0.519	11	1.000	1.000	1	33.62	199691	173195	1.00		612	612
0.301;3.811	-0.247;0.607	01	1.000	1.000	1	56.58	199977	173914	1.00		6053	6053
-4.047;-0.130	-2.546;1.114	10	1.000	1.000	2	47.76	199985	174742	1.00		8963	8963
-0.137;0.274	-0.262;0.711	11	1.000	1.000	2	62.69	199999	175314	1.00		6931	6931
-0.137;0.297	#	11	0.816	0.960	3	58.80	199999	177687	0.50		7674	7992
-3.910;-0.130	0.410;1.034	10	1.000	1.000	1	50.72	199926	178567	1.00		2819	2819
-4.445;-0.130	#	10	1.000	1.000	7	47.76	199985	179024	0.50		7450	7450
-0.336;0.371	-0.254;0.823	11	0.191	0.718	1	58.41	199999	179229	1.00		6965	9701
-0.137;0.274	-0.231;0.687	11	1.000	1.000	1	64.31	199999	180019	1.00		5215	5215
0.301;4.188	-0.588;0.163	01	1.000	1.000	2	55.31	199928	180035	1.00		2233	2233
-4.445;-0.130	-1.556;1.237	10	1.000	1.000	1	47.76	199985	180757	1.00		6836	6836
-0.032;0.274	0.084;0.661	11	1.000	1.000	1	64.78	199999	180775	1.00		2590	2590
0.318;3.828	0.196;0.854	01	1.000	1.000	1	55.45	199950	180895	1.00		3120	3120
0.301;5.157	-0.737;0.469	01	1.000	1.000	1	56.02	199977	181360	1.00		3528	3528
0.318;5.623	0.242;0.808	01	1.000	1.000	1	55.06	199950	181521	1.00		2699	2699
-0.137;0.297	-0.273;0.316	11	1.000	1.000	2	63.12	199999	182301	1.00		3346	3346
-0.137;0.274	-0.231;0.711	11	1.000	1.000	1	63.39	199999	183351	1.00		4486	4486
-4.445;-0.130	-1.556;0.955	10	1.000	1.000	1	47.76	199985	183461	1.00		5865	5865
0.318;0.864	#	01	1.000	1.000	1	56.37	199977	183811	0.50		4085	4085
-0.024;0.274	#	11	0.841	0.966	1	57.44	199999	183908	0.50		3920	4058
-0.137;0.274	0.128;0.774	11	1.000	1.000	1	61.57	199999	184360	1.00		3094	3094
0.301;2.940	-0.410;0.469	01	1.000	1.000	1	56.02	199977	184611	1.00		2910	2910
0.075;0.297	-0.208;0.519	11	1.000	1.000	2	64.30	199913	184667	1.00		2064	2064
-0.505;-0.016	-1.556;0.858	10	0.184	0.713	1	54.03	199985	184763	1.00		2707	3799
-0.137;0.274	-0.273;0.519	11	1.000	1.000	2	64.66	199999	185344	1.00		3275	3275
-4.047;-0.130	0.364;0.698	10	1.000	1.000	1	51.59	199926	185558	1.00		1239	1239
-4.479;0.042	#	10	0.303	0.787	3	54.03	199985	185691	0.50		5165	6559
0.345;1.487	#	01	1.000	1.000	1	56.01	199977	186705	0.50		3579	3579
0.301;4.335	-0.560;0.588	01	1.000	1.000	1	56.57	199977	187301	1.00		2952	2952
0.301;3.550	-0.526;0.446	01	1.000	1.000	1	55.88	199977	187472	1.00		2297	2297
0.318;4.832	0.064;1.033	01	1.000	1.000	1	55.98	199977	187916	1.00		2251	2251
0.476;1.056	#	01	1.000	1.000	1	55.68	199977	188145	0.50		2682	2682
0.301;5.157	-0.588;0.163	01	1.000	1.000	2	55.31	199928	188308	1.00		1311	1311
-4.445;-0.148	#	10	1.000	1.000	2	47.72	199985	188409	0.50		3982	3982
0.318;3.550	0.661;0.675	01	1.000	1.000	1	43.85	199552	188782	1.00		64	64
-0.137;0.274	-0.273;0.711	11	1.000	1.000	2	62.67	199999	188958	1.00		3160	3160
-4.752;-0.130	-1.556;1.438	10	1.000	1.000	2	47.76	199985	189088	1.00		3870	3870
-0.200;0.371	-0.254;0.823	11	0.423	0.842	1	59.01	199999	189099	1.00		3658	4344
-3.618;-0.130	#	10	1.000	1.000	1	47.76	199985	189381	0.50		3761	3761
-0.137;0.297	-0.199;0.774	11	1.000	1.000	3	61.32	199999	189664	1.00		3138	3138
-3.910;-0.130	-2.546;1.114	10	1.000	1.000	1	47.76	199985	189781	1.00		3623	3623
-0.209;0.274	#	11	0.548	0.887	1	59.11	199999	189899	0.50		3158	3562
0.301;5.623	-0.560;0.588	01	1.000	1.000	1	56.57	199977	189968	1.00		2327	2327
0.318;5.623	#	01	1.000	1.000	2	56.20	199977	189993	0.50		2812	2812
0.300;4.335	0.131;0.870	01	1.000	1.000	1	55.63	199977	190443	1.00		1672	1672
-4.532;-0.130	-1.556;1.779	10	1.000	1.000	1	47.76	199985	190658	1.00		3318	3318
0.301;5.623	#	01	1.000	1.000	7	56.20	199977	191303	0.50		2466	2466
-4.445;-0.130	-1.556;1.161	10	1.000	1.000	1	47.76	199985	191305	1.00		3091	3091
0.369;4.530	-0.737;0.212	01	1.000	1.000	1	55.56	199977	191389	1.00		1087	1087
0.318;4.335	#	01	1.000	1.000	1	56.20	199977	191406	0.50		2417	2417
0.300;3.828	-0.251;0.314	01	1.000	1.000	1	55.86	199977	191652	1.00		1291	1291
-0.137;0.297	-0.078;0.774	11	1.000	1.000	1	61.30	199999	191664	1.00		2363	2363
0.301;4.368	#	01	1.000	1.000	1	56.20	199977	191714	0.50		2350	2350
0.318;4.349	0.384;0.765	01	1.000	1.000	1	53.47	199950	191923	1.00		854	854
-4.445;-0.130	0.410;1.034	10	1.000	1.000	1	50.72	199926	192003	1.00		1053	1053
-3.910;-0.130	-0.392;1.438	10	1.000	1.000	1	47.76	199985	192153	1.00		2781	2781
-4.532;-0.130	-0.889;1.237	10	1.000	1.000	1	47.76	199985	192224	1.00		2755	2755
-1.324;-0.164	-1.556;1.438	10	1.000	1.000	1	47.72	199985	192224	1.00		2666	2666
-4.479;0.042	0.514;1.195	10	0.362	0.816	1	52.55	199926	192671	1.00		839	1028
-4.445;-0.130	-1.556;1.438	10	1.000	1.000	1	47.76	199985	192723	1.00		2587	2587
-4.445;-0.130	0.464;0.880	10	1.000	1.000	1	50.68	199926	192846	1.00		877	877
0.300;4.335	-0.368;1.065	01	1.000	1.000	1	56.20	199977	192892	1.00		2018	2018
-0.137;0.297	-0.231;0.788	11	1.000	1.000	1	61.24	199999	193040	1.00		2216	2216
0.203;0.855	-0.196;0.808	01	0.190	0.718	1	57.51	199977	193090	1.00		1660	2313
0.318;1.487	#	01	1.000	1.000	2	56.20	199977	193110	0.50		1935	1935
0.345;3.828	#	01	1.000	1.000	1	56.01	199977	193110	0.50		1855	1855
0.300;5.623	#	01	1.000	1.000	3	56.20	199977	193199	0.50		1931	1931
-0.148;0.632	-0.277;0.774	11	0.166	0.698	1	60.08	199999	193285	1.00		2275	3257
-0.137;0.274	-0.277;0.711	11	1.000	1.000	1	62.67	199999	193786	1.00		1782	1782
-4.532;-0.130	-0.381;1.779	10	1.000	1.000	1	47.76	199985	193917	1.00		2150	2150
-0.137;0.274	0.167;0.788	11	1.000	1.000	1	60.73	199975	194005	1.00		1052	1052
-0.137;0.274	-0.227;0.774	11	1.000	1.000	1	61.92	199999	194152	1.00		1677	1677
0.301;4.335	-0.344;0.407	01	1.000	1.000	1	55.88	199977	194444	1.00		986	986
-0.137;0.274	-0.273;0.603	11	1.000	1.000	1	64.18	199999	194509	1.00		1368	1368
-0.137;-0.024	-0.828;0.711	11	0.809	0.959	1	62.50	199975	194673	1.00		370	386
-0.137;0.297	-0.208;0.519	11	1.000	1.000	3	65.64	199999	194689	1.00		1171	1171
0.301;3.989	-0.420;-0.005	01	1.000	1.000	2	54.81	199928	194693	1.00		412	412
-3.910;-0.130	-1.556;1.438	10	1.000	1.000	1	47.76	199985	194842	1.00		1833	1833
-3.618;-0.130	-1.556;1.438	10	1.000	1.000	1	47.76	199985	194890	1.00		1812	1812
-0.137;0.297	-0.273;0.774	11	1.000	1.000	4	60.73	199999	195199	1.00		1610	1610
0.301;4.368	-0.422;0.097	01	1.000	1.000	1	55.22	199928	195310	1.00		512	512
-0.137;0.274	-0.227;0.788	11	1.000	1.000	2	61.92	199999	195444	1.00		1307	1307
-0.137;0.274	-0.273;0.462	11	1.000	1.000	1	64.54	199999	196117	1.00		793	793
-0.137;0.296	-0.277;0.711	11	1.000	1.000	2	61.96	199999	196216	1.00		1203	1203
-0.200;0.371	-0.254;1.290	11	0.380	0.824	1	59.00	199999	196330	1.00		1232	1495
0.345;4.349	-0.004;0.631	01	1.000	1.000	1	56.51	199977	196471	1.00		535	535
-3.910;-0.130	-0.104;0.589	10	1.000	1.000	2	48.55	199985	196761	1.00		591	591
0.301;4.349	#	01	1.000	1.000	1	56.20	199977	196973	0.50		860	860
