Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
3500	349	600	0.2441	0.0871	0.12	0.60	0.000	0.000	0.000
7000	384	600	0.2184	0.1489	0.13	1.45	0.000	0.000	0.000
10500	413	600	0.2146	0.1254	0.16	2.38	0.000	0.000	0.000
14000	421	600	0.2324	0.0929	0.15	3.36	0.000	0.000	0.000
17500	419	600	0.2126	0.1303	0.14	4.35	0.000	0.000	0.000
21000	409	600	0.2004	0.1483	0.14	5.29	0.000	0.000	0.000
24500	431	600	0.1978	0.15	0.16	6.22	0.000	0.000	0.000
28000	418	600	0.2014	0.1494	0.14	7.19	0.000	0.000	0.000
31500	428	600	0.1884	0.1554	0.14	8.12	0.000	0.000	0.000
35000	440	600	0.1811	0.1397	0.15	9.01	0.000	0.000	0.000
38500	439	600	0.1804	0.1417	0.15	9.99	0.000	0.000	0.000
42000	432	600	0.1775	0.1949	0.14	10.90	0.000	0.000	0.000
45500	436	600	0.1736	0.2349	0.14	11.85	0.000	0.000	0.000
49000	447	600	0.1697	0.2266	0.13	12.77	0.000	0.000	0.000
52500	445	600	0.1828	0.1777	0.15	13.76	0.000	0.000	0.000
56000	435	600	0.1771	0.2043	0.14	14.71	0.000	0.000	0.000
59500	435	600	0.1612	0.2617	0.14	15.64	0.000	0.000	0.000
63000	431	600	0.1693	0.2363	0.15	16.56	0.000	0.000	0.000
66500	429	600	0.165	0.2711	0.15	17.34	0.000	0.000	0.000
70000	455	600	0.1791	0.2169	0.16	18.24	0.000	0.000	0.000
73500	447	600	0.1729	0.2149	0.16	19.20	0.000	0.000	0.000
77000	443	600	0.1768	0.1983	0.14	20.24	0.000	0.000	0.000
80500	433	600	0.1758	0.1789	0.16	21.18	0.000	0.000	0.000
84000	430	600	0.1619	0.2143	0.16	22.13	0.000	0.000	0.000
87500	424	600	0.1824	0.1771	0.17	23.09	0.000	0.000	0.000
91000	418	600	0.1859	0.1514	0.14	24.08	0.000	0.000	0.000
94500	416	600	0.1721	0.1957	0.15	25.00	0.000	0.000	0.000
98000	429	600	0.163	0.2543	0.16	25.91	0.000	0.000	0.000
101500	421	600	0.1703	0.2186	0.15	26.84	0.000	0.000	0.000
105000	424	600	0.1614	0.2163	0.15	27.77	0.000	0.000	0.000
108500	422	600	0.1639	0.212	0.14	28.67	0.000	0.000	0.000
112000	441	600	0.1783	0.1997	0.15	29.54	0.000	0.000	0.000
115500	435	600	0.1775	0.1903	0.15	30.43	0.000	0.000	0.000
119000	426	600	0.1801	0.2234	0.14	31.38	0.000	0.000	0.000
122500	412	600	0.1589	0.2434	0.13	32.30	0.000	0.000	0.000
126000	426	600	0.1594	0.2437	0.14	33.24	0.000	0.000	0.000
129500	426	600	0.1566	0.2371	0.13	34.17	0.000	0.000	0.000
133000	437	600	0.1645	0.2234	0.14	35.13	0.000	0.000	0.000
136500	449	600	0.1639	0.2351	0.14	36.04	0.000	0.000	0.000
140000	452	600	0.177	0.2057	0.16	37.00	0.000	0.000	0.000
143500	429	600	0.1663	0.2157	0.15	37.99	0.000	0.000	0.000
147000	414	600	0.1565	0.254	0.14	38.96	0.000	0.000	0.000
150500	440	600	0.1727	0.208	0.14	39.87	0.000	0.000	0.000
154000	433	600	0.1779	0.2286	0.15	40.82	0.000	0.000	0.000
157500	434	600	0.169	0.2357	0.15	41.73	0.000	0.000	0.000
161000	427	600	0.1844	0.2177	0.16	42.67	0.000	0.000	0.000
164500	436	600	0.1582	0.2603	0.14	43.63	0.000	0.000	0.000
168000	441	600	0.1509	0.2909	0.14	44.48	0.000	0.000	0.000
171500	434	600	0.1388	0.298	0.15	45.30	0.000	0.000	0.000
175000	445	600	0.1599	0.2749	0.14	46.11	0.000	0.000	0.000
178500	432	600	0.1621	0.2443	0.13	46.89	0.000	0.000	0.000
182000	449	600	0.1796	0.2323	0.16	47.72	0.000	0.000	0.000
185500	417	600	0.1784	0.2117	0.15	48.50	0.000	0.000	0.000
189000	408	600	0.1695	0.2206	0.15	49.24	0.000	0.000	0.000
192500	438	600	0.1739	0.2277	0.15	50.05	0.000	0.000	0.000
196000	413	600	0.1722	0.2334	0.15	50.88	0.000	0.000	0.000
199500	413	600	0.186	0.1991	0.15	51.73	0.000	0.000	0.000
203000	400	600	0.1734	0.2206	0.13	52.56	0.000	0.000	0.000
206500	427	600	0.1715	0.2143	0.13	53.41	0.000	0.000	0.000
210000	427	600	0.1634	0.242	0.13	54.34	0.000	0.000	0.000
213500	419	600	0.1709	0.1974	0.13	55.18	0.000	0.000	0.000
217000	407	600	0.1601	0.2054	0.14	56.00	0.000	0.000	0.000
220500	424	600	0.1692	0.1951	0.14	56.82	0.000	0.000	0.000
224000	414	600	0.1637	0.1866	0.14	57.55	0.000	0.000	0.000
227500	439	600	0.1752	0.1863	0.17	58.45	0.000	0.000	0.000
231000	430	600	0.1913	0.1423	0.14	59.30	0.000	0.000	0.000
234500	457	600	0.1842	0.1674	0.15	60.21	0.000	0.000	0.000
238000	440	600	0.1756	0.1929	0.17	61.11	0.000	0.000	0.000
241500	448	600	0.1734	0.1843	0.15	61.95	0.000	0.000	0.000
245000	429	600	0.1727	0.2003	0.16	62.87	0.000	0.000	0.000
248500	437	600	0.1539	0.2514	0.15	63.61	0.000	0.000	0.000
252000	460	600	0.1482	0.2703	0.14	64.39	0.000	0.000	0.000
255500	441	600	0.1529	0.2057	0.14	65.18	0.000	0.000	0.000
259000	437	600	0.1541	0.2274	0.14	65.98	0.000	0.000	0.000
262500	430	600	0.1586	0.2051	0.14	66.81	0.000	0.000	0.000
266000	436	600	0.1625	0.2051	0.15	67.73	0.000	0.000	0.000
269500	441	600	0.1783	0.1977	0.14	68.51	0.000	0.000	0.000
273000	439	600	0.1839	0.1909	0.14	69.38	0.000	0.000	0.000
276500	427	600	0.1834	0.1909	0.14	70.23	0.000	0.000	0.000
280000	451	600	0.2023	0.13	0.15	71.13	0.000	0.000	0.000
283500	432	600	0.1951	0.1346	0.14	71.99	0.000	0.000	0.000
287000	440	600	0.1881	0.1723	0.15	72.88	0.000	0.000	0.000
290500	452	600	0.1835	0.1723	0.14	73.77	0.000	0.000	0.000
294000	439	600	0.1736	0.1946	0.15	74.62	0.000	0.000	0.000
297500	429	600	0.1685	0.1954	0.15	75.40	0.000	0.000	0.000
301000	436	600	0.1667	0.1826	0.14	76.26	0.000	0.000	0.000
304500	445	600	0.1584	0.2037	0.15	77.09	0.000	0.000	0.000
308000	465	600	0.1624	0.1837	0.15	77.99	0.000	0.000	0.000
311500	456	600	0.1668	0.1577	0.15	78.88	0.000	0.000	0.000
315000	442	600	0.1683	0.1869	0.14	79.85	0.000	0.000	0.000
318500	446	600	0.175	0.1751	0.12	80.64	0.000	0.000	0.000
322000	449	600	0.1669	0.2031	0.14	81.50	0.000	0.000	0.000
325500	450	600	0.1733	0.1709	0.13	82.34	0.000	0.000	0.000
329000	432	600	0.182	0.1654	0.14	83.20	0.000	0.000	0.000
332500	439	600	0.1843	0.1711	0.15	84.11	0.000	0.000	0.000
336000	436	600	0.1604	0.2057	0.15	84.94	0.000	0.000	0.000
339500	434	600	0.169	0.2151	0.14	85.83	0.000	0.000	0.000
343000	430	600	0.1701	0.2006	0.15	86.80	0.000	0.000	0.000
346500	422	600	0.1883	0.1969	0.14	87.72	0.000	0.000	0.000
350000	447	600	0.193	0.1934	0.14	88.69	0.000	0.000	0.000
353500	444	600	0.1949	0.1906	0.15	89.60	0.000	0.000	0.000
357000	432	600	0.1948	0.1854	0.14	90.50	0.000	0.000	0.000
360500	426	600	0.1781	0.2009	0.14	91.34	0.000	0.000	0.000
364000	438	600	0.1786	0.2106	0.14	92.23	0.000	0.000	0.000
367500	435	600	0.1809	0.2017	0.15	93.07	0.000	0.000	0.000
371000	428	600	0.1718	0.2011	0.15	93.87	0.000	0.000	0.000
374500	445	600	0.1679	0.194	0.15	94.71	0.000	0.000	0.000
378000	445	600	0.1805	0.1803	0.16	95.59	0.000	0.000	0.000
381500	458	600	0.1701	0.2071	0.15	96.47	0.000	0.000	0.000
385000	428	600	0.174	0.2151	0.15	97.36	0.000	0.000	0.000
388500	435	600	0.1867	0.176	0.14	98.31	0.000	0.000	0.000
392000	439	600	0.184	0.1934	0.14	99.20	0.000	0.000	0.000
395500	427	600	0.1872	0.1931	0.15	100.11	0.000	0.000	0.000
399000	415	600	0.1792	0.1871	0.15	101.00	0.000	0.000	0.000
