Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
1000	47	63	0.318	0.499	0.21	0.01	0.936	0.428	0.311
2000	88	116	0.155	0.72	0.20	0.03	1.115	0.574	0.315
3000	134	190	0.126	0.749	0.19	0.06	1.107	0.642	0.316
4000	146	200	0.084	0.832	0.18	0.10	1.196	0.636	0.333
5000	135	200	0.038	0.923	0.14	0.13	1.286	0.637	0.346
6000	133	200	0.035	0.929	0.12	0.17	1.293	0.636	0.346
7000	132	200	0.035	0.931	0.12	0.19	1.294	0.637	0.042
8000	136	200	0.035	0.931	0.12	0.22	1.292	0.639	0.000
9000	138	200	0.035	0.929	0.12	0.25	1.29	0.639	0.025
10000	143	200	0.024	0.952	0.11	0.28	1.315	0.637	0.004
11000	152	200	0.028	0.945	0.11	0.32	1.321	0.624	0.000
12000	150	200	0.036	0.928	0.10	0.35	1.301	0.627	0.000
13000	152	200	0.038	0.923	0.12	0.38	1.294	0.629	0.059
14000	147	200	0.023	0.954	0.11	0.41	1.323	0.631	0.136
15000	148	200	0.02	0.96	0.13	0.44	1.322	0.638	0.000
16000	148	200	0.017	0.966	0.12	0.47	1.331	0.635	0.023
17000	147	200	0.015	0.97	0.13	0.50	1.332	0.638	0.017
18000	148	200	0.018	0.964	0.13	0.53	1.332	0.632	0.000
19000	146	200	0.019	0.962	0.12	0.55	1.33	0.632	0.000
20000	147	200	0.017	0.966	0.12	0.58	1.329	0.637	0.000
21000	145	200	0.013	0.974	0.12	0.61	1.344	0.63	0.000
22000	139	200	0.013	0.973	0.12	0.64	1.344	0.629	0.000
23000	140	200	0.015	0.971	0.12	0.67	1.343	0.628	0.029
24000	143	200	0.013	0.974	0.13	0.70	1.341	0.633	0.000
25000	150	200	0.012	0.976	0.14	0.73	1.344	0.632	0.029
26000	149	200	0.013	0.974	0.13	0.76	1.352	0.622	0.035
27000	153	200	0.015	0.971	0.14	0.79	1.344	0.627	0.000
28000	148	200	0.015	0.97	0.14	0.81	1.349	0.621	0.000
29000	150	200	0.015	0.971	0.14	0.84	1.347	0.624	0.000
30000	153	200	0.017	0.966	0.14	0.87	1.344	0.622	0.000
31000	150	200	0.013	0.973	0.14	0.91	1.343	0.63	0.037
32000	152	200	0.011	0.977	0.14	0.94	1.342	0.635	0.000
33000	149	200	0.014	0.972	0.14	0.97	1.351	0.621	0.000
34000	146	200	0.013	0.974	0.13	1.01	1.347	0.627	0.000
35000	149	200	0.013	0.973	0.13	1.04	1.342	0.631	0.068
36000	152	200	0.013	0.975	0.13	1.07	1.346	0.629	0.018
37000	161	200	0.014	0.972	0.13	1.09	1.344	0.628	0.000
38000	154	200	0.013	0.973	0.14	1.12	1.336	0.637	0.125
39000	150	200	0.014	0.972	0.12	1.16	1.332	0.64	0.078
40000	149	200	0.013	0.974	0.12	1.19	1.339	0.635	0.000
41000	146	200	0.018	0.965	0.12	1.22	1.335	0.63	0.000
42000	147	200	0.018	0.963	0.12	1.25	1.326	0.637	0.051
43000	156	200	0.017	0.967	0.13	1.28	1.332	0.635	0.000
44000	152	200	0.014	0.972	0.13	1.31	1.348	0.624	0.000
45000	145	200	0.015	0.971	0.13	1.34	1.343	0.628	0.018
46000	144	200	0.014	0.972	0.12	1.36	1.343	0.629	0.000
47000	147	200	0.013	0.975	0.12	1.39	1.346	0.629	0.086
48000	144	200	0.014	0.972	0.11	1.41	1.353	0.619	0.000
49000	137	200	0.015	0.971	0.11	1.44	1.348	0.623	0.000
50000	141	200	0.015	0.97	0.12	1.46	1.338	0.632	0.103
51000	137	200	0.015	0.969	0.12	1.48	1.34	0.629	0.000
52000	134	200	0.013	0.973	0.12	1.50	1.348	0.625	0.000
53000	140	200	0.015	0.97	0.12	1.52	1.345	0.625	0.041
54000	146	200	0.015	0.971	0.11	1.55	1.342	0.629	0.020
55000	139	200	0.013	0.974	0.12	1.57	1.348	0.626	0.046
56000	138	200	0.015	0.971	0.13	1.61	1.348	0.623	0.000
57000	141	200	0.016	0.968	0.12	1.63	1.337	0.631	0.000
58000	145	200	0.018	0.965	0.13	1.66	1.339	0.626	0.000
59000	151	200	0.017	0.966	0.14	1.69	1.338	0.628	0.000
60000	142	200	0.017	0.966	0.12	1.71	1.335	0.631	0.000
61000	149	200	0.017	0.966	0.12	1.73	1.336	0.63	0.000
62000	152	200	0.017	0.967	0.12	1.76	1.337	0.63	0.000
63000	149	200	0.015	0.969	0.12	1.78	1.349	0.62	0.000
64000	141	200	0.015	0.97	0.10	1.81	1.345	0.625	0.000
65000	143	200	0.015	0.971	0.12	1.84	1.344	0.627	0.027
66000	147	200	0.015	0.969	0.12	1.87	1.345	0.624	0.000
67000	141	200	0.014	0.972	0.11	1.89	1.345	0.627	0.034
68000	138	200	0.015	0.97	0.10	1.92	1.345	0.625	0.000
69000	133	200	0.013	0.973	0.10	1.95	1.344	0.629	0.000
70000	131	200	0.014	0.972	0.11	1.98	1.352	0.62	0.047
71000	133	200	0.014	0.972	0.11	2.01	1.35	0.622	0.000
72000	132	200	0.015	0.97	0.11	2.04	1.344	0.626	0.000
73000	132	200	0.015	0.971	0.10	2.07	1.347	0.624	0.092
74000	140	200	0.014	0.972	0.09	2.09	1.347	0.625	0.000
75000	138	200	0.015	0.97	0.10	2.12	1.344	0.626	0.000
76000	139	200	0.015	0.971	0.11	2.16	1.342	0.629	0.000
77000	144	200	0.013	0.973	0.12	2.18	1.348	0.625	0.003
78000	145	200	0.013	0.973	0.13	2.21	1.353	0.62	0.018
79000	146	200	0.015	0.97	0.13	2.24	1.344	0.626	0.032
80000	147	200	0.015	0.971	0.14	2.27	1.349	0.622	0.000
81000	143	200	0.015	0.971	0.13	2.30	1.348	0.623	0.000
82000	138	200	0.015	0.971	0.12	2.33	1.343	0.628	0.000
83000	135	200	0.015	0.971	0.11	2.36	1.345	0.626	0.000
84000	137	200	0.014	0.972	0.11	2.39	1.344	0.628	0.000
85000	134	200	0.014	0.972	0.12	2.43	1.353	0.619	0.000
86000	131	200	0.014	0.972	0.11	2.45	1.349	0.623	0.000
87000	138	200	0.015	0.97	0.10	2.48	1.345	0.625	0.055
88000	134	200	0.015	0.971	0.11	2.51	1.348	0.623	0.000
89000	138	200	0.014	0.972	0.10	2.54	1.346	0.626	0.000
90000	138	200	0.015	0.97	0.09	2.57	1.345	0.625	0.000
91000	141	200	0.015	0.971	0.10	2.60	1.34	0.631	0.000
92000	148	200	0.013	0.974	0.10	2.63	1.35	0.624	0.000
93000	152	200	0.013	0.973	0.10	2.66	1.35	0.623	0.015
94000	158	200	0.014	0.972	0.10	2.68	1.343	0.629	0.000
