att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-1.106;0.990	-1.208;0.115	001101001101000	0.029	0.491	1	211.36	399818	394142	1.00		49	4093
-0.381;0.628	0.074;0.764	000001010010010	0.147	0.682	1	211.34	399739	394147	1.00		9	1449
-0.337;0.615	-0.047;0.566	000001010010000	0.178	0.708	1	229.06	399995	394159	1.00		77	1376
0.373;4.194	-1.692;0.030	000001000000000	0.041	0.527	1	191.64	399994	394173	1.00		109	679
#	-0.562;0.837	000001010010100	0.047	0.543	1	213.22	399979	394200	0.50		124	4717
#	-1.167;0.213	000001011001101	0.088	0.615	4	211.15	399941	394349	0.50		40	4283
-0.379;0.287	-1.081;-0.237	001001001001101	0.281	0.776	1	253.52	399950	394465	1.00		150	1261
-0.818;0.572	-0.617;-0.172	001001011001100	0.096	0.625	1	224.92	399425	394532	1.00		14	1704
-0.658;0.599	-1.124;0.101	100001011011101	0.207	0.730	2	228.04	399982	394602	1.00		230	3105
-0.707;0.057	#	100001001011000	0.104	0.636	1	215.51	399835	394638	0.50		37	2835
#	-0.425;0.514	000001011010100	0.107	0.639	1	220.69	399822	394639	0.50		77	3337
#	-0.395;0.774	000001011011000	0.090	0.618	1	217.47	399870	394662	0.50		91	3666
-2.164;0.706	#	110001001001000	0.026	0.480	1	214.50	399951	394714	0.50		129	5051
-0.273;0.903	#	000001011010100	0.142	0.676	1	216.10	399902	394730	0.50		97	3793
-0.740;0.098	-1.012;0.218	101101001011000	0.102	0.634	1	222.90	399753	394860	1.00		21	2311
-0.271;0.910	-0.905;0.308	000001011011101	0.303	0.788	1	226.56	399986	394906	1.00		263	2745
0.045;0.669	#	000001100010000	0.026	0.483	1	214.66	399958	394909	0.50		139	1948
-0.065;0.719	-0.726;0.520	000001011011100	0.302	0.787	2	227.62	399993	394910	1.00		183	2102
-0.273;1.117	#	000001011010100	0.135	0.670	1	213.90	399902	394929	0.50		92	3723
-0.112;0.825	#	000001100010000	0.020	0.458	1	220.14	399958	394957	0.50		138	2870
0.008;1.323	-0.832;1.306	000001010010000	0.081	0.605	1	205.66	399995	394980	1.00		125	2352
#	-0.047;0.566	000001010010000	0.092	0.620	3	215.93	399995	395003	0.50		103	1616
#	-0.726;0.520	000001011011100	0.117	0.651	1	219.33	399993	395100	0.50		175	4023
-0.365;0.407	0.007;0.706	100001010010010	0.208	0.730	1	223.20	399947	395130	1.00		244	1080
-1.147;-0.157	0.194;1.592	100000000000000	0.027	0.487	1	188.93	399996	395229	1.00		60	270
-0.818;0.572	#	001001011001100	0.044	0.536	1	214.70	399425	395231	0.50		12	4256
-3.848;0.275	-0.702;0.257	110101001001000	0.065	0.579	3	228.77	399876	395232	1.00		55	2469
-1.957;0.812	-0.760;0.884	100001011011000	0.094	0.623	1	214.83	399991	395304	1.00		79	4279
-2.197;0.238	0.122;2.726	000000000010010	0.023	0.470	2	209.67	399953	395315	1.00		86	888
-0.798;0.063	-2.590;-0.178	001001001100000	0.047	0.542	2	220.55	399901	395329	1.00		39	1370
-0.620;0.624	-1.101;-0.319	000001001001101	0.207	0.730	1	228.40	399984	395330	1.00		219	1425
#	-0.239;0.101	100001011011101	0.216	0.736	1	216.95	399875	395339	0.50		73	1189
-3.257;0.216	-0.426;0.391	110101001001000	0.078	0.601	1	227.40	399876	395421	1.00		53	1809
-0.194;0.282	#	000001011011101	0.188	0.716	1	244.87	399959	395442	0.50		123	1859
#	-1.315;-0.564	000001001000000	0.075	0.595	1	190.50	399865	395458	0.50		52	809
0.496;1.353	#	000001000000000	0.053	0.557	2	180.76	399994	395474	0.50		85	556
-0.355;0.455	#	000001011011000	0.136	0.670	1	225.55	399870	395478	0.50		77	2828
#	0.083;0.780	100000000010010	0.035	0.512	1	200.91	399949	395484	0.50		25	1376
0.671;1.733	-0.020;1.672	000001000010000	0.655	0.919	1	168.68	399977	395501	1.00		87	115
-2.164;-0.077	-0.338;0.410	110001001001000	0.133	0.668	1	219.93	399951	395544	1.00		110	968
#	-0.376;0.410	110001001001000	0.056	0.561	1	226.23	399951	395585	0.50		109	2252
#	-1.280;-0.289	000001001001101	0.094	0.623	1	211.13	399984	395620	0.50		201	1724
#	-0.769;0.439	100101011011100	0.116	0.649	2	213.89	399854	395660	0.50		19	3482
-0.276;0.391	-1.124;0.101	100001011011101	0.401	0.833	1	244.67	399982	395681	1.00		184	1520
-0.530;1.332	-1.076;0.019	101001011011100	0.169	0.701	1	221.80	399903	395709	1.00		30	2354
#	0.711;1.278	000010000000000	0.032	0.502	1	147.89	399967	395740	0.50		25	172
-0.442;0.330	-0.024;0.733	100001010010010	0.201	0.725	2	220.03	399947	395753	1.00		210	1012
-0.248;0.910	#	000001011011101	0.150	0.685	1	214.45	399986	395792	0.50		216	2967
-0.580;-0.409	-1.265;0.048	001001001001101	0.048	0.546	1	202.11	395819	395819	1.00		0	255
#	-0.291;0.380	100001001011100	0.166	0.698	1	220.43	399461	395824	0.50		11	1779
-0.667;0.057	#	100001001011000	0.117	0.651	1	221.07	399835	395942	0.50		28	2062
#	0.158;0.733	100001010010010	0.149	0.683	2	205.82	399947	396005	0.50		199	994
#	-0.785;0.644	000001011011000	0.084	0.609	1	213.15	399870	396060	0.50		67	3545
#	-0.726;0.545	000001011011100	0.114	0.647	1	219.33	399993	396061	0.50		143	3291
-0.684;0.599	-0.599;-0.024	100001011011101	0.271	0.770	1	230.09	399982	396166	1.00		162	1473
-0.658;0.554	-0.573;0.101	100001011011101	0.325	0.799	2	234.75	399982	396166	1.00		162	1595
0.282;0.624	-1.101;-0.319	000001001001101	0.318	0.795	1	215.51	399984	396210	1.00		49	234
-0.834;-0.186	#	000001001100000	0.016	0.439	1	197.86	399855	396242	0.50		17	1216
-0.182;1.132	0.614;3.300	000010000010000	0.301	0.786	2	150.42	399983	396250	1.00		95	206
-0.365;0.330	#	100001010010010	0.050	0.549	1	236.50	399947	396348	0.50		179	2049
-0.337;1.045	#	000001010010000	0.058	0.566	1	213.90	399995	396354	0.50		93	2812
0.341;1.670	#	000001010010000	0.122	0.656	2	183.94	399948	396378	0.50		64	758
#	-2.881;-0.192	001001001001101	0.082	0.606	1	210.09	399950	396455	0.50		95	1693
#	-3.050;0.369	000001011011100	0.116	0.650	1	213.85	399993	396574	0.50		122	2806
#	-0.436;0.425	000001011011100	0.156	0.690	1	221.27	399993	396574	0.50		122	2008
1.322;1.733	-0.724;1.493	000001000010000	0.043	0.845	1	187.34	396578	396578	1.00		0	0
0.583;1.424	-0.339;0.447	000001000010000	0.509	0.874	1	193.34	399977	396578	1.00		85	162
-0.248;0.627	#	000001011011101	0.176	0.707	2	223.41	399986	396592	0.50		175	2199
-0.682;0.303	0.186;2.226	100001000010010	0.186	0.714	2	209.72	399970	396652	1.00		84	593
-1.061;0.253	#	101101001101000	0.034	0.507	1	219.86	399453	396657	0.50		4	2364
#	-1.125;0.236	000001011010100	0.082	0.607	3	213.64	399902	396659	0.50		62	2589
0.368;1.181	#	000001010010100	0.134	0.669	2	180.28	399979	396677	0.50		70	656
#	0.122;2.726	000000000010010	0.018	0.450	2	192.67	399953	396713	0.50		60	984
#	-0.547;0.316	100001011011100	0.204	0.727	1	224.24	399998	396739	0.50		282	1989
-0.341;0.624	-1.101;-0.289	000001001001101	0.298	0.785	2	237.61	399984	396764	1.00		153	838
-0.594;1.332	-1.076;0.019	101001011011100	0.164	0.697	1	220.84	399903	396801	1.00		24	1806
-1.147;-0.157	0.194;1.866	100000000000000	0.027	0.487	1	188.93	399996	396825	1.00		40	177
#	-0.616;-0.564	000001001000000	0.024	0.476	1	195.46	396856	396856	0.50		0	123
0.832;5.082	#	000001000000000	0.180	0.710	1	159.67	399994	396872	0.50		33	100
-0.611;0.923	-0.382;1.166	100001011011100	0.161	0.694	1	215.88	399998	396877	1.00		271	1968
-0.429;0.466	-1.124;0.101	100001011011101	0.311	0.792	1	237.97	399982	396887	1.00		130	1384
#	-0.369;1.093	000001011011000	0.082	0.607	1	212.81	399870	396914	0.50		52	2054
-1.317;-0.728	-1.310;0.090	000000000100000	0.053	0.556	1	137.15	399971	397008	1.00		47	99
-0.554;0.330	-0.024;0.733	100001010010010	0.173	0.704	1	219.92	399947	397015	1.00		146	762
-0.442;0.330	0.007;0.733	100001010010010	0.212	0.733	3	217.54	399947	397015	1.00		146	665
#	0.186;3.702	100001000010010	0.105	0.637	1	191.88	399970	397031	0.50		77	760
0.426;1.397	-0.110;0.852	000000000010000	0.055	0.559	1	186.76	399978	397065	1.00		17	227
-0.677;0.595	-1.200;0.384	000001001000100	0.056	0.561	2	225.08	399942	397071	1.00		38	2044
-0.379;0.287	#	001001001001101	0.056	0.562	2	240.43	399950	397075	0.50		79	1570
0.341;1.670	-0.593;0.481	000001010010000	0.246	0.755	2	201.95	399948	397077	1.00		52	413
0.167;0.590	-0.049;0.948	000001110010000	0.111	0.644	3	198.73	399887	397091	1.00		20	371
-0.127;0.776	#	000001011010101	0.143	0.678	1	220.34	399904	397108	0.50		41	1640
-0.912;-0.398	-1.031;-0.207	000000000100000	0.028	0.488	2	178.74	399971	397111	1.00		50	313
-0.085;1.732	-0.661;-0.086	101001011011101	0.262	0.765	1	230.75	399928	397132	1.00		16	668
0.178;0.450	-1.200;0.384	000001001000100	0.115	0.649	1	234.88	399867	397146	1.00		12	360
0.674;1.169	-0.451;1.791	000001000010000	0.731	0.939	1	172.10	399977	397166	1.00		94	115
-0.122;0.202	-0.871;0.374	110101001011000	0.070	0.587	1	263.70	397168	397168	1.00		0	599
#	-0.804;0.590	000001010010100	0.040	0.526	2	213.15	399979	397183	0.50		60	2517
#	-2.378;-0.192	001001001001101	0.083	0.608	2	210.09	399950	397217	0.50		75	1328
0.671;1.424	#	000001000010000	0.519	0.877	1	163.21	399977	397247	0.50		89	141
-0.665;0.573	-1.139;-0.564	000001001000000	0.100	0.631	1	203.93	399865	397275	1.00		31	416
#	-0.778;-0.011	101101001111000	0.051	0.551	1	211.94	399400	397303	0.50		3	1533
-0.818;0.572	-0.786;-0.651	001001011001100	0.180	0.709	1	201.27	397328	397328	1.00		0	217
-0.333;1.030	0.614;2.961	000010000010000	0.217	0.736	1	151.97	399983	397342	1.00		69	175
-0.855;-0.340	-0.964;-0.522	100100001100000	0.051	0.550	1	164.89	397363	397363	1.00		0	144
-0.658;0.447	-0.172;0.633	100001010010000	0.148	0.682	1	226.41	399770	397374	1.00		7	914
-0.004;1.234	#	000001000000100	0.017	0.440	1	206.18	399599	397377	0.50		11	1276
-1.610;-0.080	-0.926;0.546	100101001101000	0.070	0.588	1	208.54	399929	397379	1.00		29	1032
0.507;4.194	-1.247;-0.461	000001000000000	0.492	0.868	1	157.16	399994	397390	1.00		43	63
-1.068;-0.269	-0.658;0.089	100100000100000	0.029	0.492	1	199.50	399969	397394	1.00		31	485
0.583;1.424	-0.020;0.421	000001000010000	0.652	0.918	1	194.04	399977	397406	1.00		41	65
0.182;0.811	-0.530;0.388	000001011010101	0.382	0.825	1	229.89	399904	397420	1.00		38	441
-0.383;0.969	-0.237;0.644	000001011011000	0.197	0.723	1	223.68	399870	397421	1.00		44	1066
#	-1.278;-0.339	001001001100000	0.041	0.529	1	206.24	399901	397426	0.50		21	924
-0.682;0.408	0.069;1.649	100001000010010	0.108	0.641	1	203.08	399970	397449	1.00		63	662
0.338;0.776	#	000001011010101	0.123	0.658	1	196.13	399904	397462	0.50		37	435
-0.065;0.719	-3.050;0.369	000001011011100	0.343	0.807	1	233.34	399993	397487	1.00		91	985
#	-0.482;0.553	110001001001000	0.036	0.515	1	220.13	399951	397510	0.50		61	1713
0.674;1.424	-0.451;1.791	000001000010000	0.703	0.932	1	172.10	399977	397529	1.00		78	98
-1.073;0.127	#	000001001101000	0.025	0.478	1	215.64	399729	397547	0.50		11	1520
-0.062;0.700	-0.905;0.138	000001011011101	0.410	0.837	1	228.86	399986	397563	1.00		128	812
-0.271;0.910	-0.905;0.212	000001011011101	0.328	0.800	2	222.22	399986	397563	1.00		128	1234
-0.096;1.292	#	000001100010000	0.023	0.470	1	209.32	399958	397574	0.50		64	1429
-0.241;0.597	0.614;3.300	000010000010000	0.298	0.785	2	157.66	399983	397594	1.00		63	126
-0.629;-0.134	-0.764;0.241	110001001011000	0.172	0.703	1	238.97	399972	397602	1.00		19	562
-0.442;0.330	0.158;0.167	100001010010010	0.021	0.729	1	212.09	397626	397626	1.00		0	0
#	0.007;0.733	100001010010010	0.117	0.651	2	209.06	399947	397626	0.50		116	808
-0.472;0.404	#	001001001001101	0.054	0.557	1	227.39	399950	397633	0.50		63	1605
-0.220;1.026	#	000001011011000	0.118	0.652	1	211.46	399870	397662	0.50		38	1604
-0.764;0.607	-1.139;-0.564	000001001000000	0.085	0.611	2	197.50	399865	397665	1.00		26	366
-0.057;0.551	-0.516;0.864	000001011010000	0.148	0.683	1	227.36	399939	397680	1.00		16	837
-0.250;0.719	-0.375;0.545	000001011011100	0.306	0.789	1	239.61	399993	397706	1.00		83	920
-0.943;-0.010	-0.376;0.410	110001001001000	0.111	0.644	1	226.16	399951	397708	1.00		55	623
-0.611;0.923	-0.382;0.174	100001011011100	0.401	0.833	1	240.58	399998	397713	1.00		200	860
-0.696;0.057	-0.613;0.307	100001001011000	0.184	0.713	1	233.89	399835	397738	1.00		15	761
-0.442;0.330	0.158;0.709	100001010010010	0.292	0.782	1	216.90	399947	397746	1.00		109	364
#	0.232;0.945	000001100010000	0.052	0.554	1	181.70	399958	397753	0.50		62	502
0.507;3.834	#	000001000000000	0.067	0.582	1	179.44	399994	397765	0.50		41	255
0.507;4.739	-1.247;-0.461	000001000000000	0.441	0.849	1	157.30	399994	397765	1.00		34	53
-0.611;0.268	-0.547;0.316	100001011011100	0.379	0.823	1	252.29	399998	397777	1.00		191	860
0.830;1.169	#	000001000010000	0.473	0.861	1	159.67	399977	397782	0.50		42	72
#	0.069;2.812	100001000010010	0.085	0.610	2	193.52	399970	397819	0.50		57	705
0.583;1.169	-0.451;1.791	000001000010000	0.475	0.862	2	182.37	399977	397865	1.00		74	145
-0.306;0.624	-1.280;-0.289	000001001001101	0.311	0.791	1	237.66	399984	397866	1.00		100	532
-0.788;-0.045	-0.041;0.707	100001000000010	0.065	0.578	1	200.33	399618	397903	1.00		6	309
-0.137;0.948	#	000001110010000	0.041	0.529	1	210.11	399887	397906	0.50		14	1280
-0.611;0.742	-1.101;-0.289	000001001001101	0.192	0.719	1	233.26	399984	397920	1.00		95	687
#	-0.515;0.567	100001011011000	0.154	0.688	1	220.17	399991	397928	0.50		35	1469
-2.139;0.434	#	100001011011000	0.091	0.619	1	215.20	399991	397928	0.50		35	1734
-0.658;1.322	-1.124;0.101	100001011011101	0.165	0.698	1	217.63	399982	397943	1.00		88	1308
-0.759;0.022	#	100001000010010	0.022	0.464	1	211.07	399916	397962	0.50		41	1042
0.674;1.169	0.046;1.791	000001000010000	0.690	0.929	1	165.83	399977	397967	1.00		33	42
-2.164;-0.010	#	110001001001000	0.045	0.537	1	210.09	399951	397993	0.50		48	1033
-0.430;0.408	0.069;2.247	100001000010010	0.125	0.660	1	206.14	399970	398050	1.00		48	457
-0.998;0.069	0.085;0.603	100001000000000	0.073	0.592	2	213.12	399452	398054	1.00		7	253
#	-0.761;0.236	000001011010100	0.087	0.614	1	213.89	399902	398057	0.50		36	1412
-0.855;-0.340	#	100100001100000	0.049	0.547	1	189.24	399629	398062	0.50		9	418
#	-1.336;0.425	000001011011100	0.114	0.647	1	213.71	399993	398066	0.50		70	1633
-0.681;-0.014	-1.214;-0.121	001001001101000	0.106	0.638	4	230.03	399927	398071	1.00		18	500
#	-0.616;0.031	000101001101000	0.031	0.500	1	219.12	399785	398116	0.50		11	944
-0.940;-0.293	-0.833;-0.315	000100001100000	0.093	0.622	2	185.90	399955	398145	1.00		17	211
-2.139;1.246	#	100001011011000	0.079	0.602	1	208.69	399991	398192	0.50		29	1807
-0.487;0.580	-1.280;-0.289	000001001001101	0.250	0.758	1	235.46	399984	398196	1.00		88	532
-3.848;0.275	-0.426;0.391	110101001001000	0.072	0.591	3	228.96	399876	398217	1.00		21	753
#	-0.508;0.604	000001000010000	0.023	0.472	1	219.05	399977	398235	0.50		60	1258
#	-1.137;0.262	001001011011101	0.093	0.622	1	216.67	399830	398252	0.50		5	1378
-3.848;0.275	-0.845;0.420	110101001001000	0.049	0.547	1	222.65	399876	398289	1.00		19	1075
0.597;0.659	0.614;3.300	000010000010000	0.132	0.667	1	142.50	398293	398293	1.00		0	2
-1.253;0.099	-0.230;0.575	100000001000000	0.019	0.454	1	221.07	399708	398310	1.00		3	446
#	0.158;0.685	100001010010010	0.177	0.707	1	210.69	399947	398325	0.50		81	369
-0.890;0.323	0.158;0.706	100001010010010	0.236	0.749	2	212.79	399947	398325	1.00		81	289
-0.429;0.554	-1.124;0.101	100001011011101	0.303	0.787	1	234.71	399982	398330	1.00		67	798
#	-1.081;-0.237	001001001001101	0.084	0.609	1	211.82	399950	398332	0.50		44	737
-1.071;0.287	#	001001001001101	0.028	0.488	1	220.10	399950	398332	0.50		44	1229
-0.611;0.268	-0.447;0.512	100001011011100	0.336	0.804	1	243.58	399998	398338	1.00		146	686
#	0.614;3.230	000010000010000	0.185	0.713	1	150.70	399983	398347	0.50		41	112
-0.220;1.214	#	000001011010101	0.124	0.659	1	211.46	399904	398373	0.50		23	1113
-0.617;-0.122	-0.899;0.374	110101001011000	0.127	0.662	1	232.40	399964	398375	1.00		10	457
#	-0.911;-0.164	000001001000101	0.054	0.557	1	210.03	399987	398382	0.50		12	806
0.631;1.181	#	000001010010100	0.089	0.617	1	172.44	399979	398394	0.50		5	122
#	-1.124;0.101	100001011011101	0.117	0.651	2	211.35	399982	398430	0.50		66	1093
-1.317;-0.728	-1.385;0.090	000000000100000	0.055	0.560	2	137.14	399971	398449	1.00		24	50
0.045;0.617	#	000001100010000	0.024	0.475	2	215.36	399958	398452	0.50		43	551
-0.931;-0.251	-0.713;0.531	100101001011000	0.064	0.576	1	202.03	399878	398480	1.00		6	367
-0.062;0.910	-0.905;0.212	000001011011101	0.339	0.805	1	216.08	399986	398482	1.00		79	580
-1.114;-0.746	-0.500;0.765	110000000000000	0.035	0.512	1	152.48	399494	398490	1.00		2	28
-1.068;-0.196	-0.580;0.014	100100000100000	0.022	0.467	1	212.05	399969	398496	1.00		19	275
-0.127;0.776	-1.296;-0.393	000001011010101	0.184	0.713	1	224.23	399904	398506	1.00		8	247
0.071;1.130	-0.442;0.388	000001011010101	0.299	0.786	1	223.91	399904	398506	1.00		19	338
#	0.614;3.300	000010000010000	0.181	0.710	3	150.70	399983	398534	0.50		38	105
-0.065;0.719	-3.050;0.520	000001011011100	0.276	0.773	1	227.48	399993	398559	1.00		51	631
-0.065;0.719	-1.549;0.369	000001011011100	0.340	0.806	2	233.34	399993	398559	1.00		51	559
-0.347;0.434	-0.515;0.884	100001011011000	0.211	0.733	1	231.39	399991	398563	1.00		25	699
-1.245;-0.728	-1.333;0.090	000000000100000	0.047	0.542	1	137.19	399971	398573	1.00		22	48
-1.317;-0.728	-1.385;-0.504	000000000100000	1.000	1.000	2	120.99	399971	398573	1.00		16	16
0.756;1.169	-0.451;1.791	000001000010000	0.708	0.933	1	169.19	399977	398579	1.00		36	45
0.674;1.733	#	000001000010000	0.527	0.880	1	163.25	399977	398579	0.50		46	72
0.426;1.397	0.181;0.205	000000000010000	0.043	0.533	1	206.25	398580	398580	1.00		0	4
