Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
3500	314	600	0.2199	0.1317	0.10	0.52	0.000	0.000	0.000
7000	377	600	0.2143	0.1371	0.14	1.29	0.000	0.000	0.000
10500	438	600	0.1991	0.1477	0.15	2.25	0.000	0.000	0.000
14000	433	600	0.1933	0.148	0.16	3.18	0.000	0.000	0.000
17500	428	600	0.2093	0.1303	0.16	4.14	0.000	0.000	0.000
21000	428	600	0.212	0.1294	0.15	5.12	0.000	0.000	0.000
24500	431	600	0.1901	0.1469	0.14	6.06	0.000	0.000	0.000
28000	441	600	0.2045	0.1531	0.16	7.03	0.000	0.000	0.000
31500	430	600	0.2077	0.1397	0.15	7.99	0.000	0.000	0.000
35000	439	600	0.1994	0.1489	0.15	8.96	0.000	0.000	0.000
38500	434	600	0.1989	0.1531	0.15	9.87	0.000	0.000	0.000
42000	430	600	0.1953	0.1657	0.14	10.84	0.000	0.000	0.000
45500	432	600	0.1974	0.1669	0.14	11.80	0.000	0.000	0.000
49000	423	600	0.1796	0.2026	0.14	12.70	0.000	0.000	0.000
52500	402	600	0.1873	0.1823	0.13	13.66	0.000	0.000	0.000
56000	418	600	0.1773	0.1743	0.12	14.52	0.000	0.000	0.000
59500	417	600	0.1781	0.1934	0.14	15.40	0.000	0.000	0.000
63000	433	600	0.1708	0.2083	0.14	16.27	0.000	0.000	0.000
66500	437	600	0.1775	0.2066	0.14	17.25	0.000	0.000	0.000
70000	426	600	0.1618	0.2051	0.15	18.22	0.000	0.000	0.000
73500	428	600	0.1801	0.1871	0.14	19.20	0.000	0.000	0.000
77000	438	600	0.1718	0.1957	0.16	20.22	0.000	0.000	0.000
80500	440	600	0.1892	0.2011	0.15	21.22	0.000	0.000	0.000
84000	423	600	0.1886	0.1923	0.15	22.24	0.000	0.000	0.000
87500	417	600	0.1672	0.2026	0.14	23.18	0.000	0.000	0.000
91000	437	600	0.1752	0.208	0.14	24.17	0.000	0.000	0.000
94500	425	600	0.1773	0.1871	0.14	25.14	0.000	0.000	0.000
98000	426	600	0.1873	0.1703	0.15	25.98	0.000	0.000	0.000
101500	412	600	0.1849	0.1526	0.14	26.88	0.000	0.000	0.000
105000	402	600	0.181	0.1874	0.14	27.74	0.000	0.000	0.000
108500	410	600	0.1522	0.238	0.15	28.62	0.000	0.000	0.000
112000	427	600	0.1648	0.2	0.14	29.74	0.000	0.000	0.000
115500	434	600	0.1813	0.1946	0.14	30.69	0.000	0.000	0.000
119000	438	600	0.182	0.1829	0.15	31.65	0.000	0.000	0.000
122500	447	600	0.1866	0.1906	0.16	32.65	0.000	0.000	0.000
126000	425	600	0.1893	0.1971	0.14	33.56	0.000	0.000	0.000
129500	417	600	0.1709	0.222	0.15	34.44	0.000	0.000	0.000
133000	398	600	0.1899	0.1806	0.13	35.42	0.000	0.000	0.000
136500	425	600	0.1834	0.1797	0.14	36.31	0.000	0.000	0.000
140000	430	600	0.1828	0.1894	0.14	37.27	0.000	0.000	0.000
143500	435	600	0.1743	0.1986	0.16	38.26	0.000	0.000	0.000
147000	443	600	0.167	0.2189	0.15	39.30	0.000	0.000	0.000
150500	419	600	0.1761	0.1937	0.14	40.29	0.000	0.000	0.000
154000	434	600	0.1729	0.1923	0.15	41.29	0.000	0.000	0.000
157500	425	600	0.1698	0.2194	0.16	42.25	0.000	0.000	0.000
161000	424	600	0.1748	0.2289	0.15	43.24	0.000	0.000	0.000
164500	446	600	0.1903	0.1706	0.16	44.22	0.000	0.000	0.000
168000	449	600	0.1914	0.174	0.15	45.22	0.000	0.000	0.000
171500	445	600	0.1833	0.208	0.16	46.22	0.000	0.000	0.000
175000	430	600	0.175	0.1823	0.15	47.14	0.000	0.000	0.000
178500	445	600	0.186	0.1774	0.14	48.07	0.000	0.000	0.000
182000	440	600	0.191	0.1429	0.15	49.05	0.000	0.000	0.000
185500	429	600	0.1551	0.212	0.15	49.95	0.000	0.000	0.000
189000	437	600	0.1581	0.2214	0.15	50.87	0.000	0.000	0.000
192500	435	600	0.1548	0.2391	0.16	51.80	0.000	0.000	0.000
196000	445	600	0.1715	0.2074	0.15	52.66	0.000	0.000	0.000
199500	439	600	0.1692	0.212	0.15	53.61	0.000	0.000	0.000
203000	428	600	0.1724	0.2271	0.15	54.53	0.000	0.000	0.000
206500	424	600	0.1857	0.1983	0.14	55.41	0.000	0.000	0.000
210000	425	600	0.1955	0.18	0.15	56.28	0.000	0.000	0.000
213500	404	600	0.1644	0.2249	0.14	57.19	0.000	0.000	0.000
