att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-0.118;0.113	-0.549;-0.240	11000100	0.132	0.667	2	25.02	399876	23938	1.00		6455	9683
#	-0.114;0.055	11101101	0.062	0.573	3	37.07	399979	105638	0.50		24847	43374
-0.118;0.327	-0.549;-0.240	11000100	0.068	0.583	3	20.39	399876	134807	1.00		5309	9102
-0.359;0.113	-0.240;-0.218	11000100	1.000	1.000	2	12.52	399651	147052	1.00		723	723
-0.501;0.047	0.529;0.658	11101001	0.159	0.692	3	33.43	399984	177942	1.00		5715	8257
0.313;0.433	#	11000000	1.000	1.000	5	38.01	399987	243669	0.50		4921	4921
-1.302;-0.305	0.080;0.580	01101011	0.082	0.607	3	40.72	399980	269315	1.00		12714	20942
#	-0.101;0.055	11101101	0.098	0.628	7	37.46	399979	275402	0.50		10517	16750
-0.070;0.186	0.062;0.658	11101001	1.000	1.000	1	44.00	399984	277991	1.00		14663	14663
0.313;0.499	#	11000000	0.601	0.903	3	34.65	399987	281236	0.50		4758	5268
-0.425;0.243	-0.382;-0.240	11000100	0.091	0.619	3	20.91	399876	283425	1.00		2167	3500
#	-0.240;-0.218	11000100	0.132	0.667	1	12.76	399651	293814	0.50		303	454
-0.532;-0.320	0.080;0.493	01101011	1.000	1.000	6	44.41	399980	307603	1.00		8330	8330
-0.532;-0.351	0.080;0.493	01101011	1.000	1.000	2	45.37	399980	310969	1.00		6753	6753
#	-4.466;-0.631	00010000	1.000	1.000	3	47.33	399993	316043	0.50		3962	3962
-0.070;0.186	0.101;0.658	11101001	1.000	1.000	2	44.36	399984	325890	1.00		8377	8377
-0.719;-0.582	-0.187;0.683	01001001	1.000	1.000	1	35.42	399940	328277	1.00		2260	2260
-0.532;-0.320	0.080;0.448	01101011	1.000	1.000	3	45.03	399980	329702	1.00		5535	5535
#	-0.737;-0.523	00010100	0.078	0.600	2	31.03	399977	330776	0.50		1188	1981
-0.374;0.119	-0.737;-0.523	00010100	0.670	0.923	1	29.29	399977	334271	1.00		1128	1222
-0.317;-0.111	0.066;0.509	11101011	1.000	1.000	4	39.58	399997	334377	1.00		6287	6287
-0.304;0.090	-0.114;0.148	11101101	0.093	0.622	1	36.19	399949	336364	1.00		4641	7464
#	-4.499;-0.631	00010000	1.000	1.000	3	47.33	399993	337211	0.50		2963	2963
-0.719;-0.559	0.137;0.683	01001001	0.377	0.823	2	32.41	399940	342336	1.00		1156	1405
-1.767;-0.636	-0.752;-0.026	01000000	0.132	0.667	3	23.06	399948	342720	1.00		327	490
-0.070;0.186	0.234;0.658	11101001	1.000	1.000	2	47.05	399984	345413	1.00		4532	4532
0.220;0.308	0.074;0.937	11001000	1.000	1.000	1	24.17	399970	348754	1.00		733	733
-0.398;0.112	0.464;0.658	11101001	0.308	0.790	2	43.93	399984	349497	1.00		2454	3106
-0.532;-0.320	0.072;0.533	01101011	0.928	0.985	2	43.52	399980	349561	1.00		4763	4835
-4.481;-0.701	-0.192;0.744	01001000	0.634	0.913	1	35.01	399983	350470	1.00		1487	1629
-0.306;0.307	0.712;0.891	11001000	0.262	0.765	2	33.16	399965	351734	1.00		897	1173
-5.288;-0.712	-0.019;0.744	01001000	0.785	0.953	2	35.72	399983	352795	1.00		1349	1416
0.113;0.197	-0.240;-0.218	11000100	0.100	1.000	1	16.54	354627	354627	1.00		0	0
-3.773;-0.712	-0.019;0.744	01001000	0.785	0.953	1	35.72	399983	355657	1.00		1268	1331
-0.317;-0.111	0.071;0.509	11101011	1.000	1.000	4	39.58	399997	356659	1.00		4154	4154
-0.317;-0.111	0.066;0.080	11101011	0.100	1.000	1	37.07	357339	357339	1.00		0	0
0.313;0.499	-1.882;3.704	11000000	0.601	0.903	1	34.65	399987	357991	1.00		1681	1861
-0.019;0.186	0.062;0.658	11101001	1.000	1.000	1	40.90	399960	358473	1.00		4097	4097
-0.719;-0.582	#	01001001	0.098	0.629	6	32.25	399940	359517	0.50		1274	2027
-0.335;0.256	-0.382;-0.240	11000100	0.261	0.764	3	22.72	399876	360188	1.00		740	968
-0.306;0.308	0.712;0.888	11001000	0.353	0.812	2	33.06	399965	360499	1.00		735	905
#	0.814;2.787	00001000	0.328	0.800	3	30.79	399974	361023	0.50		669	836
-0.334;0.307	0.712;1.383	11001000	0.116	0.650	2	31.12	399965	361224	1.00		720	1108
#	0.814;3.766	00001000	0.329	0.800	1	30.79	399974	361685	0.50		658	822
0.220;0.307	0.074;0.937	11001000	1.000	1.000	1	24.17	399970	362378	1.00		537	537
-0.162;0.186	0.063;0.658	11101001	0.618	0.908	4	43.57	399984	362416	1.00		5318	5855
#	-1.097;-0.549	00010000	0.178	0.708	1	38.83	399993	363945	0.50		1755	2478
0.113;0.137	-0.549;-0.240	11000100	0.013	0.667	1	28.04	365332	365332	1.00		0	0
-0.304;0.246	-0.114;0.055	11101101	0.525	0.879	2	36.46	399979	365602	1.00		2853	3246
-0.963;-0.693	-1.589;-0.026	01000000	0.323	0.797	1	21.61	399948	366591	1.00		189	237
-0.532;-0.320	0.080;0.402	01101011	1.000	1.000	3	45.69	399980	366973	1.00		2313	2313
-0.277;-0.111	0.066;0.509	11101011	1.000	1.000	2	40.05	399997	367439	1.00		2467	2467
-0.306;0.308	0.712;0.802	11001000	1.000	1.000	4	32.18	399870	367895	1.00		411	411
-4.481;-0.712	-0.019;0.744	01001000	0.785	0.953	3	35.72	399983	368271	1.00		907	952
-0.096;0.287	0.062;0.582	11101001	0.559	0.890	1	40.40	399960	369331	1.00		3555	3994
-5.288;-0.712	#	01001000	0.211	0.733	2	30.96	399983	369637	0.50		955	1303
-0.096;0.186	0.062;0.658	11101001	1.000	1.000	1	43.86	399984	370532	1.00		3879	3879
-0.374;0.634	-0.707;-0.523	00010100	0.238	0.750	2	27.31	399977	370808	1.00		502	669
0.468;3.276	-1.853;2.532	10000000	1.000	1.000	1	47.91	399996	371261	1.00		2304	2304
-0.304;0.580	-0.101;0.055	11101101	0.420	0.841	2	38.48	399979	371456	1.00		2367	2816
-0.317;-0.111	0.071;0.262	11101011	1.000	1.000	1	39.61	399997	372298	1.00		1264	1264
-0.719;-0.559	-0.187;0.387	01001001	0.513	0.875	1	32.91	399916	372349	1.00		554	633
0.468;3.808	#	10000000	1.000	1.000	4	47.91	399996	372861	0.50		2178	2178
-0.096;0.186	0.063;0.658	11101001	1.000	1.000	3	43.86	399984	372901	1.00		3563	3563
-0.096;0.186	0.234;0.658	11101001	1.000	1.000	2	46.48	399984	373376	1.00		2515	2515
-0.070;0.089	0.063;0.658	11101001	1.000	1.000	1	44.22	399984	373447	1.00		2051	2051
-0.512;0.246	-0.101;0.055	11101101	0.304	0.788	3	36.11	399979	373742	1.00		2220	2817
-0.493;0.292	-4.466;-0.631	00010000	1.000	1.000	2	47.83	399993	374511	1.00		911	911
-0.335;0.256	-0.382;-0.263	11000100	0.158	0.691	1	22.44	399728	374916	1.00		322	466
0.313;0.433	-0.105;0.594	11000000	1.000	1.000	1	40.28	399887	375319	1.00		496	496
-0.277;-0.135	0.066;0.509	11101011	1.000	1.000	1	40.41	399997	376171	1.00		1600	1600
0.468;3.479	#	10000000	1.000	1.000	2	47.91	399996	376248	0.50		1902	1902
0.220;0.308	-0.013;0.937	11001000	0.324	0.798	8	26.80	399970	376415	1.00		404	506
0.313;0.433	-0.147;0.325	11000000	1.000	1.000	2	42.88	399887	376698	1.00		368	368
0.468;3.832	#	10000000	1.000	1.000	3	47.91	399996	376772	0.50		1862	1862
-0.317;-0.111	0.071;0.499	11101011	1.000	1.000	1	39.36	399997	376784	1.00		2122	2122
-3.964;-0.712	-0.019;0.744	01001000	0.785	0.953	3	35.72	399983	377393	1.00		644	676
-5.288;-0.712	0.399;1.211	01001000	0.330	0.801	1	31.16	399983	377447	1.00		387	483
-3.964;-0.712	0.043;1.440	01001000	0.382	0.825	1	32.26	399983	377731	1.00		604	732
-0.269;0.307	1.383;1.600	11001000	0.010	0.632	1	29.51	377843	377843	1.00		0	0
-0.532;-0.351	-0.212;0.676	01101011	0.149	0.684	1	36.84	399980	377970	1.00		1768	2586
0.468;2.973	0.385;0.914	10000000	1.000	1.000	1	44.76	399969	378086	1.00		690	690
-0.118;0.179	-0.549;-0.240	11000100	0.133	0.668	3	25.02	399876	378884	1.00		362	542
-0.719;-0.582	-0.078;1.319	01001001	0.500	0.871	1	35.63	399940	379587	1.00		585	672
-0.362;0.307	0.712;1.383	11001000	0.114	0.647	1	31.12	399965	379599	1.00		378	584
-0.532;-0.320	0.080;0.765	01101011	0.377	0.823	1	39.74	399980	379682	1.00		1889	2296
0.468;3.479	-1.853;0.914	10000000	1.000	1.000	1	47.91	399996	380183	1.00		1587	1587
-0.631;0.202	-0.737;-0.523	00010100	0.174	0.705	1	33.21	399977	380331	1.00		337	478
-0.019;0.452	0.062;0.658	11101001	0.182	0.711	1	36.02	399960	380785	1.00		1898	2669
-1.445;0.512	-4.499;-0.631	00010000	1.000	1.000	1	47.33	399993	381120	1.00		891	891
0.468;3.832	-1.853;2.796	10000000	1.000	1.000	2	47.91	399996	381441	1.00		1488	1488
0.220;0.308	0.209;0.937	11001000	1.000	1.000	1	24.69	399970	381950	1.00		231	231
#	-0.610;-0.523	00010100	0.184	0.713	4	26.82	399977	382403	0.50		251	352
-0.398;0.186	0.464;0.658	11101001	0.368	0.819	5	45.01	399984	382849	1.00		1004	1226
-0.844;0.178	-4.466;-0.631	00010000	1.000	1.000	2	47.33	399993	382854	1.00		810	810
-0.815;0.512	-4.466;-0.631	00010000	1.000	1.000	2	47.33	399993	382854	1.00		810	810
#	-0.114;0.027	11101101	0.072	0.592	1	37.08	399979	382926	0.50		1199	2027
-3.964;-0.712	-0.192;0.744	01001000	0.794	0.955	2	35.46	399983	382985	1.00		508	532
0.313;0.433	-0.141;0.188	11000000	1.000	1.000	1	45.89	399887	383746	1.00		139	139
#	0.814;4.377	00001000	0.328	0.800	3	30.79	399974	384170	0.50		272	340
0.296;0.433	#	11000000	0.664	0.921	1	37.58	399987	384338	0.50		515	559
-0.317;-0.135	0.066;0.509	11101011	1.000	1.000	4	39.81	399997	384708	1.00		1331	1331
0.313;0.433	-0.136;0.374	11000000	1.000	1.000	2	42.24	399887	384888	1.00		259	259
-0.719;-0.582	-0.187;1.319	01001001	0.530	0.881	1	35.11	399940	385237	1.00		465	528
0.465;0.976	-1.853;2.532	10000000	0.912	0.982	1	47.31	399996	385446	1.00		1127	1148
0.468;3.832	-0.522;-0.012	10000000	1.000	1.000	1	48.86	399951	385658	1.00		430	430
-0.532;-0.303	0.080;0.493	01101011	0.552	0.888	3	44.12	399980	385777	1.00		1284	1446
-0.464;0.569	0.712;0.888	11001000	0.072	0.590	1	27.89	399965	385883	1.00		262	444
