Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
1000	59	96	0.142	0.661	0.15	0.01	1.965	0.61	0.000
2000	124	212	0.16	0.612	0.13	0.04	1.856	0.665	0.000
3000	174	303	0.159	0.609	0.13	0.09	1.841	0.682	0.000
4000	235	403	0.146	0.637	0.12	0.15	1.883	0.68	0.000
5000	276	477	0.132	0.675	0.12	0.23	1.918	0.687	0.000
6000	305	500	0.099	0.737	0.12	0.31	1.986	0.716	0.000
7000	302	500	0.085	0.772	0.11	0.39	2.032	0.714	0.004
8000	306	500	0.084	0.772	0.11	0.48	2.025	0.724	0.000
9000	306	500	0.08	0.778	0.10	0.56	2.029	0.731	0.004
10000	305	500	0.078	0.789	0.10	0.64	2.032	0.735	0.006
11000	314	500	0.078	0.786	0.10	0.71	2.035	0.732	0.000
12000	320	500	0.076	0.79	0.10	0.79	2.039	0.733	0.013
13000	323	500	0.077	0.787	0.09	0.87	2.029	0.739	0.010
14000	328	500	0.071	0.802	0.09	0.95	2.048	0.738	0.004
15000	328	500	0.073	0.794	0.09	1.02	2.043	0.738	0.000
16000	326	500	0.069	0.802	0.09	1.09	2.052	0.742	0.004
17000	327	500	0.065	0.809	0.08	1.15	2.046	0.758	0.008
18000	333	500	0.066	0.805	0.08	1.22	2.05	0.751	0.004
19000	335	500	0.065	0.811	0.08	1.28	2.049	0.756	0.000
20000	338	500	0.066	0.807	0.08	1.35	2.046	0.757	0.006
21000	335	500	0.062	0.818	0.08	1.41	2.057	0.756	0.006
22000	342	500	0.064	0.812	0.07	1.48	2.056	0.751	0.005
23000	344	500	0.062	0.822	0.08	1.54	2.051	0.764	0.004
24000	343	500	0.057	0.836	0.08	1.60	2.05	0.778	0.012
25000	357	500	0.054	0.842	0.09	1.66	2.047	0.791	0.000
26000	355	500	0.055	0.84	0.08	1.73	2.047	0.788	0.000
27000	357	500	0.054	0.845	0.08	1.79	2.046	0.793	0.008
28000	360	500	0.052	0.851	0.08	1.85	2.047	0.798	0.000
29000	367	500	0.05	0.854	0.08	1.92	2.058	0.791	0.010
30000	365	500	0.051	0.852	0.08	1.98	2.049	0.797	0.009
31000	360	500	0.05	0.855	0.07	2.04	2.051	0.798	0.009
32000	369	500	0.05	0.856	0.08	2.11	2.042	0.808	0.025
33000	366	500	0.047	0.863	0.08	2.17	2.052	0.806	0.004
34000	369	500	0.047	0.862	0.08	2.23	2.046	0.812	0.004
35000	370	500	0.049	0.857	0.08	2.29	2.045	0.808	0.000
36000	376	500	0.043	0.872	0.08	2.36	2.061	0.809	0.017
37000	378	500	0.046	0.866	0.08	2.43	2.057	0.806	0.023
38000	381	500	0.047	0.861	0.08	2.49	2.054	0.804	0.012
39000	380	500	0.044	0.873	0.08	2.55	2.056	0.812	0.005
