att1	att2	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0.306;0.476	#	11000000	1.000	1.000	3	43.07	399987	57516	0.50		14209	14209
0.229;0.349	-0.027;1.167	11001000	0.070	0.588	18	38.20	399970	166111	1.00		3345	5686
-0.260;0.273	0.104;0.680	11101001	0.117	0.651	4	39.93	399984	228481	1.00		23310	35825
-0.468;-0.103	0.580;0.640	11101001	0.327	0.800	1	26.86	399825	234140	1.00		1897	2372
#	-2.399;-0.628	00010000	1.000	1.000	1	50.02	399993	238328	0.50		7632	7632
-0.574;-0.318	0.097;0.569	01101011	0.569	0.893	1	38.63	399980	273434	1.00		12131	13580
-0.722;-0.562	-0.169;0.543	01001001	0.542	0.885	3	34.45	399940	295097	1.00		3450	3900
-0.658;0.492	0.858;1.338	00001000	1.000	1.000	1	33.56	399974	301104	1.00		1273	1273
-3.735;-0.710	0.253;0.790	01001000	1.000	1.000	1	28.80	399983	301834	1.00		1825	1825
-0.079;0.313	0.694;0.871	11001000	1.000	1.000	1	34.00	399965	311678	1.00		1137	1137
-0.529;-0.318	0.071;0.483	01101011	1.000	1.000	1	41.72	399980	317344	1.00		7214	7214
-0.103;0.176	0.068;0.653	11101001	1.000	1.000	1	45.54	399984	317963	1.00		10799	10799
-0.722;-0.562	0.157;0.541	01001001	0.669	0.923	3	40.62	399940	319153	1.00		1388	1504
-3.335;-0.710	#	01001000	0.211	0.733	1	25.19	399983	327049	0.50		2294	3130
-0.307;-0.107	0.076;0.512	11101011	0.852	0.968	5	37.60	399997	332557	1.00		5884	6076
-0.137;0.557	-0.134;-0.131	11000100	0.100	1.000	1	7.33	334174	334174	1.00		0	0
-0.307;-0.131	0.076;0.508	11101011	1.000	1.000	2	38.80	399997	334609	1.00		5237	5237
-0.574;-0.318	0.101;0.569	01101011	0.569	0.893	1	38.63	399980	334864	1.00		6245	6991
#	-2.889;-0.628	00010000	1.000	1.000	4	50.02	399993	335926	0.50		3026	3026
0.302;0.476	#	11000000	1.000	1.000	7	43.07	399987	337077	0.50		2610	2610
-0.353;0.313	0.694;0.871	11001000	0.691	0.929	4	32.83	399965	338939	1.00		1134	1221
