Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-90.537;-73.848	0.017;0.103	0.168;0.374	0.232;0.311	-0.498;0.577	#	-0.006;0.172	#	#	#	0.615;1.268	0.543;0.881	-0.012;0.305	0.008;0.136	0.002;0.013	0.194;0.811	0.143;1.165	0.088;0.978	#	0.073;0.098	#	#	001100	1.000	1.000	1	106.12	9907	26	0.68		26	26
#	#	#	0.189;0.350	-0.202;0.239	#	-0.027;0.104	0.109;0.239	#	#	#	#	#	#	#	-0.044;1.017	#	#	#	0.054;0.101	0.698;1.576	#	001100	0.080	0.603	1	85.17	9909	28	0.32		76	126
#	0.009;0.069	0.227;0.325	0.186;0.371	#	#	#	#	0.542;1.089	3.090;12.101	#	0.546;0.786	-0.107;0.322	#	#	-0.180;0.669	0.550;1.505	#	#	#	#	#	001100	1.000	1.000	1	73.91	9907	32	0.41		51	51
#	0.070;0.206	#	0.059;0.150	0.285;1.413	#	0.272;0.391	#	-0.007;0.392	2.265;9.424	#	0.284;0.617	#	#	0.015;0.023	#	-0.202;0.552	0.799;2.887	0.459;0.750	#	#	#	010010	1.000	1.000	3	71.38	9966	85	0.50		26	26
#	#	0.094;0.332	#	#	4.267;12.199	-0.119;0.190	0.199;0.417	0.683;1.287	#	#	0.335;0.668	#	#	#	-0.638;0.172	0.255;1.075	-0.237;1.303	#	0.059;0.091	#	-0.134;0.620	001110	1.000	1.000	2	85.82	9979	98	0.50		26	26
-96.975;-79.002	0.033;0.165	0.001;0.172	#	#	#	#	#	#	#	-0.227;0.402	0.389;0.782	#	#	0.019;0.026	#	#	#	#	0.134;0.168	#	#	000001	1.000	1.000	2	36.41	9980	99	0.32		26	26
-76.840;-59.294	#	-0.049;0.125	0.018;0.094	1.301;1.953	#	0.232;0.400	#	-0.151;0.373	#	#	0.262;0.595	0.220;0.636	-0.033;0.073	#	-0.452;0.223	#	#	-0.084;0.443	#	-0.172;0.981	0.779;1.910	110000	0.132	0.667	2	92.43	9881	120	0.59		50	75
#	0.062;0.187	#	#	-0.326;0.326	#	-0.003;0.242	0.041;0.175	#	5.032;8.242	#	#	#	#	0.005;0.015	0.054;1.404	0.036;0.823	0.027;0.986	0.376;1.063	#	#	-0.278;0.458	001110	0.076	0.597	1	54.04	9797	185	0.50		74	124
-110.990;-84.031	0.033;0.156	-0.003;0.223	0.018;0.112	-0.555;0.555	#	#	-0.051;0.218	#	6.588;15.352	0.027;0.816	0.227;0.598	#	#	0.002;0.013	-0.035;0.852	0.198;1.052	#	0.337;0.770	#	0.791;1.779	#	101000	1.000	1.000	2	69.57	9690	200	0.64		25	25
#	-0.015;0.110	#	0.231;0.322	#	#	0.013;0.136	0.119;0.215	0.031;0.555	-0.758;5.290	#	0.508;0.671	0.040;0.298	#	#	#	0.071;0.707	#	#	#	#	#	010000	1.000	1.000	1	53.80	9692	202	0.41		26	26
#	-0.049;0.014	0.002;0.157	0.020;0.147	#	#	-0.066;0.193	-0.105;0.179	-0.238;0.617	#	-0.317;0.381	0.256;0.567	#	0.016;0.079	#	0.140;1.046	-0.470;0.651	1.680;3.186	0.066;0.434	0.073;0.098	#	#	100001	0.000	0.273	1	56.14	209	209	0.64		0	0
#	-0.019;0.133	0.116;0.313	0.182;0.372	-0.169;0.607	3.080;9.690	#	#	0.010;0.797	4.633;11.421	#	0.547;0.689	#	#	0.005;0.010	-0.159;1.249	#	#	#	#	2.143;3.707	#	001000	1.000	1.000	2	70.49	9701	211	0.50		26	26
