Att1	Att2	Att3	Att4	Att5	Att6	Att7	Att8	Att9	Att10	Att11	Att12	Att13	Att14	Att15	Att16	Att17	Att18	Att19	Att20	Att21	Att22	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
#	0.045;0.121	-0.043;0.192	0.157;0.225	0.054;0.848	#	0.205;0.501	#	0.035;0.388	#	#	#	#	#	#	0.583;1.374	#	#	0.030;0.510	0.069;0.124	#	#	011000	1.000	1.000	1	111.76	9711	221	0.41		26	26
-95.775;-73.522	#	0.027;0.147	#	#	3.258;6.262	#	-0.038;0.150	#	#	#	#	0.304;0.581	0.006;0.059	#	0.569;1.495	#	1.983;3.181	0.304;0.737	#	#	#	010000	1.000	1.000	2	44.57	9726	236	0.41		26	26
#	0.195;0.275	0.041;0.133	0.006;0.183	#	#	0.045;0.267	-0.048;0.213	#	#	#	#	0.021;0.265	#	0.007;0.013	0.558;1.233	#	#	#	#	#	#	000100	1.000	1.000	2	40.13	9761	271	0.36		26	26
#	0.083;0.230	#	0.055;0.128	#	#	0.173;0.386	#	0.188;0.667	3.099;12.233	0.122;0.615	0.415;0.639	#	#	0.006;0.011	#	0.086;0.504	-0.090;1.793	0.134;0.370	#	#	-0.204;0.550	001010	0.078	0.600	1	71.33	9938	313	0.55		75	125
#	-0.010;0.079	#	0.051;0.184	#	#	-0.032;0.113	#	#	#	#	0.370;0.503	#	#	#	0.057;1.330	0.081;0.517	-1.117;-0.414	0.466;0.767	#	#	#	000110	0.000	0.278	1	75.14	412	412	0.36		0	0
-82.681;-68.987	0.095;0.214	0.074;0.300	#	#	-1.362;6.209	0.015;0.319	#	0.070;0.400	#	#	#	0.139;0.184	0.014;0.104	0.002;0.015	0.466;1.006	#	#	-0.047;0.621	#	#	0.068;1.055	100000	0.003	0.500	1	52.25	439	439	0.55		0	0
#	0.070;0.206	#	0.059;0.150	0.285;1.413	#	0.272;0.391	#	#	2.265;9.424	#	0.284;0.617	#	0.010;0.107	#	#	-0.202;0.552	0.799;2.887	0.459;0.750	0.107;0.139	#	#	010010	1.000	1.000	1	74.76	9966	476	0.50		24	24
-96.975;-79.002	0.033;0.165	0.001;0.172	#	#	#	#	#	#	#	-0.227;0.402	0.389;0.782	#	-0.035;0.086	0.019;0.026	#	#	#	#	0.134;0.168	#	#	000001	1.000	1.000	1	37.82	9980	490	0.36		24	24
#	0.033;0.294	#	0.030;0.150	#	#	#	0.235;0.361	#	#	#	#	-0.041;0.242	#	#	#	#	-0.787;1.461	#	0.062;0.090	#	#	001110	1.000	1.000	1	95.83	9722	561	0.27		48	48
#	-0.015;0.110	#	0.231;0.322	#	#	0.013;0.136	0.119;0.215	0.031;0.555	-0.758;5.290	#	0.508;0.671	0.040;0.298	#	#	#	0.071;0.707	1.113;2.927	#	#	#	#	010000	1.000	1.000	2	57.70	9692	593	0.45		24	24
-85.463;-64.922	#	-0.014;0.170	0.036;0.166	-0.294;-0.154	-0.158;2.459	#	#	#	0.062;4.753	-0.251;0.588	#	#	0.009;0.135	#	#	#	#	#	0.076;0.103	0.458;0.946	#	000001	0.000	0.241	1	213.51	603	603	0.45		0	0
#	#	-0.034;0.204	#	#	-2.579;4.512	#	-0.012;0.103	#	#	-0.157;0.448	0.275;0.521	0.309;0.514	#	#	#	-0.183;0.754	#	#	#	#	#	100001	0.038	0.521	1	61.46	9934	610	0.32		310	595
-95.775;-73.522	#	0.027;0.147	#	#	3.258;6.262	#	-0.038;0.150	#	#	#	#	0.304;0.581	0.006;0.059	#	#	#	1.983;3.181	0.304;0.737	#	#	#	010000	1.000	1.000	1	46.60	9726	627	0.36		24	24
#	#	#	#	#	#	0.337;0.482	#	#	#	-0.166;0.562	#	#	#	#	#	-0.336;0.820	0.007;1.000	#	0.076;0.132	0.191;1.837	-0.162;0.305	001000	0.078	0.600	1	79.26	9877	650	0.32		72	120
#	0.195;0.275	0.041;0.133	0.006;0.183	#	#	0.045;0.267	-0.048;0.213	#	#	#	#	-0.092;0.265	#	0.007;0.013	0.558;1.233	#	#	#	#	#	#	000100	1.000	1.000	2	41.53	9761	662	0.36		24	24
#	0.195;0.275	0.041;0.133	0.006;0.183	#	3.021;11.674	0.045;0.267	-0.048;0.213	#	#	#	#	0.021;0.265	#	0.007;0.013	0.558;1.233	#	#	#	#	#	#	000100	1.000	1.000	1	41.53	9761	662	0.41		24	24
#	#	0.285;0.285	0.169;0.294	-0.617;0.617	-0.144;8.148	-0.029;0.135	0.233;0.340	0.902;1.461	4.905;8.238	0.269;1.120	#	#	#	#	#	1.479;1.981	#	#	#	#	-0.569;0.652	000110	0.100	1.000	1	19.00	691	691	0.50		0	0
#	#	0.187;0.285	0.169;0.294	-0.617;0.617	-0.144;8.148	-0.029;0.135	0.233;0.340	0.902;1.461	4.905;8.238	#	#	#	#	#	#	1.479;1.981	#	#	#	#	-0.569;0.652	000110	1.000	1.000	1	45.36	9790	691	0.45		24	24
#	-0.033;0.112	#	0.189;0.350	#	#	-0.027;0.104	#	#	#	#	#	#	0.004;0.104	#	-0.044;1.017	#	-0.425;1.457	#	0.054;0.101	#	#	001100	0.043	0.532	1	70.58	9909	700	0.32		190	357
-76.840;-59.294	0.020;0.132	-0.049;0.125	0.018;0.094	1.301;1.953	#	0.232;0.400	-0.062;0.187	-0.151;0.373	#	#	0.178;0.595	0.220;0.636	-0.033;0.073	#	-0.452;0.223	#	#	-0.084;0.443	#	#	0.779;1.910	110000	0.123	0.657	1	92.49	9881	782	0.64		46	70
-65.694;-61.913	-0.019;0.117	#	#	0.844;1.955	#	0.195;0.386	-0.023;0.218	#	#	#	#	0.313;0.775	#	#	-0.190;0.910	-0.245;0.558	#	#	#	#	#	100000	1.000	1.000	1	146.58	9903	804	0.36		23	23
#	-0.053;0.112	#	0.189;0.350	#	#	#	#	#	#	0.887;1.677	#	#	0.004;0.104	#	-0.044;1.017	#	-0.425;0.978	#	0.054;0.101	#	#	001100	1.000	1.000	2	76.43	9909	810	0.32		70	70
-103.154;-57.995	#	#	0.149;0.243	#	-0.447;7.845	#	0.062;0.219	0.006;1.206	#	#	0.460;0.771	#	0.006;0.121	#	#	#	0.336;1.500	#	0.058;0.102	#	0.155;0.657	011000	0.045	0.538	1	86.11	9996	823	0.45		327	608
-77.743;-60.626	#	0.063;0.259	#	-0.324;0.487	0.329;8.502	0.011;0.261	#	#	#	-0.045;0.560	#	#	#	0.009;0.017	#	#	#	0.377;0.979	0.105;0.113	1.134;2.259	-0.305;0.862	100000	0.000	0.286	1	143.66	940	940	0.50		0	0
#	0.062;0.187	#	#	-0.326;0.326	#	-0.003;0.242	0.041;0.175	#	5.032;8.242	#	#	#	#	0.005;0.013	0.054;1.404	0.036;0.823	0.027;0.986	#	#	#	-0.278;0.458	001110	0.233	0.747	2	60.33	9797	967	0.45		68	91
#	-0.015;0.110	#	0.231;0.322	#	#	0.013;0.136	0.119;0.215	0.031;0.555	-0.758;5.290	#	0.508;0.671	0.040;0.298	#	#	#	#	#	#	#	#	#	010000	1.000	1.000	1	57.91	9692	984	0.36		23	23
-95.775;-73.522	#	0.027;0.226	#	#	3.258;6.262	#	-0.038;0.150	#	#	#	#	0.304;0.581	0.006;0.059	#	0.569;1.495	#	1.983;3.181	0.304;0.737	0.108;0.147	#	#	010000	1.000	1.000	1	46.98	9726	1018	0.45		23	23
-103.154;-57.995	#	#	#	#	#	#	0.092;0.272	#	#	#	0.410;0.621	#	#	#	1.015;1.864	0.098;0.958	#	#	#	#	-0.001;0.483	011000	0.031	0.500	1	37.92	9760	1052	0.27		46	92
#	#	0.013;0.088	#	-0.029;1.100	-2.579;4.512	#	-0.105;0.199	#	#	#	0.275;0.521	0.309;0.514	#	#	#	#	#	#	0.062;0.129	#	#	100001	0.127	0.662	2	74.06	9931	1088	0.32		180	272
#	#	-0.075;0.088	#	#	#	#	#	-0.337;0.213	-0.158;1.384	-0.273;0.497	#	0.086;0.284	#	0.004;0.009	#	#	#	#	#	#	#	100001	1.000	1.000	1	141.04	9772	1136	0.27		89	89
#	#	#	0.044;0.177	#	#	0.337;0.482	#	#	#	#	#	#	#	0.002;0.013	#	-0.336;0.820	0.007;1.000	#	#	0.202;1.837	-0.162;0.305	001000	0.073	0.593	1	79.26	9877	1176	0.32		67	113
-90.537;-73.848	-0.053;0.112	#	0.189;0.350	#	2.794;11.807	-0.053;0.219	#	#	#	0.887;1.677	#	#	0.004;0.104	#	-0.044;1.017	#	#	#	0.065;0.101	#	#	001100	1.000	1.000	1	98.22	9909	1199	0.41		45	45
-90.537;-73.848	-0.033;0.112	#	0.189;0.350	-0.498;0.577	#	#	#	#	#	#	0.543;0.881	#	#	0.002;0.012	-0.044;0.811	#	-0.425;0.978	#	0.054;0.101	0.291;1.937	#	001100	0.182	0.712	3	88.67	9909	1201	0.45		111	156
#	#	-0.034;0.204	0.020;0.095	-0.029;1.061	-2.579;6.520	#	#	#	#	-0.223;0.505	0.275;0.521	0.309;0.514	#	#	#	-0.183;0.754	#	#	#	#	#	100001	0.087	0.613	1	70.02	9962	1223	0.36		179	292
-77.743;-60.626	#	0.063;0.259	#	#	#	#	0.218;0.460	#	#	-0.045;0.560	#	#	#	0.009;0.017	#	#	#	#	0.072;0.113	1.134;2.259	#	100000	1.000	1.000	1	109.24	9648	1331	0.32		21	21
-101.231;-65.367	0.033;0.187	0.048;0.162	#	#	4.399;12.475	#	0.235;0.361	#	1.279;7.090	0.212;0.619	0.316;0.535	-0.041;0.242	#	#	0.154;0.656	#	-0.787;1.461	#	0.057;0.090	#	#	001110	1.000	1.000	1	118.85	9660	1343	0.55		21	21
#	0.062;0.187	#	#	-0.326;0.326	#	-0.003;0.242	#	#	5.032;8.242	#	#	#	#	0.005;0.013	0.054;1.404	-0.510;0.823	0.027;0.986	#	#	#	-0.278;0.458	001110	0.063	0.576	2	50.43	9973	1358	0.41		87	151
-95.775;-73.522	#	0.027;0.147	#	#	3.258;6.262	#	-0.038;0.150	#	#	#	#	0.304;0.581	0.006;0.059	#	0.569;1.495	#	1.983;3.181	0.304;0.737	#	0.210;1.225	#	010000	1.000	1.000	1	46.79	9726	1409	0.45		22	22
#	#	#	#	#	#	0.337;0.482	0.025;0.305	#	#	#	#	#	#	0.002;0.013	#	-0.336;0.820	0.007;1.000	#	#	0.202;1.837	-0.162;0.305	001000	0.078	0.600	1	79.26	9877	1432	0.32		66	110
#	0.195;0.275	0.041;0.133	0.006;0.183	#	#	0.045;0.267	-0.048;0.213	#	#	#	#	0.021;0.265	#	0.007;0.013	0.558;1.233	#	#	#	#	0.190;1.452	#	000100	1.000	1.000	1	40.83	9761	1444	0.41		22	22
-106.395;-83.287	#	0.187;0.285	0.169;0.294	-0.617;0.617	-0.144;8.148	-0.029;0.135	0.233;0.340	0.902;1.461	4.905;8.238	0.269;1.120	#	-0.037;0.188	#	#	#	1.479;1.981	#	#	#	#	-0.569;0.652	000110	1.000	1.000	1	45.90	9790	1473	0.59		22	22
#	#	0.187;0.285	0.169;0.294	-0.617;0.617	-0.144;8.148	-0.029;0.135	0.233;0.340	0.902;1.461	4.905;8.238	0.269;1.120	#	#	#	#	#	1.479;1.981	#	#	0.043;0.102	#	-0.569;0.652	000110	1.000	1.000	1	45.90	9790	1473	0.55		22	22
-92.146;-59.424	#	#	#	#	7.099;12.475	-0.024;0.098	#	#	0.821;9.831	#	0.335;0.627	#	0.040;0.105	#	#	0.044;1.049	1.753;4.081	#	#	#	#	001110	1.000	1.000	1	47.58	9810	1493	0.36		21	21
#	#	-0.034;0.204	#	#	-2.579;4.512	#	-0.012;0.103	#	#	#	0.275;0.521	0.309;0.514	#	#	#	-0.183;0.754	#	#	#	#	#	100001	0.037	0.519	1	61.46	9934	1504	0.27		280	540
#	-0.029;0.112	#	-0.005;0.170	-0.061;0.803	2.590;6.436	#	#	#	#	#	#	#	#	0.012;0.017	-0.190;0.910	#	0.588;3.061	#	0.098;0.155	0.247;1.427	#	100000	1.000	1.000	1	48.39	9843	1526	0.41		21	21
-76.445;-61.467	#	0.023;0.108	#	#	-0.158;5.972	0.211;0.406	#	#	#	#	#	0.276;0.692	#	0.003;0.014	#	-0.193;0.527	-0.274;1.437	#	#	#	#	000001	0.071	0.589	1	109.37	9963	1537	0.36		279	474
#	-0.053;0.112	#	0.189;0.350	#	#	#	#	#	#	0.887;1.677	#	#	0.004;0.104	#	-0.044;1.017	0.076;1.232	-0.425;0.978	#	0.054;0.101	#	#	001100	1.000	1.000	2	76.47	9909	1590	0.36		65	65
#	#	-0.034;0.204	#	#	-2.579;4.512	0.186;0.467	-0.012;0.103	-0.089;0.527	3.142;6.475	-0.157;0.448	0.275;0.521	0.309;0.514	#	#	#	-0.183;0.754	#	#	#	#	#	100001	0.075	0.596	1	56.51	9934	1617	0.45		65	109
#	#	#	0.149;0.243	#	-0.447;7.845	#	0.062;0.219	0.006;1.206	#	#	0.460;0.771	#	#	#	0.076;0.829	#	0.336;1.500	#	0.058;0.102	#	0.155;0.657	011000	0.039	0.521	1	80.96	9947	1630	0.41		232	445
#	0.070;0.206	#	#	0.285;1.413	#	0.272;0.391	#	-0.007;0.392	2.265;9.424	#	0.284;0.617	#	#	0.015;0.023	#	-0.202;0.552	0.799;2.887	0.459;0.750	#	#	0.688;1.299	010010	1.000	1.000	1	78.38	9966	1649	0.50		21	21
#	#	0.001;0.172	#	#	#	#	#	#	#	-0.227;0.402	#	#	#	0.019;0.026	0.445;1.101	#	#	#	0.134;0.168	#	#	000001	1.000	1.000	1	38.98	9980	1663	0.23		21	21
-96.975;-79.002	0.033;0.165	0.001;0.172	#	#	#	#	#	#	#	-0.227;0.402	0.389;0.745	#	-0.035;0.086	0.019;0.026	#	#	#	#	#	#	#	000001	1.000	1.000	1	38.98	9980	1663	0.32		21	21
-76.840;-59.294	0.020;0.132	-0.049;0.125	0.018;0.094	1.301;1.953	#	0.232;0.400	-0.062;0.187	-0.151;0.373	#	-0.163;0.305	0.262;0.595	0.220;0.636	-0.033;0.073	#	-0.452;0.223	#	#	-0.084;0.443	#	-0.172;0.981	0.779;1.910	110000	0.126	0.661	2	92.67	9881	1684	0.73		41	62
-77.328;-62.350	#	-0.034;0.204	#	-0.029;1.061	-2.579;4.512	#	#	-0.129;0.213	#	-0.157;0.448	0.275;0.521	0.309;0.514	#	#	0.140;1.046	-0.183;0.754	1.711;3.491	#	#	#	#	100001	0.059	0.568	1	66.46	9931	1697	0.50		83	146
#	0.145;0.203	#	#	-0.302;0.968	#	0.013;0.227	#	#	#	#	0.328;0.514	#	0.074;0.156	0.007;0.013	#	#	0.801;1.862	#	#	#	#	000010	1.000	1.000	2	35.71	9674	1748	0.32		20	20
-110.990;-84.031	0.033;0.156	#	0.018;0.112	-0.555;0.555	#	#	-0.051;0.218	#	6.588;15.352	0.027;0.816	0.227;0.598	#	#	#	-0.035;0.852	0.198;1.052	#	0.337;0.770	#	0.791;1.779	#	101000	1.000	1.000	1	74.13	9690	1764	0.55		20	20
#	-0.019;0.133	0.116;0.313	0.182;0.372	-0.169;0.607	3.080;9.690	#	#	0.010;0.797	4.633;11.421	#	0.547;0.689	#	#	0.005;0.010	-0.159;1.249	#	#	#	0.053;0.101	2.143;3.707	#	001000	1.000	1.000	1	75.12	9701	1775	0.55		21	21
#	#	#	#	-0.349;0.577	4.694;10.223	-0.027;0.104	#	#	#	#	0.336;0.494	#	0.028;0.071	#	-0.044;0.182	#	-0.379;1.632	#	#	0.698;1.440	#	001100	0.137	0.672	4	89.22	9708	1782	0.36		41	61
#	0.195;0.275	0.041;0.133	0.006;0.183	#	#	0.045;0.267	-0.048;0.213	#	#	#	#	0.021;0.265	0.145;0.227	0.007;0.013	0.558;1.233	#	#	#	#	-0.140;1.781	#	000100	1.000	1.000	1	39.34	9761	1835	0.45		21	21
#	0.195;0.275	0.041;0.133	#	#	#	0.045;0.267	-0.048;0.213	#	#	#	#	0.021;0.265	#	0.007;0.013	0.558;1.233	#	#	#	#	#	#	000100	1.000	1.000	1	39.34	9761	1835	0.32		21	21
#	#	0.187;0.285	0.169;0.294	#	-0.144;8.148	-0.029;0.135	0.233;0.340	0.902;1.461	#	0.269;1.120	#	#	0.027;0.135	#	#	1.479;1.981	#	#	#	#	-0.569;0.652	000110	1.000	1.000	1	45.52	9790	1864	0.45		21	21
#	#	0.187;0.285	#	-0.617;0.617	#	-0.029;0.135	#	0.902;1.461	4.905;8.238	0.269;1.120	#	#	#	#	#	1.479;1.981	#	#	0.043;0.102	#	#	000110	1.000	1.000	1	45.52	9790	1864	0.36		21	21
-73.141;-58.164	#	0.095;0.228	0.106;0.190	-0.274;0.537	#	#	0.198;0.389	#	0.372;8.642	-0.219;0.694	0.368;0.663	#	#	0.005;0.009	#	#	0.278;2.264	#	#	#	#	110000	1.000	1.000	1	75.87	9805	1879	0.45		20	20
-76.445;-61.467	#	-0.022;0.108	#	-0.216;0.242	-0.158;5.972	0.211;0.406	#	#	#	#	#	0.276;0.692	0.009;0.135	#	-0.192;0.908	-0.193;0.527	-0.274;1.437	#	0.076;0.103	-0.313;1.635	#	000001	0.205	0.728	1	137.86	9963	1885	0.55		166	228
#	#	#	#	-0.029;1.100	#	#	-0.105;0.179	#	#	-0.273;0.448	#	#	#	#	0.140;1.046	-0.183;0.754	1.711;2.806	-0.098;0.448	#	#	#	100001	0.107	0.640	1	65.78	9931	1893	0.32		185	289
-109.103;-78.292	#	#	#	-0.394;0.682	#	0.092;0.205	#	#	3.331;12.095	#	#	#	#	#	#	-0.251;0.754	-0.206;1.574	#	#	1.391;2.128	#	000100	1.000	1.000	1	67.08	9831	1905	0.32		20	20
#	-0.033;0.112	#	0.189;0.350	#	#	-0.027;0.104	#	0.341;0.944	#	0.393;1.022	0.430;0.807	#	0.004;0.104	#	-0.044;1.017	#	#	#	#	#	#	001100	0.077	0.599	1	71.97	9907	1932	0.36		124	207
#	-0.033;0.112	#	0.189;0.350	#	#	-0.008;0.104	#	0.341;0.944	#	#	0.430;0.881	#	0.004;0.104	0.002;0.012	-0.044;1.017	#	-0.425;0.978	#	0.054;0.101	0.291;1.937	#	001100	0.130	0.665	1	79.93	9909	1935	0.50		123	185
#	#	#	#	#	#	0.337;0.482	#	#	#	-0.166;0.562	#	#	#	#	#	-0.336;0.820	0.007;1.000	#	0.083;0.118	0.202;1.837	-0.162;0.305	001000	0.075	0.596	1	79.26	9877	1951	0.32		62	104
-103.154;-57.995	#	#	0.149;0.243	#	-0.447;7.845	#	0.062;0.256	#	#	#	0.460;0.771	#	0.006;0.121	#	#	#	#	#	0.058;0.102	0.462;1.614	0.155;0.657	011000	0.055	0.560	1	83.59	9996	1953	0.41		288	514
#	#	#	#	#	#	0.337;0.482	#	#	#	-0.166;0.562	#	#	#	#	#	-0.336;0.820	0.007;1.000	#	#	0.202;1.837	-0.162;0.305	001000	0.073	0.592	1	79.26	9877	1958	0.27		61	103
-65.694;-56.529	#	#	-0.047;0.138	0.844;1.955	#	#	#	#	-0.420;4.764	#	#	0.313;0.775	#	#	-0.190;0.910	#	#	#	0.059;0.121	#	0.933;1.400	100000	1.000	1.000	1	144.52	9903	1977	0.36		20	20
#	-0.033;0.112	0.154;0.388	0.189;0.350	#	#	-0.027;0.104	#	0.341;0.944	#	0.393;1.022	0.430;0.881	#	0.004;0.104	#	#	#	-0.425;0.978	#	0.054;0.101	#	#	001100	0.124	0.659	1	70.77	9907	1981	0.45		81	123
-90.537;-73.848	#	#	0.189;0.350	#	#	#	#	#	#	#	#	#	0.005;0.096	#	-0.044;0.811	0.590;1.561	#	#	#	0.698;1.937	#	001100	0.070	0.588	1	81.37	9909	1983	0.27		60	102
#	0.062;0.174	#	#	#	-2.579;4.512	#	#	#	-2.098;6.048	#	0.275;0.521	0.309;0.514	#	#	#	#	#	#	#	#	#	100001	0.043	0.532	1	62.07	9934	2005	0.23		164	308
#	0.083;0.230	#	0.055;0.128	#	#	0.173;0.386	#	0.188;0.667	3.099;8.093	0.122;0.615	0.415;0.639	#	#	0.006;0.011	#	0.086;0.504	-0.090;1.793	0.134;0.370	#	0.200;1.215	-0.204;0.550	001010	0.076	0.598	2	71.34	9938	2012	0.59		61	102
#	-0.004;0.096	#	0.149;0.243	-0.195;0.299	-0.447;7.845	#	0.062;0.256	#	5.966;10.903	#	#	#	0.006;0.121	#	#	#	#	#	0.058;0.102	0.462;1.614	0.155;0.657	011000	0.132	0.667	1	92.23	9947	2021	0.45		80	120
#	-0.082;0.088	-0.038;0.127	0.020;0.196	-0.029;1.100	#	#	-0.105;0.179	-0.129;0.213	#	#	#	#	#	0.007;0.012	#	-1.003;0.769	#	0.066;0.434	0.073;0.098	0.793;2.110	-0.277;1.015	100001	0.187	0.715	1	62.50	9961	2034	0.55		103	144
#	#	-0.008;0.138	#	#	4.399;12.475	#	0.067;0.275	#	-1.673;7.090	0.212;0.619	0.393;0.535	-0.151;0.232	0.011;0.109	0.004;0.013	0.074;0.614	-0.396;0.776	#	0.446;0.747	#	0.258;1.884	-0.162;0.341	001110	0.509	0.873	2	127.69	9971	2045	0.64		145	166
-81.438;-69.028	-0.018;0.093	0.151;0.250	#	#	#	-0.031;0.124	0.108;0.288	0.117;0.493	#	#	#	#	#	#	-0.027;0.629	#	#	0.106;0.727	#	#	#	111000	1.000	1.000	3	59.46	9977	2051	0.36		40	40
-87.668;-63.046	#	#	0.085;0.279	#	#	-0.119;0.190	#	0.683;1.287	0.821;9.831	#	0.316;0.668	-0.128;0.314	0.040;0.105	#	-0.638;0.172	#	#	#	#	#	-0.134;0.458	001110	1.000	1.000	1	90.42	9979	2053	0.45		20	20
#	#	#	#	#	#	#	-0.082;0.152	#	#	#	#	#	#	0.019;0.026	0.445;1.461	#	#	#	0.134;0.168	#	#	000001	1.000	1.000	1	38.52	9980	2054	0.18		20	20
#	0.055;0.165	#	#	#	-1.605;6.808	0.103;0.439	#	#	#	#	#	0.223;0.625	0.098;0.219	0.011;0.017	#	-0.118;0.585	#	#	0.059;0.125	#	#	110000	1.000	1.000	1	59.47	9986	2060	0.36		20	20
-76.840;-55.415	#	#	0.018;0.094	1.301;1.953	#	0.232;0.417	#	-0.151;0.373	#	#	0.262;0.595	#	#	#	-0.452;0.223	#	#	-0.084;0.443	#	-0.172;0.981	0.779;1.910	110000	0.126	0.661	2	92.66	9881	2075	0.45		39	59
-109.103;-78.292	0.067;0.207	#	0.194;0.309	-0.394;0.682	#	#	#	#	3.331;12.095	#	#	#	#	0.008;0.012	#	#	-0.206;1.574	#	#	1.058;2.128	#	000100	1.000	1.000	1	65.82	9626	2091	0.36		19	19
#	-0.049;0.088	#	#	-0.029;1.100	#	#	#	-0.337;0.213	-0.158;1.384	#	#	#	#	0.004;0.009	#	-0.470;0.769	#	0.010;0.594	0.073;0.098	#	#	100001	0.124	0.658	1	103.15	9772	2092	0.36		79	120
#	#	-0.075;0.088	-0.013;0.110	-0.029;1.061	#	#	#	-0.129;0.213	-0.158;1.384	#	#	0.086;0.284	#	#	-0.245;1.046	#	#	#	#	#	#	100001	0.177	0.707	1	98.76	9788	2117	0.32		99	140
#	#	0.080;0.188	#	#	4.399;12.475	-0.024;0.098	0.235;0.361	#	1.279;7.090	0.212;0.619	#	#	#	#	0.154;0.656	#	-0.787;1.461	0.245;0.602	0.057;0.090	#	#	001110	0.143	0.678	1	70.91	9722	2125	0.45		40	59
#	#	#	#	#	-2.579;4.512	#	-0.012;0.103	#	#	#	0.275;0.521	0.309;0.514	#	#	#	-0.183;0.754	#	#	#	#	#	100001	0.039	0.522	1	61.46	9934	2145	0.23		259	496
-86.705;-66.592	#	-0.009;0.313	#	-0.169;0.607	3.080;9.690	#	#	#	4.633;11.421	0.050;0.568	0.547;0.689	#	#	#	#	#	#	0.097;0.501	#	2.143;3.707	#	001000	1.000	1.000	1	72.33	9701	2166	0.41		20	20
