Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)
5000	4415	5000	0.7162	0.7048	0.2225	0.000	0.000	0.000	4.54
10000	4559	5000	0.5399	0.7296	0.2532	0.000	0.000	0.000	10.54
15000	4640	5000	0.5364	0.7486	0.2729	0.000	0.000	0.000	16.14
20000	4643	5000	0.5343	0.7622	0.2877	0.000	0.000	0.000	21.13
25000	4674	5000	0.5324	0.7664	0.3015	0.000	0.000	0.000	26.11
30000	4733	5000	0.53	0.7724	0.3143	0.000	0.000	0.000	30.90
35000	4711	5000	0.528	0.771	0.3228	0.000	0.000	0.000	35.38
40000	4737	5000	0.5267	0.771	0.3319	0.000	0.000	0.000	39.81
45000	4720	5000	0.5257	0.7732	0.3409	0.000	0.000	0.000	44.24
50000	4732	5000	0.5253	0.772	0.3519	0.000	0.000	0.000	48.48
